metric_type,uav_count,target_count,clutter_density,radar_runtime_ms,tracker_runtime_ms,fusion_runtime_ms,comm_runtime_ms,controller_runtime_ms,total_sim_runtime_s,memory_usage_mb
baseline,4,1,0.0,0.42,0.35,0.28,0.15,0.51,2.15,48.2
uav_scaling,2,1,0.0,0.21,0.18,0.12,0.08,0.24,1.10,42.1
uav_scaling,4,1,0.0,0.42,0.35,0.28,0.15,0.51,2.15,48.2
uav_scaling,8,1,0.0,0.88,0.72,0.61,0.35,1.12,4.28,56.8
uav_scaling,16,1,0.0,1.82,1.51,1.45,0.82,2.38,9.10,72.4
uav_scaling,32,1,0.0,3.75,3.12,3.30,1.95,4.92,19.45,108.6
target_scaling,4,1,0.0,0.42,0.35,0.28,0.15,0.51,2.15,48.2
target_scaling,4,5,0.0,0.85,0.92,0.74,0.22,0.53,3.82,52.4
target_scaling,4,10,0.0,1.41,1.75,1.38,0.31,0.54,6.20,59.1
target_scaling,4,20,0.0,2.58,3.62,2.85,0.48,0.56,11.50,71.0
target_scaling,4,50,0.0,6.12,9.85,7.90,1.02,0.58,28.40,112.5
clutter_scaling,4,1,0.0,0.42,0.35,0.28,0.15,0.51,2.15,48.2
clutter_scaling,4,1,0.5,0.78,0.82,0.45,0.18,0.52,3.20,50.8
clutter_scaling,4,1,1.0,1.15,1.48,0.68,0.21,0.52,4.55,54.3
clutter_scaling,4,1,2.0,1.92,2.91,1.18,0.26,0.53,7.40,62.7
clutter_scaling,4,1,5.0,4.25,8.15,2.82,0.41,0.55,16.80,88.4
