time_step,uav_id,uav_x,uav_y,true_target_x,true_target_y,true_target_vx,true_target_vy,radar_id,true_range,true_bearing,true_radial_velocity,measured_range,measured_bearing,measured_radial_velocity,detected_x,detected_y,radar_confidence,radar_snr,radar_track_id,track_status,false_alarm_flag,missed_detection_flag,clutter_flag,dropout_flag,latency_steps,fusion_mode,fused_x,fused_y,action_taken,collision_risk_flag,near_miss_flag,unnecessary_avoidance_flag,missed_response_flag,mission_success_flag,formation_error
0,0,5.2893,5.2763,50.0,50.0,0.0,0.0,0,63.6396,0.7854,-1.9995,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8848
0,1,5.293,15.2723,50.0,50.0,0.0,0.0,1,57.0088,0.66104,-1.9923,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8848
0,2,15.2564,5.307,50.0,50.0,0.0,0.0,2,57.0088,0.90975,-1.9988,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8848
0,3,15.2905,15.275,50.0,50.0,0.0,0.0,3,49.4975,0.7854,-1.9992,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8848
1,0,5.5785,5.5525,50.0,50.0,0.0,0.0,0,63.2397,0.78554,-1.9995,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8657
1,1,5.586,15.5446,50.0,50.0,0.0,0.0,1,56.6103,0.66042,-1.9922,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8657
1,2,15.5129,5.614,50.0,50.0,0.0,0.0,2,56.609,0.91,-1.9988,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8657
1,3,15.581,15.55,50.0,50.0,0.0,0.0,3,49.0976,0.78562,-1.9992,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8657
2,0,5.8678,5.8288,50.0,50.0,0.0,0.0,0,62.8398,0.78569,-1.9995,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8467
2,1,5.879,15.8169,50.0,50.0,0.0,0.0,1,56.2119,0.6598,-1.9921,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8467
2,2,15.7693,5.921,50.0,50.0,0.0,0.0,2,56.2093,0.91025,-1.9988,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8467
2,3,15.8714,15.825,50.0,50.0,0.0,0.0,3,48.6978,0.78585,-1.9992,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8467
3,0,6.1571,6.1051,50.0,50.0,0.0,0.0,0,62.4399,0.78584,-1.9995,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8278
3,1,6.172,16.0893,50.0,50.0,0.0,0.0,1,55.8135,0.65916,-1.992,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8278
3,2,16.0257,6.228,50.0,50.0,0.0,0.0,2,55.8095,0.9105,-1.9987,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8278
3,3,16.1619,16.1,50.0,50.0,0.0,0.0,3,48.2979,0.78608,-1.9992,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8278
4,0,6.4463,6.3813,50.0,50.0,0.0,0.0,0,62.04,0.78599,-1.9994,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8091
4,1,6.465,16.3616,50.0,50.0,0.0,0.0,1,55.4151,0.65851,-1.9918,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8091
4,2,16.2821,6.535,50.0,50.0,0.0,0.0,2,55.4098,0.91076,-1.9987,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8091
4,3,16.4524,16.375,50.0,50.0,0.0,0.0,3,47.8981,0.78631,-1.9992,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.8091
5,0,6.7356,6.6576,50.0,50.0,0.0,0.0,0,61.6402,0.78614,-1.9994,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7905
5,1,6.758,16.6339,50.0,50.0,0.0,0.0,1,55.0168,0.65786,-1.9917,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7905
5,2,16.5386,6.842,50.0,50.0,0.0,0.0,2,55.01,0.91102,-1.9987,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7905
5,3,16.7429,16.6499,50.0,50.0,0.0,0.0,3,47.4983,0.78655,-1.9992,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7905
6,0,7.0249,6.9339,50.0,50.0,0.0,0.0,0,61.2403,0.7863,-1.9994,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.772
6,1,7.051,16.9062,50.0,50.0,0.0,0.0,1,54.6184,0.65719,-1.9916,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.772
6,2,16.795,7.1489,50.0,50.0,0.0,0.0,2,54.6103,0.91128,-1.9987,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.772
6,3,17.0334,16.9249,50.0,50.0,0.0,0.0,3,47.0984,0.78679,-1.9992,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.772
7,0,7.3141,7.2101,50.0,50.0,0.0,0.0,0,60.8404,0.78646,-1.9994,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7536
7,1,7.344,17.1785,50.0,50.0,0.0,0.0,1,54.2201,0.65652,-1.9915,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7536
7,2,17.0514,7.4559,50.0,50.0,0.0,0.0,2,54.2106,0.91155,-1.9987,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7536
7,3,17.3239,17.1999,50.0,50.0,0.0,0.0,3,46.6986,0.78704,-1.9992,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7536
8,0,7.6034,7.4864,50.0,50.0,0.0,0.0,0,60.4405,0.78661,-1.9994,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7354
8,1,7.637,17.4508,50.0,50.0,0.0,0.0,1,53.8218,0.65583,-1.9914,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7354
8,2,17.3079,7.7629,50.0,50.0,0.0,0.0,2,53.8108,0.91183,-1.9986,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7354
8,3,17.6143,17.4749,50.0,50.0,0.0,0.0,3,46.2988,0.78729,-1.9991,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7354
9,0,7.8927,7.7627,50.0,50.0,0.0,0.0,0,60.0406,0.78678,-1.9994,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7173
9,1,7.9299,17.7231,50.0,50.0,0.0,0.0,1,53.4236,0.65514,-1.9912,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7173
9,2,17.5643,8.0699,50.0,50.0,0.0,0.0,2,53.4111,0.9121,-1.9986,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7173
9,3,17.9048,17.7499,50.0,50.0,0.0,0.0,3,45.8989,0.78755,-1.9991,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.7173
10,0,8.182,8.0389,50.0,50.0,0.0,0.0,0,59.6407,0.78694,-1.9994,,,,,,,0.0,,,False,False,False,False,0,no_fusion,,,move,False,False,False,False,False,3.6993
