scenario,step,time_s,uav_id,x,y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,actual_target_x,actual_target_y,perceived_target_x,perceived_target_y,error_type,action_taken,num_perceived_detections,num_phantom_detections,dist_to_target,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,reached_goal,mission_completed_flag
false_negative,0,0.0,0,5.044,4.602,50.0,50.0,,,94.0,90.0,94.0,90.0,false_negative,avoidance,2,0,123.312,uav_2,10.269,False,False,False,False,False
false_negative,0,0.0,1,5.171,15.362,50.0,50.0,,,90.0,94.0,90.0,94.0,false_negative,avoidance,1,0,115.672,uav_3,9.999,False,False,False,False,False
false_negative,0,0.0,2,15.291,5.274,50.0,50.0,,,86.0,90.0,86.0,90.0,false_negative,avoidance,1,0,110.355,uav_3,10.089,False,False,False,False,False
false_negative,0,0.0,3,15.17,15.362,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,3,0,102.904,uav_1,9.999,False,False,False,False,False
false_negative,1,0.2,0,5.187,4.229,50.0,50.0,,,94.0,90.0,94.0,90.0,false_negative,avoidance,2,0,123.468,uav_2,10.555,False,False,False,False,False
false_negative,1,0.2,1,4.926,15.678,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,3,0,115.637,uav_3,10.511,False,False,False,False,False
false_negative,1,0.2,2,15.68,5.368,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,3,0,110.034,uav_3,10.295,False,False,False,False,False
false_negative,1,0.2,3,15.437,15.66,50.0,50.0,,,90.0,86.0,90.0,86.0,false_negative,avoidance,2,0,102.505,uav_2,10.295,False,False,False,False,False
false_negative,2,0.4,0,5.582,4.294,50.0,50.0,,,94.0,90.0,94.0,90.0,false_negative,avoidance,1,0,123.139,uav_2,10.55,False,False,False,False,False
false_negative,2,0.4,1,5.119,16.028,50.0,50.0,,,90.0,94.0,90.0,94.0,false_negative,avoidance,1,0,115.258,uav_3,10.51,False,False,False,False,False
false_negative,2,0.4,2,16.066,5.472,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,3,0,109.707,uav_3,10.548,False,False,False,False,False
false_negative,2,0.4,3,15.629,16.011,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,102.125,uav_1,10.51,False,False,False,False,False
false_negative,3,0.6,0,5.869,4.573,50.0,50.0,,,94.0,90.0,94.0,90.0,false_negative,move,0,0,122.739,uav_2,10.618,False,False,False,False,False
false_negative,3,0.6,1,5.023,16.417,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,2,0,115.066,uav_3,10.707,False,False,False,False,False
false_negative,3,0.6,2,16.435,5.627,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,109.353,uav_0,10.618,False,False,False,False,False
false_negative,3,0.6,3,15.731,16.397,50.0,50.0,,,90.0,86.0,90.0,86.0,false_negative,avoidance,1,0,101.786,uav_1,10.707,False,False,False,False,False
false_negative,4,0.8,0,6.243,4.43,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,2,0,122.57,uav_2,10.646,False,False,False,False,False
false_negative,4,0.8,1,4.927,16.805,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,2,0,114.876,uav_3,11.115,False,False,False,False,False
