scenario,step,time_s,uav_id,uav_pos_x,uav_pos_y,goal_pos_x,goal_pos_y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,perception_error_type,confidence_value,fusion_mode,action_taken,num_perceived_detections,num_phantom_detections,dist_to_goal,distance_to_nearest_uav,distance_to_obstacle,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,mission_completed_flag,reached_goal
false_positive,0,0.0,0,5.289,5.276,94.0,90.0,50.0,50.0,,,none,,no_fusion,move,3,0,122.669,9.688,58.24,uav_1,9.688,False,False,False,False,False
false_positive,0,0.0,1,5.398,14.963,90.0,94.0,50.0,50.0,,,false_positive,,no_fusion,false_avoidance,4,1,115.777,9.318,51.718,uav_3,9.318,False,True,False,False,False
false_positive,0,0.0,2,15.225,5.331,86.0,90.0,50.0,50.0,,,false_positive,,no_fusion,false_avoidance,4,1,110.354,9.935,51.61,uav_0,9.935,False,True,False,False,False
false_positive,0,0.0,3,14.711,15.276,90.0,86.0,50.0,50.0,,,false_positive,,no_fusion,false_avoidance,4,1,103.297,9.318,44.508,uav_1,9.318,False,True,False,False,False
false_positive,1,0.2,0,5.579,5.553,94.0,90.0,50.0,50.0,,,none,,no_fusion,move,3,0,122.269,9.684,57.84,uav_1,9.684,False,False,False,False,False
false_positive,1,0.2,1,5.691,15.236,90.0,94.0,50.0,50.0,,,none,,no_fusion,move,3,0,115.377,9.22,51.319,uav_3,9.22,False,False,False,False,False
false_positive,1,0.2,2,15.481,5.638,86.0,90.0,50.0,50.0,,,none,,no_fusion,move,3,0,109.954,9.307,51.21,uav_3,9.307,False,False,False,False,False
false_positive,1,0.2,3,14.905,14.927,90.0,86.0,50.0,50.0,,,false_positive,,no_fusion,false_avoidance,4,1,103.395,9.22,44.616,uav_1,9.22,False,True,False,False,False
false_positive,2,0.4,0,5.61,5.951,94.0,90.0,50.0,50.0,,,false_positive,,no_fusion,false_avoidance,4,1,121.971,9.565,57.536,uav_1,9.565,False,True,False,False,False
false_positive,2,0.4,1,5.983,15.509,90.0,94.0,50.0,50.0,,,none,,no_fusion,move,3,0,114.977,9.325,50.921,uav_3,9.325,False,False,False,False,False
false_positive,2,0.4,2,15.738,5.945,86.0,90.0,50.0,50.0,,,none,,no_fusion,move,3,0,109.554,9.085,50.81,uav_3,9.085,False,False,False,False,False
false_positive,2,0.4,3,15.295,15.019,90.0,86.0,50.0,50.0,,,false_positive,,no_fusion,false_avoidance,4,1,103.05,9.085,44.276,uav_2,9.085,False,True,False,False,False
false_positive,3,0.6,0,5.9,6.227,94.0,90.0,50.0,50.0,,,none,,no_fusion,move,3,0,121.571,9.596,57.136,uav_1,9.596,False,False,False,False,False
false_positive,3,0.6,1,6.238,15.817,90.0,94.0,50.0,50.0,,,false_positive,,no_fusion,false_avoidance,4,1,114.58,9.361,50.53,uav_3,9.361,False,True,False,False,False
false_positive,3,0.6,2,15.487,5.633,86.0,90.0,50.0,50.0,,,false_positive,,no_fusion,false_avoidance,4,1,109.954,9.605,51.21,uav_0,9.605,False,True,False,False,False
false_positive,3,0.6,3,15.585,15.294,90.0,86.0,50.0,50.0,,,none,,no_fusion,move,3,0,102.65,9.361,43.877,uav_1,9.361,False,False,False,False,False
false_positive,4,0.8,0,6.034,6.604,94.0,90.0,50.0,50.0,,,false_positive,,no_fusion,false_avoidance,4,1,121.214,9.499,56.776,uav_1,9.499,False,True,False,False,False
false_positive,4,0.8,1,6.531,16.09,90.0,94.0,50.0,50.0,,,none,,no_fusion,move,3,0,114.18,9.358,50.131,uav_3,9.358,False,False,False,False,False
false_positive,4,0.8,2,15.743,5.94,86.0,90.0,50.0,50.0,,,none,,no_fusion,move,3,0,109.554,9.63,50.81,uav_3,9.63,False,False,False,False,False
false_positive,4,0.8,3,15.875,15.57,90.0,86.0,50.0,50.0,,,none,,no_fusion,move,3,0,102.25,9.358,43.477,uav_1,9.358,False,False,False,False,False
false_positive,5,1.0,0,6.324,6.879,94.0,90.0,50.0,50.0,,,none,,no_fusion,move,3,0,120.814,9.497,56.376,uav_1,9.497,False,False,False,False,False
false_positive,5,1.0,1,6.823,16.363,90.0,94.0,50.0,50.0,,,none,,no_fusion,move,3,0,113.78,9.356,49.733,uav_3,9.356,False,False,False,False,False
false_positive,5,1.0,2,16.0,6.247,86.0,90.0,50.0,50.0,,,none,,no_fusion,move,3,0,109.154,9.599,50.411,uav_3,9.599,False,False,False,False,False
false_positive,5,1.0,3,16.165,15.845,90.0,86.0,50.0,50.0,,,none,,no_fusion,move,3,0,101.85,9.356,43.077,uav_1,9.356,False,False,False,False,False
false_positive,6,1.2,0,6.231,7.268,94.0,90.0,50.0,50.0,,,false_positive,,no_fusion,false_avoidance,4,1,120.615,9.41,56.17,uav_1,9.41,False,True,False,False,False
false_positive,6,1.2,1,7.116,16.636,90.0,94.0,50.0,50.0,,,none,,no_fusion,move,3,0,113.38,9.353,49.334,uav_3,9.353,False,False,False,False,False
false_positive,6,1.2,2,16.389,6.157,86.0,90.0,50.0,50.0,,,false_positive,,no_fusion,false_avoidance,4,1,108.974,9.964,50.244,uav_3,9.964,False,True,False,False,False
false_positive,6,1.2,3,16.455,16.121,90.0,86.0,50.0,50.0,,,none,,no_fusion,move,3,0,101.45,9.353,42.677,uav_1,9.353,False,False,False,False,False
false_positive,7,1.4,0,6.338,7.653,94.0,90.0,50.0,50.0,,,false_positive,,no_fusion,false_avoidance,4,1,120.273,9.317,55.824,uav_1,9.317,False,True,False,False,False
false_positive,7,1.4,1,7.408,16.909,90.0,94.0,50.0,50.0,,,none,,no_fusion,move,3,0,112.98,9.317,48.936,uav_0,9.317,False,False,False,False,False
false_positive,7,1.4,2,16.645,6.464,86.0,90.0,50.0,50.0,,,none,,no_fusion,move,3,0,108.574,9.793,49.844,uav_3,9.793,False,False,False,False,False
false_positive,7,1.4,3,16.831,16.255,90.0,86.0,50.0,50.0,,,false_positive,,no_fusion,false_avoidance,4,1,101.084,9.446,42.317,uav_1,9.446,False,True,False,False,False
false_positive,8,1.6,0,6.63,7.927,94.0,90.0,50.0,50.0,,,none,,no_fusion,move,3,0,119.873,9.316,55.424,uav_1,9.316,False,False,False,False,False
false_positive,8,1.6,1,7.7,17.182,90.0,94.0,50.0,50.0,,,none,,no_fusion,move,3,0,112.58,9.316,48.538,uav_0,9.316,False,False,False,False,False
false_positive,8,1.6,2,16.9,6.772,86.0,90.0,50.0,50.0,,,none,,no_fusion,move,3,0,108.174,9.56,49.445,uav_3,9.56,False,False,False,False,False
false_positive,8,1.6,3,17.225,16.327,90.0,86.0,50.0,50.0,,,false_positive,,no_fusion,false_avoidance,4,1,100.75,9.56,41.991,uav_2,9.56,False,True,False,False,False
false_positive,9,1.8,0,6.921,8.201,94.0,90.0,50.0,50.0,,,none,,no_fusion,move,3,0,119.473,9.316,55.024,uav_1,9.316,False,False,False,False,False
false_positive,9,1.8,1,7.993,17.455,90.0,94.0,50.0,50.0,,,none,,no_fusion,move,3,0,112.18,9.316,48.139,uav_0,9.316,False,False,False,False,False
false_positive,9,1.8,2,17.156,7.08,86.0,90.0,50.0,50.0,,,none,,no_fusion,move,3,0,107.774,9.53,49.045,uav_3,9.53,False,False,False,False,False
false_positive,9,1.8,3,17.514,16.603,90.0,86.0,50.0,50.0,,,none,,no_fusion,move,3,0,100.35,9.53,41.591,uav_2,9.53,False,False,False,False,False
false_positive,10,2.0,0,7.213,8.475,94.0,90.0,50.0,50.0,,,none,,no_fusion,move,3,0,119.073,9.356,54.624,uav_1,9.356,False,False,False,False,False
false_positive,10,2.0,1,8.232,17.776,90.0,94.0,50.0,50.0,,,false_positive,,no_fusion,false_avoidance,4,1,111.786,9.356,47.754,uav_0,9.356,False,True,False,False,False
