scenario,step,time_s,uav_id,uav_pos_x,uav_pos_y,goal_pos_x,goal_pos_y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,perception_error_type,confidence_value,fusion_mode,action_taken,num_perceived_detections,num_phantom_detections,dist_to_goal,distance_to_nearest_uav,distance_to_obstacle,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,mission_completed_flag,reached_goal,num_active_entities,active_entities_json
false_positive,0,0.0,0,4.617,4.885,94.0,90.0,50.0,50.0,,,false_positive,,no_fusion,false_avoidance,4,1,123.425,10.409,58.992,uav_1,10.409,False,True,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
false_positive,0,0.0,1,5.293,15.272,90.0,94.0,50.0,50.0,,,none,,no_fusion,move,3,0,115.643,9.997,51.61,uav_3,9.997,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
false_positive,0,0.0,2,15.256,5.307,86.0,90.0,50.0,50.0,,,none,,no_fusion,move,3,0,110.352,9.968,51.609,uav_3,9.968,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
false_positive,0,0.0,3,15.29,15.275,90.0,86.0,50.0,50.0,,,none,,no_fusion,move,3,0,102.876,9.968,44.098,uav_2,9.968,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
false_positive,1,0.2,0,4.906,5.161,94.0,90.0,50.0,50.0,,,none,,no_fusion,move,3,0,123.025,10.406,58.592,uav_1,10.406,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
false_positive,1,0.2,1,5.586,15.545,90.0,94.0,50.0,50.0,,,none,,no_fusion,move,3,0,115.243,9.995,51.212,uav_3,9.995,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
false_positive,1,0.2,2,15.513,5.614,86.0,90.0,50.0,50.0,,,none,,no_fusion,move,3,0,109.952,9.936,51.209,uav_3,9.936,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
false_positive,1,0.2,3,15.581,15.55,90.0,86.0,50.0,50.0,,,none,,no_fusion,move,3,0,102.476,9.936,43.698,uav_2,9.936,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
false_positive,2,0.4,0,5.196,5.437,94.0,90.0,50.0,50.0,,,none,,no_fusion,move,3,0,122.625,10.328,58.192,uav_2,10.328,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
false_positive,2,0.4,1,5.879,15.817,90.0,94.0,50.0,50.0,,,none,,no_fusion,move,3,0,114.843,9.992,50.813,uav_3,9.992,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
false_positive,2,0.4,2,15.508,6.014,86.0,90.0,50.0,50.0,,,false_positive,,no_fusion,false_avoidance,4,1,109.648,9.818,50.897,uav_3,9.818,False,True,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
false_positive,2,0.4,3,15.871,15.825,90.0,86.0,50.0,50.0,,,none,,no_fusion,move,3,0,102.076,9.818,43.298,uav_2,9.818,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
