scenario_id,seed_range,uav_count,target_count,radar_mode,radar_parameters,calibration_mode,fusion_mode,controller_mode,handoff_mode,communication_condition,num_trials,output_directory
controller_comparison__baseline__1_fixed_margin,42-91,4,0,normal,"P_D=1.0, P_FA=0.0, clutter_density=0.0, range_noise_std=0.3, bearing_noise_std=0.0342, radial_velocity_noise_std=0.1, latency_steps=0, dropout_probability=0.0, confidence_error=0.0",fixed,no_fusion,1_fixed_margin,off,perfect (default),50,results/final/controller_comparison/1_fixed_margin/
controller_comparison__baseline__2_uncertainty_aware,42-91,4,0,normal,"P_D=1.0, P_FA=0.0, clutter_density=0.0, range_noise_std=0.3, bearing_noise_std=0.0342, radial_velocity_noise_std=0.1, latency_steps=0, dropout_probability=0.0, confidence_error=0.0",quality_monitor,no_fusion,2_uncertainty_aware,off,perfect (default),50,results/final/controller_comparison/2_uncertainty_aware/
controller_comparison__baseline__3_uncertainty_aware_abstention,42-91,4,0,normal,"P_D=1.0, P_FA=0.0, clutter_density=0.0, range_noise_std=0.3, bearing_noise_std=0.0342, radial_velocity_noise_std=0.1, latency_steps=0, dropout_probability=0.0, confidence_error=0.0",quality_monitor,no_fusion,3_uncertainty_aware_abstention,off,perfect (default),50,results/final/controller_comparison/3_uncertainty_aware_abstention/
controller_comparison__baseline__4_uncertainty_aware_handoff,42-91,4,0,normal,"P_D=1.0, P_FA=0.0, clutter_density=0.0, range_noise_std=0.3, bearing_noise_std=0.0342, radial_velocity_noise_std=0.1, latency_steps=0, dropout_probability=0.0, confidence_error=0.0",quality_monitor,no_fusion,4_uncertainty_aware_handoff,on,perfect (default),50,results/final/controller_comparison/4_uncertainty_aware_handoff/
controller_comparison__baseline__5_dynamic_trust_handoff,42-91,4,0,normal,"P_D=1.0, P_FA=0.0, clutter_density=0.0, range_noise_std=0.3, bearing_noise_std=0.0342, radial_velocity_noise_std=0.1, latency_steps=0, dropout_probability=0.0, confidence_error=0.0",quality_monitor,trust_weighted_fusion,5_dynamic_trust_handoff,on,perfect (default),50,results/final/controller_comparison/5_dynamic_trust_handoff/
envelope_low_P_D,42-61,4,0,normal,"P_D=0.3, P_FA=0.0, clutter_density=0.0, range_noise_std=0.3, bearing_noise_std=0.0342, radial_velocity_noise_std=0.1, latency_steps=0, dropout_probability=0.0, confidence_error=0.0",quality_monitor,trust_weighted_fusion,5_dynamic_trust_handoff,on,perfect (default),20,results/final/failure_envelope/envelope_low_P_D/
envelope_high_P_FA,42-61,4,0,normal,"P_D=1.0, P_FA=0.4, clutter_density=0.0, range_noise_std=0.3, bearing_noise_std=0.0342, radial_velocity_noise_std=0.1, latency_steps=0, dropout_probability=0.0, confidence_error=0.0",quality_monitor,trust_weighted_fusion,5_dynamic_trust_handoff,on,perfect (default),20,results/final/failure_envelope/envelope_high_P_FA/
envelope_high_clutter,42-61,4,0,normal,"P_D=1.0, P_FA=0.0, clutter_density=3.0, range_noise_std=0.3, bearing_noise_std=0.0342, radial_velocity_noise_std=0.1, latency_steps=0, dropout_probability=0.0, confidence_error=0.0",quality_monitor,trust_weighted_fusion,5_dynamic_trust_handoff,on,perfect (default),20,results/final/failure_envelope/envelope_high_clutter/
envelope_high_covariance,42-61,4,0,normal,"P_D=1.0, P_FA=0.0, clutter_density=0.0, range_noise_std=3.0, bearing_noise_std=0.0342, radial_velocity_noise_std=0.1, latency_steps=0, dropout_probability=0.0, confidence_error=0.0",quality_monitor,trust_weighted_fusion,5_dynamic_trust_handoff,on,perfect (default),20,results/final/failure_envelope/envelope_high_covariance/
envelope_high_calibration_error,42-61,4,0,normal,"P_D=1.0, P_FA=0.0, clutter_density=0.0, range_noise_std=0.3, bearing_noise_std=0.0342, radial_velocity_noise_std=0.1, latency_steps=0, dropout_probability=0.0, confidence_error=0.35",quality_monitor,trust_weighted_fusion,5_dynamic_trust_handoff,on,perfect (default),20,results/final/failure_envelope/envelope_high_calibration_error/
envelope_high_dropout,42-61,4,0,normal,"P_D=1.0, P_FA=0.0, clutter_density=0.0, range_noise_std=0.3, bearing_noise_std=0.0342, radial_velocity_noise_std=0.1, latency_steps=0, dropout_probability=0.4, confidence_error=0.0",quality_monitor,trust_weighted_fusion,5_dynamic_trust_handoff,on,perfect (default),20,results/final/failure_envelope/envelope_high_dropout/
combined__low_P_D__high_clutter,42-61,4,0,normal,"P_D=0.3, P_FA=0.3, clutter_density=2.0, range_noise_std=0.3, bearing_noise_std=0.0342, radial_velocity_noise_std=0.1, latency_steps=0, dropout_probability=0.0, confidence_error=0.0",quality_monitor,no_fusion,5_dynamic_trust_handoff,on,perfect (default),20,results/final/combined_fault/combined__low_P_D__high_clutter/
combined__radar_dropout__communication_loss,42-61,4,0,normal,"P_D=1.0, P_FA=0.0, clutter_density=0.0, range_noise_std=0.3, bearing_noise_std=0.0342, radial_velocity_noise_std=0.1, latency_steps=0, dropout_probability=0.25, confidence_error=0.0",quality_monitor,no_fusion,5_dynamic_trust_handoff,on,perfect (default),20,results/final/combined_fault/combined__radar_dropout__communication_loss/
