scenario,run_number,fusion_mode,false_positive_rate,false_negative_rate,noise_level,latency_steps,dropout_probability,confidence_error_level,collision_risk_count,unnecessary_avoidance_count,missed_response_count,fusion_recovery_count,mission_success,avg_response_time_s,total_near_misses,avg_formation_error,avg_confidence_error
baseline,1,no_fusion,0.0,0.0,0.0,0,0.0,0.0,79,0,0,0,Yes,0.0,47,3.682,0.0
baseline,2,no_fusion,0.0,0.0,0.0,0,0.0,0.0,79,0,0,0,Yes,0.0,47,3.682,0.0
baseline,3,no_fusion,0.0,0.0,0.0,0,0.0,0.0,79,0,0,0,Yes,0.0,47,3.682,0.0
baseline,4,no_fusion,0.0,0.0,0.0,0,0.0,0.0,79,0,0,0,Yes,0.0,47,3.682,0.0
baseline,5,no_fusion,0.0,0.0,0.0,0,0.0,0.0,79,0,0,0,Yes,0.0,47,3.682,0.0
false_positive,1,no_fusion,0.0,0.0,0.0,0,0.0,0.0,79,0,0,0,Yes,0.0,47,3.682,0.0
false_positive,2,no_fusion,0.0,0.0,0.0,0,0.0,0.0,79,0,0,0,Yes,0.0,47,3.682,0.0
false_positive,3,no_fusion,0.0,0.0,0.0,0,0.0,0.0,79,0,0,0,Yes,0.0,47,3.682,0.0
false_positive,4,no_fusion,0.0,0.0,0.0,0,0.0,0.0,79,0,0,0,Yes,0.0,47,3.682,0.0
false_positive,5,no_fusion,0.0,0.0,0.0,0,0.0,0.0,79,0,0,0,Yes,0.0,47,3.682,0.0
false_negative,1,no_fusion,0.0,0.4,0.0,0,0.0,0.0,82,0,19,0,No,0.24,40,4.074,0.0
false_negative,2,no_fusion,0.0,0.4,0.0,0,0.0,0.0,84,0,19,0,No,0.1,41,3.889,0.0
false_negative,3,no_fusion,0.0,0.4,0.0,0,0.0,0.0,90,0,22,0,Yes,0.12,47,3.963,0.0
false_negative,4,no_fusion,0.0,0.4,0.0,0,0.0,0.0,113,0,37,0,Yes,0.167,76,3.384,0.0
false_negative,5,no_fusion,0.0,0.4,0.0,0,0.0,0.0,90,0,24,0,Yes,0.067,52,3.977,0.0
sensor_noise,1,no_fusion,0.0,0.0,0.3,0,0.0,0.0,121,0,0,0,No,0.0,80,3.348,0.0
sensor_noise,2,no_fusion,0.0,0.0,0.3,0,0.0,0.0,117,0,0,0,Yes,0.0,84,3.343,0.0
sensor_noise,3,no_fusion,0.0,0.0,0.3,0,0.0,0.0,115,0,0,0,No,0.0,78,3.303,0.0
sensor_noise,4,no_fusion,0.0,0.0,0.3,0,0.0,0.0,125,0,0,0,No,0.0,75,3.299,0.0
sensor_noise,5,no_fusion,0.0,0.0,0.3,0,0.0,0.0,117,0,0,0,No,0.0,81,3.373,0.0
latency,1,no_fusion,0.0,0.0,0.0,5,0.0,0.0,96,0,0,0,Yes,0.0,54,4.059,0.0
