scenario,time_step,fusion_mode,fused_x,fused_y,fused_confidence,num_sources,source_track_ids
baseline,0,no_fusion,5.0133,14.8038,0.6,1,r0_t1
baseline,0,no_fusion,15.5077,4.5595,0.6,1,r0_t2
baseline,0,no_fusion,14.7263,15.1384,0.434,1,r0_t3
baseline,0,no_fusion,5.1489,4.6565,0.6,1,r1_t1
baseline,0,no_fusion,14.1653,4.3867,0.434,1,r1_t2
baseline,0,no_fusion,15.627,15.1971,0.6,1,r1_t3
baseline,0,no_fusion,4.8242,5.1482,0.6,1,r2_t1
baseline,0,no_fusion,5.7915,14.9654,0.434,1,r2_t2
baseline,0,no_fusion,14.8527,14.9354,0.6,1,r2_t3
baseline,0,no_fusion,5.1598,4.802,0.434,1,r3_t1
baseline,0,no_fusion,5.1283,14.5827,0.6,1,r3_t2
baseline,0,no_fusion,14.3845,5.6665,0.6,1,r3_t3
baseline,1,no_fusion,5.1782,14.9782,0.6,1,r0_t1
baseline,1,no_fusion,15.2369,4.7664,0.601,1,r0_t2
baseline,1,no_fusion,14.9885,14.9659,0.434,1,r0_t3
baseline,1,no_fusion,5.3018,4.7592,0.6,1,r1_t1
baseline,1,no_fusion,15.1097,5.2095,0.436,1,r1_t2
baseline,1,no_fusion,15.3282,15.0126,0.6,1,r1_t3
baseline,1,no_fusion,4.8301,5.0457,0.601,1,r2_t1
baseline,1,no_fusion,5.3286,15.2648,0.436,1,r2_t2
baseline,1,no_fusion,15.0815,15.4678,0.601,1,r2_t3
baseline,1,no_fusion,5.5666,4.6094,0.434,1,r3_t1
baseline,1,no_fusion,5.0916,15.1485,0.6,1,r3_t2
baseline,1,no_fusion,15.0544,5.2171,0.601,1,r3_t3
baseline,2,no_fusion,4.9815,15.2538,0.6,1,r0_t1
baseline,2,no_fusion,15.0253,5.4655,0.603,1,r0_t2
baseline,2,no_fusion,15.0169,15.2611,0.434,1,r0_t3
baseline,2,no_fusion,5.5999,5.259,0.6,1,r1_t1
baseline,2,no_fusion,15.4858,5.433,0.438,1,r1_t2
baseline,2,no_fusion,15.5331,15.0666,0.6,1,r1_t3
baseline,2,no_fusion,5.4597,5.1985,0.603,1,r2_t1
baseline,2,no_fusion,5.3492,15.1427,0.438,1,r2_t2
baseline,2,no_fusion,15.6318,15.8415,0.603,1,r2_t3
baseline,2,no_fusion,5.7059,5.3815,0.434,1,r3_t1
baseline,2,no_fusion,5.4534,15.2667,0.6,1,r3_t2
baseline,2,no_fusion,15.4425,5.7041,0.603,1,r3_t3
baseline,3,no_fusion,5.6065,15.9953,0.6,1,r0_t1
baseline,3,no_fusion,15.2401,5.8731,0.604,1,r0_t2
baseline,3,no_fusion,15.7793,15.2891,0.434,1,r0_t3
baseline,3,no_fusion,5.589,5.9749,0.6,1,r1_t1
baseline,3,no_fusion,15.45,5.4958,0.44,1,r1_t2
baseline,3,no_fusion,15.3419,15.0621,0.6,1,r1_t3
baseline,3,no_fusion,5.9477,5.5061,0.604,1,r2_t1
baseline,3,no_fusion,5.5107,15.6068,0.44,1,r2_t2
baseline,3,no_fusion,15.758,15.6704,0.604,1,r2_t3
baseline,3,no_fusion,5.6202,5.5071,0.434,1,r3_t1
baseline,3,no_fusion,5.5191,15.4246,0.6,1,r3_t2
baseline,3,no_fusion,15.8359,5.7791,0.604,1,r3_t3
