scenario,step,time_s,uav_id,x,y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,actual_target_x,actual_target_y,perceived_target_x,perceived_target_y,error_type,action_taken,num_perceived_detections,num_phantom_detections,dist_to_target,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,reached_goal,mission_completed_flag
latency,0,0.0,0,5.289,5.276,50.0,50.0,,,94.0,90.0,94.0,90.0,latency,move,0,0,122.669,uav_2,9.967,False,False,False,False,False
latency,0,0.0,1,5.293,15.272,50.0,50.0,,,90.0,94.0,90.0,94.0,latency,move,0,0,115.643,uav_0,9.996,False,False,False,False,False
latency,0,0.0,2,15.256,5.307,50.0,50.0,,,86.0,90.0,86.0,90.0,latency,move,0,0,110.352,uav_0,9.967,False,False,False,False,False
latency,0,0.0,3,15.29,15.275,50.0,50.0,,,90.0,86.0,90.0,86.0,latency,move,0,0,102.876,uav_2,9.968,False,False,False,False,False
latency,1,0.2,0,5.579,5.553,50.0,50.0,,,94.0,90.0,94.0,90.0,latency,move,0,0,122.269,uav_2,9.935,False,False,False,False,False
latency,1,0.2,1,5.586,15.545,50.0,50.0,,,90.0,94.0,90.0,94.0,latency,move,0,0,115.243,uav_0,9.992,False,False,False,False,False
latency,1,0.2,2,15.513,5.614,50.0,50.0,,,86.0,90.0,86.0,90.0,latency,move,0,0,109.952,uav_0,9.935,False,False,False,False,False
latency,1,0.2,3,15.581,15.55,50.0,50.0,,,90.0,86.0,90.0,86.0,latency,move,0,0,102.476,uav_2,9.936,False,False,False,False,False
latency,2,0.4,0,5.868,5.829,50.0,50.0,,,94.0,90.0,94.0,90.0,latency,move,0,0,121.869,uav_2,9.902,False,False,False,False,False
latency,2,0.4,1,5.879,15.817,50.0,50.0,,,90.0,94.0,90.0,94.0,latency,move,0,0,114.843,uav_0,9.988,False,False,False,False,False
latency,2,0.4,2,15.769,5.921,50.0,50.0,,,86.0,90.0,86.0,90.0,latency,move,0,0,109.552,uav_0,9.902,False,False,False,False,False
latency,2,0.4,3,15.871,15.825,50.0,50.0,,,90.0,86.0,90.0,86.0,latency,move,0,0,102.076,uav_2,9.905,False,False,False,False,False
latency,3,0.6,0,6.157,6.105,50.0,50.0,,,94.0,90.0,94.0,90.0,latency,move,0,0,121.469,uav_2,9.869,False,False,False,False,False
latency,3,0.6,1,6.172,16.089,50.0,50.0,,,90.0,94.0,90.0,94.0,latency,move,0,0,114.443,uav_0,9.984,False,False,False,False,False
latency,3,0.6,2,16.026,6.228,50.0,50.0,,,86.0,90.0,86.0,90.0,latency,move,0,0,109.152,uav_0,9.869,False,False,False,False,False
latency,3,0.6,3,16.162,16.1,50.0,50.0,,,90.0,86.0,90.0,86.0,latency,move,0,0,101.676,uav_2,9.873,False,False,False,False,False
latency,4,0.8,0,6.446,6.381,50.0,50.0,,,94.0,90.0,94.0,90.0,latency,move,0,0,121.069,uav_2,9.837,False,False,False,False,False
latency,4,0.8,1,6.465,16.362,50.0,50.0,,,90.0,94.0,90.0,94.0,latency,move,0,0,114.043,uav_0,9.98,False,False,False,False,False
latency,4,0.8,2,16.282,6.535,50.0,50.0,,,86.0,90.0,86.0,90.0,latency,move,0,0,108.752,uav_0,9.837,False,False,False,False,False
latency,4,0.8,3,16.452,16.375,50.0,50.0,,,90.0,86.0,90.0,86.0,latency,move,0,0,101.276,uav_2,9.841,False,False,False,False,False
latency,5,1.0,0,6.682,6.058,50.0,50.0,,,94.0,90.0,94.0,90.0,latency,avoidance,3,0,121.122,uav_2,10.0,False,False,False,False,False
latency,5,1.0,1,6.258,16.704,50.0,50.0,,,90.0,94.0,90.0,94.0,latency,avoidance,3,0,113.963,uav_3,10.361,False,False,False,False,False
latency,5,1.0,2,16.664,6.655,50.0,50.0,,,86.0,90.0,86.0,90.0,latency,avoidance,3,0,108.416,uav_0,10.0,False,False,False,False,False
latency,5,1.0,3,16.619,16.739,50.0,50.0,,,90.0,86.0,90.0,86.0,latency,avoidance,3,0,100.905,uav_2,10.084,False,False,False,False,False
latency,6,1.2,0,6.913,5.732,50.0,50.0,,,94.0,90.0,94.0,90.0,latency,avoidance,3,0,121.183,uav_2,10.186,False,False,False,False,False
latency,6,1.2,1,6.041,17.04,50.0,50.0,,,90.0,94.0,90.0,94.0,latency,avoidance,3,0,113.895,uav_3,10.743,False,False,False,False,False
latency,6,1.2,2,17.046,6.773,50.0,50.0,,,86.0,90.0,86.0,90.0,latency,avoidance,3,0,108.081,uav_0,10.186,False,False,False,False,False
latency,6,1.2,3,16.784,17.103,50.0,50.0,,,90.0,86.0,90.0,86.0,latency,avoidance,3,0,100.536,uav_2,10.334,False,False,False,False,False
latency,7,1.4,0,7.141,5.403,50.0,50.0,,,94.0,90.0,94.0,90.0,latency,avoidance,3,0,121.248,uav_2,10.394,False,False,False,False,False
latency,7,1.4,1,5.813,17.369,50.0,50.0,,,90.0,94.0,90.0,94.0,latency,avoidance,3,0,113.841,uav_3,11.134,False,False,False,False,False
latency,7,1.4,2,17.429,6.889,50.0,50.0,,,86.0,90.0,86.0,90.0,latency,avoidance,3,0,107.747,uav_0,10.394,False,False,False,False,False
latency,7,1.4,3,16.946,17.469,50.0,50.0,,,90.0,86.0,90.0,86.0,latency,avoidance,3,0,100.167,uav_2,10.59,False,False,False,False,False
latency,8,1.6,0,7.368,5.074,50.0,50.0,,,94.0,90.0,94.0,90.0,latency,avoidance,3,0,121.316,uav_2,10.62,False,False,False,False,False
latency,8,1.6,1,5.575,17.69,50.0,50.0,,,90.0,94.0,90.0,94.0,latency,avoidance,3,0,113.801,uav_3,11.532,False,False,False,False,False
latency,8,1.6,2,17.812,7.004,50.0,50.0,,,86.0,90.0,86.0,90.0,latency,avoidance,3,0,107.415,uav_0,10.62,False,False,False,False,False
latency,8,1.6,3,17.106,17.835,50.0,50.0,,,90.0,86.0,90.0,86.0,latency,avoidance,3,0,99.799,uav_2,10.854,False,False,False,False,False
latency,9,1.8,0,7.596,4.745,50.0,50.0,,,94.0,90.0,94.0,90.0,latency,avoidance,3,0,121.384,uav_2,10.862,False,False,False,False,False
latency,9,1.8,1,5.327,18.004,50.0,50.0,,,90.0,94.0,90.0,94.0,latency,avoidance,3,0,113.775,uav_3,11.938,False,False,False,False,False
latency,9,1.8,2,18.195,7.118,50.0,50.0,,,86.0,90.0,86.0,90.0,latency,avoidance,3,0,107.084,uav_0,10.862,False,False,False,False,False
latency,9,1.8,3,17.264,18.203,50.0,50.0,,,90.0,86.0,90.0,86.0,latency,avoidance,3,0,99.433,uav_2,11.124,False,False,False,False,False
latency,10,2.0,0,7.825,4.417,50.0,50.0,,,94.0,90.0,94.0,90.0,latency,avoidance,3,0,121.451,uav_2,11.116,False,False,False,False,False
latency,10,2.0,1,5.069,18.31,50.0,50.0,,,90.0,94.0,90.0,94.0,latency,avoidance,3,0,113.764,uav_3,12.353,False,False,False,False,False
latency,10,2.0,2,18.579,7.229,50.0,50.0,,,86.0,90.0,86.0,90.0,latency,avoidance,3,0,106.755,uav_0,11.116,False,False,False,False,False
latency,10,2.0,3,17.42,18.571,50.0,50.0,,,90.0,86.0,90.0,86.0,latency,avoidance,3,0,99.068,uav_2,11.401,False,False,False,False,False
latency,11,2.2,0,8.072,4.102,50.0,50.0,,,94.0,90.0,94.0,90.0,latency,avoidance,3,0,121.499,uav_2,11.363,False,False,False,False,False
latency,11,2.2,1,4.812,18.616,50.0,50.0,,,90.0,94.0,90.0,94.0,latency,avoidance,3,0,113.753,uav_3,12.765,False,False,False,False,False
latency,11,2.2,2,18.961,7.35,50.0,50.0,,,86.0,90.0,86.0,90.0,latency,avoidance,3,0,106.42,uav_0,11.363,False,False,False,False,False
latency,11,2.2,3,17.573,18.941,50.0,50.0,,,90.0,86.0,90.0,86.0,latency,avoidance,3,0,98.705,uav_2,11.673,False,False,False,False,False
latency,12,2.4,0,8.437,3.939,50.0,50.0,,,94.0,90.0,94.0,90.0,latency,avoidance,2,0,121.356,uav_2,11.46,False,False,False,False,False
latency,12,2.4,1,4.682,18.994,50.0,50.0,,,90.0,94.0,90.0,94.0,latency,avoidance,2,0,113.6,uav_3,13.073,False,False,False,False,False
latency,12,2.4,2,19.325,7.516,50.0,50.0,,,86.0,90.0,86.0,90.0,latency,avoidance,2,0,106.062,uav_0,11.46,False,False,False,False,False
latency,12,2.4,3,17.751,19.299,50.0,50.0,,,90.0,86.0,90.0,86.0,latency,avoidance,2,0,98.331,uav_2,11.887,False,False,False,False,False
latency,13,2.6,0,8.812,3.799,50.0,50.0,,,94.0,90.0,94.0,90.0,latency,avoidance,2,0,121.192,uav_2,11.548,False,False,False,False,False
latency,13,2.6,1,4.566,19.377,50.0,50.0,,,90.0,94.0,90.0,94.0,latency,avoidance,2,0,113.435,uav_3,13.367,False,False,False,False,False
latency,13,2.6,2,19.684,7.691,50.0,50.0,,,86.0,90.0,86.0,90.0,latency,avoidance,2,0,105.7,uav_0,11.548,False,False,False,False,False
latency,13,2.6,3,17.93,19.657,50.0,50.0,,,90.0,86.0,90.0,86.0,latency,avoidance,2,0,97.957,uav_2,12.093,False,False,False,False,False
latency,14,2.8,0,9.194,3.68,50.0,50.0,,,94.0,90.0,94.0,90.0,latency,avoidance,2,0,121.009,uav_2,11.629,False,False,False,False,False
latency,14,2.8,1,4.464,19.764,50.0,50.0,,,90.0,94.0,90.0,94.0,latency,avoidance,2,0,113.258,uav_3,13.647,False,False,False,False,False
latency,14,2.8,2,20.04,7.874,50.0,50.0,,,86.0,90.0,86.0,90.0,latency,avoidance,2,0,105.335,uav_0,11.629,False,False,False,False,False
latency,14,2.8,3,18.109,20.014,50.0,50.0,,,90.0,86.0,90.0,86.0,latency,avoidance,2,0,97.583,uav_2,12.293,False,False,False,False,False
latency,15,3.0,0,9.582,3.583,50.0,50.0,,,94.0,90.0,94.0,90.0,latency,avoidance,2,0,120.807,uav_2,11.702,False,False,False,False,False
latency,15,3.0,1,4.379,20.155,50.0,50.0,,,90.0,94.0,90.0,94.0,latency,avoidance,2,0,113.067,uav_3,13.912,False,False,False,False,False
latency,15,3.0,2,20.392,8.065,50.0,50.0,,,86.0,90.0,86.0,90.0,latency,avoidance,2,0,104.966,uav_0,11.702,False,False,False,False,False
latency,15,3.0,3,18.289,20.371,50.0,50.0,,,90.0,86.0,90.0,86.0,latency,avoidance,2,0,97.209,uav_2,12.485,False,False,False,False,False
latency,16,3.2,0,9.974,3.506,50.0,50.0,,,94.0,90.0,94.0,90.0,latency,avoidance,2,0,120.589,uav_2,11.769,False,False,False,False,False
latency,16,3.2,1,4.31,20.549,50.0,50.0,,,90.0,94.0,90.0,94.0,latency,avoidance,2,0,112.862,uav_3,14.162,False,False,False,False,False
latency,16,3.2,2,20.74,8.262,50.0,50.0,,,86.0,90.0,86.0,90.0,latency,avoidance,2,0,104.594,uav_0,11.769,False,False,False,False,False
latency,16,3.2,3,18.47,20.728,50.0,50.0,,,90.0,86.0,90.0,86.0,latency,avoidance,2,0,96.835,uav_2,12.671,False,False,False,False,False
latency,17,3.4,0,10.37,3.447,50.0,50.0,,,94.0,90.0,94.0,90.0,latency,avoidance,2,0,120.355,uav_2,11.831,False,False,False,False,False
latency,17,3.4,1,4.257,20.945,50.0,50.0,,,90.0,94.0,90.0,94.0,latency,avoidance,2,0,112.645,uav_3,14.396,False,False,False,False,False
latency,17,3.4,2,21.084,8.466,50.0,50.0,,,86.0,90.0,86.0,90.0,latency,avoidance,2,0,104.22,uav_0,11.831,False,False,False,False,False
latency,17,3.4,3,18.652,21.084,50.0,50.0,,,90.0,86.0,90.0,86.0,latency,avoidance,2,0,96.46,uav_2,12.85,False,False,False,False,False
latency,18,3.6,0,10.726,3.629,50.0,50.0,,,94.0,90.0,94.0,90.0,latency,avoidance,1,0,119.977,uav_2,11.829,False,False,False,False,False
latency,18,3.6,1,4.48,21.278,50.0,50.0,,,90.0,94.0,90.0,94.0,latency,avoidance,1,0,112.26,uav_3,14.356,False,False,False,False,False
latency,18,3.6,2,21.424,8.676,50.0,50.0,,,86.0,90.0,86.0,90.0,latency,avoidance,2,0,103.844,uav_0,11.829,False,False,False,False,False
