scenario,step,time_s,uav_id,uav_pos_x,uav_pos_y,goal_pos_x,goal_pos_y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,perception_error_type,confidence_value,fusion_mode,action_taken,safety_margin_mode,safety_margin_applied,quality_action_taken,num_perceived_detections,num_phantom_detections,dist_to_goal,distance_to_nearest_uav,distance_to_obstacle,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,mission_completed_flag,reached_goal,num_active_entities,active_entities_json
multiple_obstacles,0,0.0,0,5.271,5.259,94.0,90.0,30.0,30.0,,,none,,no_fusion,move,fixed,0.5,,3,0,122.694,9.969,30.98,uav_2,9.969,False,False,False,False,False,3,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 30.0, ""y"": 30.0, ""radius"": 4.0}, {""id"": ""obstacle_1"", ""kind"": ""static_obstacle"", ""x"": 55.0, ""y"": 50.0, ""radius"": 5.0}, {""id"": ""obstacle_2"", ""kind"": ""static_obstacle"", ""x"": 75.0, ""y"": 68.0, ""radius"": 4.0}]"
multiple_obstacles,0,0.0,1,5.275,15.255,90.0,94.0,30.0,30.0,,,none,,no_fusion,move,fixed,0.5,,3,0,115.668,9.996,24.788,uav_0,9.996,False,False,False,False,False,3,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 30.0, ""y"": 30.0, ""radius"": 4.0}, {""id"": ""obstacle_1"", ""kind"": ""static_obstacle"", ""x"": 55.0, ""y"": 50.0, ""radius"": 5.0}, {""id"": ""obstacle_2"", ""kind"": ""static_obstacle"", ""x"": 75.0, ""y"": 68.0, ""radius"": 4.0}]"
multiple_obstacles,0,0.0,2,15.24,5.288,86.0,90.0,30.0,30.0,,,none,,no_fusion,move,fixed,0.5,,3,0,110.377,9.969,24.784,uav_0,9.969,False,False,False,False,False,3,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 30.0, ""y"": 30.0, ""radius"": 4.0}, {""id"": ""obstacle_1"", ""kind"": ""static_obstacle"", ""x"": 55.0, ""y"": 50.0, ""radius"": 5.0}, {""id"": ""obstacle_2"", ""kind"": ""static_obstacle"", ""x"": 75.0, ""y"": 68.0, ""radius"": 4.0}]"
multiple_obstacles,0,0.0,3,15.272,15.258,90.0,86.0,30.0,30.0,,,none,,no_fusion,move,fixed,0.5,,3,0,102.901,9.97,16.838,uav_2,9.97,False,False,False,False,False,3,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 30.0, ""y"": 30.0, ""radius"": 4.0}, {""id"": ""obstacle_1"", ""kind"": ""static_obstacle"", ""x"": 55.0, ""y"": 50.0, ""radius"": 5.0}, {""id"": ""obstacle_2"", ""kind"": ""static_obstacle"", ""x"": 75.0, ""y"": 68.0, ""radius"": 4.0}]"
multiple_obstacles,1,0.2,0,5.542,5.518,94.0,90.0,30.0,30.0,,,none,,no_fusion,move,fixed,0.5,,3,0,122.319,9.939,30.606,uav_2,9.939,False,False,False,False,False,3,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 30.0, ""y"": 30.0, ""radius"": 4.0}, {""id"": ""obstacle_1"", ""kind"": ""static_obstacle"", ""x"": 55.0, ""y"": 50.0, ""radius"": 5.0}, {""id"": ""obstacle_2"", ""kind"": ""static_obstacle"", ""x"": 75.0, ""y"": 68.0, ""radius"": 4.0}]"
multiple_obstacles,1,0.2,1,5.549,15.511,90.0,94.0,30.0,30.0,,,none,,no_fusion,move,fixed,0.5,,3,0,115.293,9.993,24.421,uav_0,9.993,False,False,False,False,False,3,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 30.0, ""y"": 30.0, ""radius"": 4.0}, {""id"": ""obstacle_1"", ""kind"": ""static_obstacle"", ""x"": 55.0, ""y"": 50.0, ""radius"": 5.0}, {""id"": ""obstacle_2"", ""kind"": ""static_obstacle"", ""x"": 75.0, ""y"": 68.0, ""radius"": 4.0}]"
multiple_obstacles,1,0.2,2,15.481,5.576,86.0,90.0,30.0,30.0,,,none,,no_fusion,move,fixed,0.5,,3,0,110.002,9.939,24.414,uav_0,9.939,False,False,False,False,False,3,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 30.0, ""y"": 30.0, ""radius"": 4.0}, {""id"": ""obstacle_1"", ""kind"": ""static_obstacle"", ""x"": 55.0, ""y"": 50.0, ""radius"": 5.0}, {""id"": ""obstacle_2"", ""kind"": ""static_obstacle"", ""x"": 75.0, ""y"": 68.0, ""radius"": 4.0}]"
multiple_obstacles,1,0.2,3,15.545,15.516,90.0,86.0,30.0,30.0,,,none,,no_fusion,move,fixed,0.5,,3,0,102.526,9.94,16.463,uav_2,9.94,False,False,False,False,False,3,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 30.0, ""y"": 30.0, ""radius"": 4.0}, {""id"": ""obstacle_1"", ""kind"": ""static_obstacle"", ""x"": 55.0, ""y"": 50.0, ""radius"": 5.0}, {""id"": ""obstacle_2"", ""kind"": ""static_obstacle"", ""x"": 75.0, ""y"": 68.0, ""radius"": 4.0}]"
multiple_obstacles,2,0.4,0,5.814,5.777,94.0,90.0,30.0,30.0,,,none,,no_fusion,move,fixed,0.5,,3,0,121.944,9.908,30.231,uav_2,9.908,False,False,False,False,False,3,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 30.0, ""y"": 30.0, ""radius"": 4.0}, {""id"": ""obstacle_1"", ""kind"": ""static_obstacle"", ""x"": 55.0, ""y"": 50.0, ""radius"": 5.0}, {""id"": ""obstacle_2"", ""kind"": ""static_obstacle"", ""x"": 75.0, ""y"": 68.0, ""radius"": 4.0}]"
multiple_obstacles,2,0.4,1,5.824,15.766,90.0,94.0,30.0,30.0,,,none,,no_fusion,move,fixed,0.5,,3,0,114.918,9.989,24.055,uav_0,9.989,False,False,False,False,False,3,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 30.0, ""y"": 30.0, ""radius"": 4.0}, {""id"": ""obstacle_1"", ""kind"": ""static_obstacle"", ""x"": 55.0, ""y"": 50.0, ""radius"": 5.0}, {""id"": ""obstacle_2"", ""kind"": ""static_obstacle"", ""x"": 75.0, ""y"": 68.0, ""radius"": 4.0}]"
multiple_obstacles,2,0.4,2,15.721,5.863,86.0,90.0,30.0,30.0,,,none,,no_fusion,move,fixed,0.5,,3,0,109.627,9.908,24.044,uav_0,9.908,False,False,False,False,False,3,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 30.0, ""y"": 30.0, ""radius"": 4.0}, {""id"": ""obstacle_1"", ""kind"": ""static_obstacle"", ""x"": 55.0, ""y"": 50.0, ""radius"": 5.0}, {""id"": ""obstacle_2"", ""kind"": ""static_obstacle"", ""x"": 75.0, ""y"": 68.0, ""radius"": 4.0}]"
multiple_obstacles,2,0.4,3,15.817,15.773,90.0,86.0,30.0,30.0,,,none,,no_fusion,move,fixed,0.5,,3,0,102.151,9.91,16.089,uav_2,9.91,False,False,False,False,False,3,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 30.0, ""y"": 30.0, ""radius"": 4.0}, {""id"": ""obstacle_1"", ""kind"": ""static_obstacle"", ""x"": 55.0, ""y"": 50.0, ""radius"": 5.0}, {""id"": ""obstacle_2"", ""kind"": ""static_obstacle"", ""x"": 75.0, ""y"": 68.0, ""radius"": 4.0}]"
multiple_obstacles,3,0.6,0,6.085,6.036,94.0,90.0,30.0,30.0,,,none,,no_fusion,move,fixed,0.5,,3,0,121.569,9.878,29.856,uav_2,9.878,False,False,False,False,False,3,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 30.0, ""y"": 30.0, ""radius"": 4.0}, {""id"": ""obstacle_1"", ""kind"": ""static_obstacle"", ""x"": 55.0, ""y"": 50.0, ""radius"": 5.0}, {""id"": ""obstacle_2"", ""kind"": ""static_obstacle"", ""x"": 75.0, ""y"": 68.0, ""radius"": 4.0}]"
multiple_obstacles,3,0.6,1,6.099,16.021,90.0,94.0,30.0,30.0,,,none,,no_fusion,move,fixed,0.5,,3,0,114.543,9.985,23.689,uav_0,9.985,False,False,False,False,False,3,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 30.0, ""y"": 30.0, ""radius"": 4.0}, {""id"": ""obstacle_1"", ""kind"": ""static_obstacle"", ""x"": 55.0, ""y"": 50.0, ""radius"": 5.0}, {""id"": ""obstacle_2"", ""kind"": ""static_obstacle"", ""x"": 75.0, ""y"": 68.0, ""radius"": 4.0}]"
