scenario,step,time_s,uav_id,uav_pos_x,uav_pos_y,goal_pos_x,goal_pos_y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,perception_error_type,confidence_value,fusion_mode,action_taken,num_perceived_detections,num_phantom_detections,dist_to_goal,distance_to_nearest_uav,distance_to_obstacle,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,mission_completed_flag,reached_goal
no_fusion_matched,0,0.0,0,4.69,4.747,94.0,90.0,50.0,50.0,,,false_negative+position_noise+confidence_error,,no_fusion,avoidance,2,0,123.468,10.653,59.038,uav_1,10.653,False,False,False,False,False
no_fusion_matched,0,0.0,1,5.077,15.392,90.0,94.0,50.0,50.0,,,false_negative+position_noise+confidence_error,,no_fusion,avoidance,1,0,115.72,10.118,51.708,uav_3,10.118,False,False,False,False,False
no_fusion_matched,0,0.0,2,15.349,5.195,86.0,90.0,50.0,50.0,,,false_negative+position_noise+confidence_error,,no_fusion,avoidance,2,0,110.378,10.155,51.64,uav_3,10.155,False,False,False,False,False
no_fusion_matched,0,0.0,3,15.195,15.349,90.0,86.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,3,0,102.895,10.118,44.113,uav_1,10.118,False,False,False,False,False
no_fusion_matched,1,0.2,0,5.068,4.616,94.0,90.0,50.0,50.0,,,false_negative+position_noise+confidence_error,,no_fusion,avoidance,2,0,123.286,10.649,58.864,uav_2,10.649,False,False,False,False,False
no_fusion_matched,1,0.2,1,5.089,15.792,90.0,94.0,50.0,50.0,,,false_negative+position_noise+confidence_error,,no_fusion,avoidance,1,0,115.44,10.259,51.455,uav_3,10.259,False,False,False,False,False
no_fusion_matched,1,0.2,2,15.688,5.408,86.0,90.0,50.0,50.0,,,false_negative+position_noise+confidence_error,,no_fusion,avoidance,2,0,109.998,10.316,51.265,uav_3,10.316,False,False,False,False,False
no_fusion_matched,1,0.2,3,15.348,15.719,90.0,86.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,3,0,102.53,10.259,43.744,uav_1,10.259,False,False,False,False,False
no_fusion_matched,2,0.4,0,5.357,4.893,94.0,90.0,50.0,50.0,,,false_negative+confidence_error,,no_fusion,move,0,0,122.886,10.705,58.464,uav_2,10.705,False,False,False,False,False
no_fusion_matched,2,0.4,1,5.014,16.185,90.0,94.0,50.0,50.0,,,false_negative+position_noise+confidence_error,,no_fusion,avoidance,2,0,115.229,10.464,51.278,uav_3,10.464,False,False,False,False,False
no_fusion_matched,2,0.4,2,16.038,5.6,86.0,90.0,50.0,50.0,,,false_negative+position_noise+confidence_error,,no_fusion,avoidance,2,0,109.626,10.512,50.899,uav_3,10.512,False,False,False,False,False
no_fusion_matched,2,0.4,3,15.477,16.097,90.0,86.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,102.176,10.464,43.386,uav_1,10.464,False,False,False,False,False
no_fusion_matched,3,0.6,0,5.757,4.906,94.0,90.0,50.0,50.0,,,false_negative+position_noise+confidence_error,,no_fusion,avoidance,1,0,122.588,10.701,58.174,uav_2,10.701,False,False,False,False,False
no_fusion_matched,3,0.6,1,5.135,16.566,90.0,94.0,50.0,50.0,,,false_negative+position_noise+confidence_error,,no_fusion,avoidance,1,0,114.883,10.525,50.953,uav_3,10.525,False,False,False,False,False
no_fusion_matched,3,0.6,2,16.428,5.69,86.0,90.0,50.0,50.0,,,false_negative+position_noise+confidence_error,,no_fusion,avoidance,1,0,109.309,10.701,50.592,uav_0,10.701,False,False,False,False,False
no_fusion_matched,3,0.6,3,15.659,16.454,90.0,86.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,101.8,10.525,43.007,uav_1,10.525,False,False,False,False,False
no_fusion_matched,4,0.8,0,6.135,4.777,94.0,90.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,122.405,10.72,58.002,uav_2,10.72,False,False,False,False,False
no_fusion_matched,4,0.8,1,5.064,16.96,90.0,94.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,114.67,10.892,50.775,uav_3,10.892,False,False,False,False,False
no_fusion_matched,4,0.8,2,16.804,5.828,86.0,90.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,108.963,10.72,50.255,uav_0,10.72,False,False,False,False,False
no_fusion_matched,4,0.8,3,15.954,16.724,90.0,86.0,50.0,50.0,,,false_negative+position_noise+confidence_error,,no_fusion,avoidance,1,0,101.4,10.892,42.607,uav_1,10.892,False,False,False,False,False
no_fusion_matched,5,1.0,0,6.532,4.826,94.0,90.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,122.087,10.658,57.691,uav_2,10.658,False,False,False,False,False
no_fusion_matched,5,1.0,1,5.342,17.248,90.0,94.0,50.0,50.0,,,false_negative+position_noise+confidence_error,,no_fusion,avoidance,1,0,114.271,10.833,50.381,uav_3,10.833,False,False,False,False,False
no_fusion_matched,5,1.0,2,17.117,6.077,86.0,90.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,108.572,10.658,49.868,uav_0,10.658,False,False,False,False,False
no_fusion_matched,5,1.0,3,16.173,17.059,90.0,86.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,101.012,10.833,42.217,uav_1,10.833,False,False,False,False,False
no_fusion_matched,6,1.2,0,6.777,5.142,94.0,90.0,50.0,50.0,,,false_negative+position_noise+confidence_error,,no_fusion,avoidance,1,0,121.691,10.768,57.293,uav_2,10.768,False,False,False,False,False
no_fusion_matched,6,1.2,1,5.218,17.629,90.0,94.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,114.107,11.158,50.256,uav_3,11.158,False,False,False,False,False
no_fusion_matched,6,1.2,2,17.492,6.216,86.0,90.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,108.227,10.768,49.532,uav_0,10.768,False,False,False,False,False
no_fusion_matched,6,1.2,3,16.375,17.404,90.0,86.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,100.629,11.158,41.831,uav_1,11.158,False,False,False,False,False
no_fusion_matched,7,1.4,0,7.12,4.935,94.0,90.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,121.591,10.847,57.206,uav_2,10.847,False,False,False,False,False
no_fusion_matched,7,1.4,1,5.23,18.029,90.0,94.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,113.832,11.311,50.014,uav_3,11.311,False,False,False,False,False
no_fusion_matched,7,1.4,2,17.878,6.322,86.0,90.0,50.0,50.0,,,false_negative+position_noise+confidence_error,,no_fusion,avoidance,1,0,107.901,10.847,49.218,uav_0,10.847,False,False,False,False,False
no_fusion_matched,7,1.4,3,16.538,17.769,90.0,86.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,100.26,11.311,41.46,uav_1,11.311,False,False,False,False,False
no_fusion_matched,8,1.6,0,7.501,5.055,94.0,90.0,50.0,50.0,,,false_negative+position_noise+confidence_error,,no_fusion,avoidance,1,0,121.234,10.837,56.857,uav_2,10.837,False,False,False,False,False
no_fusion_matched,8,1.6,1,5.111,18.411,90.0,94.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,113.666,11.678,49.89,uav_3,11.678,False,False,False,False,False
no_fusion_matched,8,1.6,2,18.244,6.484,86.0,90.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,107.545,10.837,48.872,uav_0,10.837,False,False,False,False,False
no_fusion_matched,8,1.6,3,16.785,18.084,90.0,86.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,99.865,11.678,41.064,uav_1,11.678,False,False,False,False,False
no_fusion_matched,9,1.8,0,7.882,5.177,94.0,90.0,50.0,50.0,,,false_negative+position_noise+confidence_error,,no_fusion,avoidance,1,0,120.877,10.829,56.506,uav_2,10.829,False,False,False,False,False
no_fusion_matched,9,1.8,1,5.452,18.62,90.0,94.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,113.272,11.556,49.491,uav_3,11.556,False,False,False,False,False
no_fusion_matched,9,1.8,2,18.611,6.641,86.0,90.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,107.191,10.829,48.528,uav_0,10.829,False,False,False,False,False
no_fusion_matched,9,1.8,3,17.006,18.417,90.0,86.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,99.476,11.556,40.673,uav_1,11.556,False,False,False,False,False
no_fusion_matched,10,2.0,0,8.282,5.183,94.0,90.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,120.588,10.806,56.228,uav_2,10.806,False,False,False,False,False
no_fusion_matched,10,2.0,1,5.342,19.005,90.0,94.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,113.099,11.88,49.36,uav_3,11.88,False,False,False,False,False
no_fusion_matched,10,2.0,2,18.961,6.835,86.0,90.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,106.821,10.806,48.166,uav_0,10.806,False,False,False,False,False
no_fusion_matched,10,2.0,3,17.219,18.756,90.0,86.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,99.09,11.88,40.286,uav_1,11.88,False,False,False,False,False
no_fusion_matched,11,2.2,0,8.52,5.505,94.0,90.0,50.0,50.0,,,false_negative+position_noise+confidence_error,,no_fusion,avoidance,1,0,120.193,10.924,55.831,uav_2,10.924,False,False,False,False,False
no_fusion_matched,11,2.2,1,5.236,19.39,90.0,94.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,112.922,12.141,49.229,uav_3,12.141,False,False,False,False,False
no_fusion_matched,11,2.2,2,19.351,6.925,86.0,90.0,50.0,50.0,,,false_negative+position_noise+confidence_error,,no_fusion,avoidance,1,0,106.506,10.924,47.866,uav_0,10.924,False,False,False,False,False
no_fusion_matched,11,2.2,3,17.375,19.124,90.0,86.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,98.726,12.141,39.919,uav_1,12.141,False,False,False,False,False
no_fusion_matched,12,2.4,0,8.92,5.497,94.0,90.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,119.914,10.913,55.565,uav_2,10.913,False,False,False,False,False
no_fusion_matched,12,2.4,1,5.163,19.784,90.0,94.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,112.718,12.433,49.069,uav_3,12.433,False,False,False,False,False
no_fusion_matched,12,2.4,2,19.716,7.088,86.0,90.0,50.0,50.0,,,position_noise+confidence_error,,no_fusion,avoidance,2,0,106.15,10.913,47.522,uav_0,10.913,False,False,False,False,False
