time_step,radar_id,target_id,true_target_x,true_target_y,target_velocity_x,target_velocity_y,true_range,true_bearing,true_radial_velocity,measured_range,measured_bearing,measured_radial_velocity,detected_x,detected_y,confidence_score,detection_status,false_alarm_flag,missed_detection_flag,clutter_flag,dropout_flag
0,radar_0,uav_1,2.0,0.0,1.0,0.3,2.0,0.0,1.0,1.998,0.0123,0.981,1.998,0.024,1.0,detected,False,False,False,False
0,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,,,,,,,missed,False,True,False,False
1,radar_0,uav_1,3.0,0.3,1.0,0.3,3.015,0.0997,1.025,2.97,0.1037,1.199,2.954,0.307,0.999,detected,False,False,False,False
1,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,15.884,0.3457,,14.944,5.383,0.731,detected,False,False,False,False
2,radar_0,uav_1,4.0,0.6,1.0,0.3,4.045,0.1489,1.033,4.046,0.147,1.113,4.003,0.593,0.997,detected,False,False,False,False
2,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,15.582,0.3463,,14.657,5.288,0.731,detected,False,False,False,False
3,radar_0,uav_1,5.0,0.9,1.0,0.3,5.08,0.1781,1.037,5.186,0.1917,0.87,5.091,0.988,0.993,detected,False,False,False,False
3,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,15.786,0.3003,,15.08,4.67,0.731,detected,False,False,False,False
4,radar_0,uav_1,6.0,1.2,1.0,0.3,6.119,0.1974,1.039,6.159,0.1761,1.167,6.064,1.079,0.987,detected,False,False,False,False
4,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,15.653,0.3338,,14.789,5.128,0.731,detected,False,False,False,False
5,radar_0,uav_1,7.0,1.5,1.0,0.3,7.159,0.2111,1.041,7.174,0.2224,1.112,6.997,1.583,0.977,detected,False,False,False,False
5,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,15.711,0.3344,,14.841,5.156,0.731,detected,False,False,False,False
6,radar_0,uav_1,8.0,1.8,1.0,0.3,8.2,0.2213,1.041,,,,,,,missed,False,True,False,False
6,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,15.736,0.315,,14.962,4.875,0.731,detected,False,False,False,False
7,radar_0,uav_1,9.0,2.1,1.0,0.3,9.242,0.2292,1.042,9.374,0.2276,0.829,9.132,2.115,0.946,detected,False,False,False,False
7,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,,,,,,,missed,False,True,False,False
8,radar_0,uav_1,10.0,2.4,1.0,0.3,10.284,0.2355,1.042,10.229,0.23,1.151,9.96,2.332,0.924,detected,False,False,False,False
8,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,16.114,0.3092,,15.35,4.904,0.731,detected,False,False,False,False
9,radar_0,uav_1,11.0,2.7,1.0,0.3,11.327,0.2407,1.043,11.434,0.2308,1.032,11.131,2.616,0.897,detected,False,False,False,False
9,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,15.93,0.3199,,15.122,5.009,0.731,detected,False,False,False,False
10,radar_0,uav_1,12.0,3.0,1.0,0.3,12.369,0.245,1.043,12.533,0.2658,1.04,12.093,3.292,0.864,detected,False,False,False,False
10,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,15.884,0.3242,,15.057,5.06,0.731,detected,False,False,False,False
11,radar_0,uav_1,13.0,3.3,1.0,0.3,13.412,0.2486,1.043,13.533,0.2552,1.227,13.095,3.417,0.828,detected,False,False,False,False
