scenario,time_step,radar_id,track_id,est_x,est_y,est_vx,est_vy,confidence,age,missed_count,status
baseline,0,0,r0_t1,5.0136,14.8045,,,0.6,1,0,tentative
baseline,0,0,r0_t2,15.5058,4.552,,,0.6,1,0,tentative
baseline,0,0,r0_t3,14.7255,15.1408,,,0.434,1,0,tentative
baseline,0,1,r1_t1,5.1515,4.6577,,,0.6,1,0,tentative
baseline,0,1,r1_t2,14.1602,4.3804,,,0.434,1,0,tentative
baseline,0,1,r1_t3,15.625,15.2005,,,0.6,1,0,tentative
baseline,0,2,r2_t1,4.8248,5.1507,,,0.6,1,0,tentative
baseline,0,2,r2_t2,5.7896,14.9735,,,0.434,1,0,tentative
baseline,0,2,r2_t3,14.8502,14.9355,,,0.6,1,0,tentative
baseline,0,3,r3_t1,5.1615,4.8009,,,0.434,1,0,tentative
baseline,0,3,r3_t2,5.1282,14.5755,,,0.6,1,0,tentative
baseline,0,3,r3_t3,14.3737,5.6651,,,0.6,1,0,tentative
baseline,1,0,r0_t1,5.1614,14.9615,1.232,1.308,0.6,2,0,tentative
baseline,1,0,r0_t2,15.2633,4.7382,-2.0205,1.5515,0.601,2,0,tentative
baseline,1,0,r0_t3,14.9646,14.9857,1.9925,-1.2925,0.434,2,0,tentative
baseline,1,1,r1_t1,5.2885,4.7503,1.1415,0.772,0.6,2,0,tentative
baseline,1,1,r1_t2,15.0145,5.1263,7.1195,6.2155,0.436,2,0,tentative
baseline,1,1,r1_t3,15.3574,15.0287,-2.23,-1.4315,0.6,2,0,tentative
baseline,1,2,r2_t1,4.8307,5.0541,0.049,-0.805,0.601,2,0,tentative
baseline,1,2,r2_t2,5.3753,15.2367,-3.4525,2.193,0.436,2,0,tentative
baseline,1,2,r2_t3,15.0566,15.4137,1.72,3.985,0.601,2,0,tentative
baseline,1,3,r3_t1,5.5307,4.6268,3.077,-1.451,0.434,2,0,tentative
baseline,1,3,r3_t2,5.0957,15.0906,-0.271,4.2925,0.6,2,0,tentative
baseline,1,3,r3_t3,14.9844,5.2621,5.0895,-3.358,0.601,2,0,tentative
baseline,2,0,r0_t1,4.9622,15.1931,-0.2144,1.6191,0.6,3,0,confirmed
baseline,2,0,r0_t2,15.0987,5.3547,-1.6964,3.3446,0.603,3,0,confirmed
baseline,2,0,r0_t3,14.9665,15.2692,1.0042,0.535,0.434,3,0,confirmed
baseline,2,1,r1_t1,5.5431,5.1901,1.6315,2.2182,0.6,3,0,confirmed
baseline,2,1,r1_t2,15.2669,5.2539,4.6111,3.6396,0.438,3,0,confirmed
baseline,2,1,r1_t3,15.5685,15.091,-0.2352,-0.4561,0.6,3,0,confirmed
baseline,2,2,r2_t1,5.3956,5.1992,2.3783,0.2023,0.603,3,0,confirmed
baseline,2,2,r2_t2,5.4321,15.0986,-1.4898,0.5214,0.438,3,0,confirmed
baseline,2,2,r2_t3,15.5351,15.7018,2.8538,3.193,0.603,3,0,confirmed
