scenario,run_number,false_positive_rate,false_negative_rate,noise_level,latency_steps,dropout_probability,collision_risk_count,unnecessary_avoidance_count,missed_response_count,mission_success,avg_response_time_s,total_near_misses,avg_formation_error
baseline,1,0.0,0.0,0.0,0,0.0,0,0,0,No,,0,9.497
baseline,2,0.0,0.0,0.0,0,0.0,0,0,0,No,,0,9.497
baseline,3,0.0,0.0,0.0,0,0.0,0,0,0,No,,0,9.497
baseline,4,0.0,0.0,0.0,0,0.0,0,0,0,No,,0,9.497
baseline,5,0.0,0.0,0.0,0,0.0,0,0,0,No,,0,9.497
false_positive,1,0.08,0.0,0.0,0,0.0,0,6,0,No,,0,8.923
false_positive,2,0.08,0.0,0.0,0,0.0,0,10,0,No,,0,8.932
false_positive,3,0.08,0.0,0.0,0,0.0,0,3,0,No,,0,8.804
false_positive,4,0.08,0.0,0.0,0,0.0,0,11,0,No,,0,9.013
false_positive,5,0.08,0.0,0.0,0,0.0,0,19,0,No,,0,9.44
false_negative,1,0.0,0.25,0.0,0,0.0,4,0,0,No,0.0,4,8.658
false_negative,2,0.0,0.25,0.0,0,0.0,5,0,0,No,0.0,5,8.646
false_negative,3,0.0,0.25,0.0,0,0.0,0,0,0,No,,0,7.942
false_negative,4,0.0,0.25,0.0,0,0.0,13,0,3,No,0.0,13,8.748
false_negative,5,0.0,0.25,0.0,0,0.0,10,0,2,No,0.0,10,8.59
sensor_noise,1,0.0,0.0,1.5,0,0.0,79,221,0,No,0.0,18,8.45
sensor_noise,2,0.0,0.0,1.5,0,0.0,37,187,0,No,0.0,37,8.656
sensor_noise,3,0.0,0.0,1.5,0,0.0,60,204,0,No,0.0,15,8.207
sensor_noise,4,0.0,0.0,1.5,0,0.0,67,176,0,No,0.0,14,8.084
sensor_noise,5,0.0,0.0,1.5,0,0.0,37,149,0,No,0.0,37,7.993
latency,1,0.0,0.0,0.0,5,0.0,0,0,0,No,,0,10.702
latency,2,0.0,0.0,0.0,5,0.0,0,0,0,No,,0,10.702
latency,3,0.0,0.0,0.0,5,0.0,0,0,0,No,,0,10.702
latency,4,0.0,0.0,0.0,5,0.0,0,0,0,No,,0,10.702
latency,5,0.0,0.0,0.0,5,0.0,0,0,0,No,,0,10.702
sensor_dropout,1,0.0,0.0,0.0,0,0.02,0,0,0,No,,0,8.886
sensor_dropout,2,0.0,0.0,0.0,0,0.02,26,0,5,No,0.5,15,8.586
sensor_dropout,3,0.0,0.0,0.0,0,0.02,41,0,20,No,1.0,40,8.716
sensor_dropout,4,0.0,0.0,0.0,0,0.02,0,0,0,No,,0,8.71
sensor_dropout,5,0.0,0.0,0.0,0,0.02,11,0,6,No,1.2,11,9.208
