scenario,step,time_s,uav_id,x,y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,actual_target_x,actual_target_y,perceived_target_x,perceived_target_y,error_type,action_taken,num_perceived_detections,num_phantom_detections,dist_to_target,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,reached_goal,mission_completed_flag
sensor_dropout,0,0.0,0,5.185,4.646,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,3,0,123.18,uav_2,10.215,False,False,False,False,False
sensor_dropout,0,0.0,1,4.753,15.315,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,3,0,116.01,uav_3,10.417,False,False,False,False,False
sensor_dropout,0,0.0,2,15.391,5.085,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,3,0,110.436,uav_0,10.215,False,False,False,False,False
sensor_dropout,0,0.0,3,15.17,15.362,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,3,0,102.904,uav_2,10.279,False,False,False,False,False
sensor_dropout,1,0.2,0,5.396,4.306,50.0,50.0,,,94.0,90.0,94.0,90.0,none,avoidance,3,0,123.265,uav_2,10.42,False,False,False,False,False
sensor_dropout,1,0.2,1,4.508,15.631,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,3,0,115.976,uav_3,10.829,False,False,False,False,False
sensor_dropout,1,0.2,2,15.779,5.182,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,3,0,110.114,uav_0,10.42,False,False,False,False,False
sensor_dropout,1,0.2,3,15.337,15.726,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,3,0,102.533,uav_2,10.552,False,False,False,False,False
sensor_dropout,2,0.4,0,5.684,4.584,50.0,50.0,,,94.0,90.0,94.0,90.0,dropout,move,0,0,122.865,uav_2,10.492,False,False,False,False,False
sensor_dropout,2,0.4,1,4.409,16.018,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,2,0,115.789,uav_3,11.119,False,False,False,False,False
sensor_dropout,2,0.4,2,16.149,5.334,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,109.761,uav_0,10.492,False,False,False,False,False
sensor_dropout,2,0.4,3,15.528,16.077,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,102.153,uav_2,10.761,False,False,False,False,False
sensor_dropout,3,0.6,0,5.971,4.862,50.0,50.0,,,94.0,90.0,94.0,90.0,dropout,move,0,0,122.465,uav_2,10.566,False,False,False,False,False
sensor_dropout,3,0.6,1,4.31,16.406,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,2,0,115.601,uav_3,11.41,False,False,False,False,False
sensor_dropout,3,0.6,2,16.518,5.488,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,109.408,uav_0,10.566,False,False,False,False,False
sensor_dropout,3,0.6,3,15.719,16.428,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,101.773,uav_2,10.97,False,False,False,False,False
sensor_dropout,4,0.8,0,6.259,5.14,50.0,50.0,,,94.0,90.0,94.0,90.0,dropout,move,0,0,122.065,uav_2,10.64,False,False,False,False,False
sensor_dropout,4,0.8,1,4.212,16.794,50.0,50.0,,,90.0,94.0,90.0,94.0,none,avoidance,2,0,115.414,uav_3,11.7,False,False,False,False,False
sensor_dropout,4,0.8,2,16.887,5.643,50.0,50.0,,,86.0,90.0,86.0,90.0,none,avoidance,2,0,109.054,uav_0,10.64,False,False,False,False,False
sensor_dropout,4,0.8,3,15.912,16.779,50.0,50.0,,,90.0,86.0,90.0,86.0,none,avoidance,2,0,101.393,uav_2,11.179,False,False,False,False,False
sensor_dropout,5,1.0,0,6.546,5.418,50.0,50.0,,,94.0,90.0,94.0,90.0,dropout,move,0,0,121.665,uav_2,10.716,False,False,False,False,False
