scenario,step,time_s,uav_id,x,y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,actual_target_x,actual_target_y,perceived_target_x,perceived_target_y,error_type,action_taken,num_perceived_detections,num_phantom_detections,dist_to_target,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,reached_goal,mission_completed_flag
sensor_noise,0,0.0,0,5.212,4.661,50.0,50.0,,,94.0,90.0,94.0,90.0,position_noise,avoidance,3,0,123.151,uav_2,10.193,False,False,False,False,False
sensor_noise,0,0.0,1,4.831,15.363,50.0,50.0,,,90.0,94.0,90.0,94.0,position_noise,avoidance,3,0,115.92,uav_3,10.33,False,False,False,False,False
sensor_noise,0,0.0,2,15.398,5.042,50.0,50.0,,,86.0,90.0,86.0,90.0,position_noise,avoidance,3,0,110.465,uav_0,10.193,False,False,False,False,False
sensor_noise,0,0.0,3,15.161,15.366,50.0,50.0,,,90.0,86.0,90.0,86.0,position_noise,avoidance,3,0,102.908,uav_2,10.327,False,False,False,False,False
sensor_noise,1,0.2,0,5.562,4.467,50.0,50.0,,,94.0,90.0,94.0,90.0,position_noise,avoidance,3,0,123.033,uav_2,10.252,False,False,False,False,False
sensor_noise,1,0.2,1,4.777,15.759,50.0,50.0,,,90.0,94.0,90.0,94.0,position_noise,avoidance,3,0,115.692,uav_3,10.459,False,False,False,False,False
sensor_noise,1,0.2,2,15.795,5.086,50.0,50.0,,,86.0,90.0,86.0,90.0,position_noise,avoidance,3,0,110.178,uav_0,10.252,False,False,False,False,False
sensor_noise,1,0.2,3,15.235,15.759,50.0,50.0,,,90.0,86.0,90.0,86.0,position_noise,avoidance,3,0,102.584,uav_1,10.459,False,False,False,False,False
sensor_noise,2,0.4,0,5.928,4.306,50.0,50.0,,,94.0,90.0,94.0,90.0,position_noise,avoidance,3,0,122.882,uav_2,10.272,False,False,False,False,False
sensor_noise,2,0.4,1,4.743,16.157,50.0,50.0,,,90.0,94.0,90.0,94.0,position_noise,avoidance,2,0,115.448,uav_3,10.642,False,False,False,False,False
sensor_noise,2,0.4,2,16.156,5.258,50.0,50.0,,,86.0,90.0,86.0,90.0,position_noise,avoidance,2,0,109.815,uav_0,10.272,False,False,False,False,False
sensor_noise,2,0.4,3,15.384,16.13,50.0,50.0,,,90.0,86.0,90.0,86.0,position_noise,avoidance,3,0,102.222,uav_1,10.642,False,False,False,False,False
sensor_noise,3,0.6,0,6.312,4.194,50.0,50.0,,,94.0,90.0,94.0,90.0,position_noise,avoidance,2,0,122.686,uav_2,10.294,False,False,False,False,False
sensor_noise,3,0.6,1,4.717,16.557,50.0,50.0,,,90.0,94.0,90.0,94.0,position_noise,avoidance,2,0,115.199,uav_3,10.841,False,False,False,False,False
sensor_noise,3,0.6,2,16.537,5.38,50.0,50.0,,,86.0,90.0,86.0,90.0,position_noise,avoidance,2,0,109.479,uav_0,10.294,False,False,False,False,False
sensor_noise,3,0.6,3,15.557,16.491,50.0,50.0,,,90.0,86.0,90.0,86.0,position_noise,avoidance,2,0,101.849,uav_1,10.841,False,False,False,False,False
sensor_noise,4,0.8,0,6.712,4.177,50.0,50.0,,,94.0,90.0,94.0,90.0,position_noise,avoidance,2,0,122.413,uav_2,10.279,False,False,False,False,False
sensor_noise,4,0.8,1,4.48,16.879,50.0,50.0,,,90.0,94.0,90.0,94.0,position_noise,avoidance,2,0,115.157,uav_3,11.273,False,False,False,False,False
sensor_noise,4,0.8,2,16.899,5.552,50.0,50.0,,,86.0,90.0,86.0,90.0,position_noise,avoidance,2,0,109.117,uav_0,10.279,False,False,False,False,False
sensor_noise,4,0.8,3,15.753,16.84,50.0,50.0,,,90.0,86.0,90.0,86.0,position_noise,avoidance,2,0,101.468,uav_1,11.273,False,False,False,False,False
sensor_noise,5,1.0,0,7.102,4.089,50.0,50.0,,,94.0,90.0,94.0,90.0,position_noise,avoidance,2,0,122.196,uav_2,10.292,False,False,False,False,False
sensor_noise,5,1.0,1,4.417,17.274,50.0,50.0,,,90.0,94.0,90.0,94.0,position_noise,avoidance,2,0,114.94,uav_3,11.476,False,False,False,False,False
sensor_noise,5,1.0,2,17.265,5.712,50.0,50.0,,,86.0,90.0,86.0,90.0,position_noise,avoidance,2,0,108.761,uav_0,10.292,False,False,False,False,False
sensor_noise,5,1.0,3,15.893,17.215,50.0,50.0,,,90.0,86.0,90.0,86.0,position_noise,avoidance,2,0,101.11,uav_1,11.476,False,False,False,False,False
sensor_noise,6,1.2,0,7.501,4.055,50.0,50.0,,,94.0,90.0,94.0,90.0,position_noise,avoidance,2,0,121.937,uav_2,10.289,False,False,False,False,False
sensor_noise,6,1.2,1,4.43,17.674,50.0,50.0,,,90.0,94.0,90.0,94.0,position_noise,avoidance,2,0,114.664,uav_3,11.676,False,False,False,False,False
sensor_noise,6,1.2,2,17.627,5.884,50.0,50.0,,,86.0,90.0,86.0,90.0,position_noise,avoidance,2,0,108.4,uav_0,10.289,False,False,False,False,False
sensor_noise,6,1.2,3,16.105,17.554,50.0,50.0,,,90.0,86.0,90.0,86.0,position_noise,avoidance,2,0,100.724,uav_1,11.676,False,False,False,False,False
sensor_noise,7,1.4,0,7.728,4.384,50.0,50.0,,,94.0,90.0,94.0,90.0,position_noise,avoidance,2,0,121.544,uav_2,10.386,False,False,False,False,False
sensor_noise,7,1.4,1,4.679,17.987,50.0,50.0,,,90.0,94.0,90.0,94.0,position_noise,avoidance,2,0,114.27,uav_3,11.627,False,False,False,False,False
sensor_noise,7,1.4,2,17.975,6.08,50.0,50.0,,,86.0,90.0,86.0,90.0,position_noise,avoidance,2,0,108.028,uav_0,10.386,False,False,False,False,False
sensor_noise,7,1.4,3,16.306,17.9,50.0,50.0,,,90.0,86.0,90.0,86.0,position_noise,avoidance,2,0,100.342,uav_1,11.627,False,False,False,False,False
sensor_noise,8,1.6,0,8.128,4.379,50.0,50.0,,,94.0,90.0,94.0,90.0,position_noise,avoidance,2,0,121.264,uav_2,10.383,False,False,False,False,False
sensor_noise,8,1.6,1,4.629,18.384,50.0,50.0,,,90.0,94.0,90.0,94.0,position_noise,avoidance,2,0,114.044,uav_3,11.918,False,False,False,False,False
sensor_noise,8,1.6,2,18.345,6.231,50.0,50.0,,,86.0,90.0,86.0,90.0,position_noise,avoidance,2,0,107.677,uav_0,10.383,False,False,False,False,False
sensor_noise,8,1.6,3,16.546,18.22,50.0,50.0,,,90.0,86.0,90.0,86.0,position_noise,avoidance,2,0,99.948,uav_1,11.918,False,False,False,False,False
sensor_noise,9,1.8,0,8.508,4.251,50.0,50.0,,,94.0,90.0,94.0,90.0,position_noise,avoidance,2,0,121.086,uav_2,10.401,False,False,False,False,False
sensor_noise,9,1.8,1,4.955,18.615,50.0,50.0,,,90.0,94.0,90.0,94.0,position_noise,avoidance,2,0,113.646,uav_3,11.741,False,False,False,False,False
sensor_noise,9,1.8,2,18.671,6.464,50.0,50.0,,,86.0,90.0,86.0,90.0,position_noise,avoidance,2,0,107.292,uav_0,10.401,False,False,False,False,False
sensor_noise,9,1.8,3,16.696,18.59,50.0,50.0,,,90.0,86.0,90.0,86.0,position_noise,avoidance,2,0,99.587,uav_1,11.741,False,False,False,False,False
sensor_noise,10,2.0,0,8.858,4.445,50.0,50.0,,,94.0,90.0,94.0,90.0,position_noise,avoidance,2,0,120.702,uav_2,10.399,False,False,False,False,False
sensor_noise,10,2.0,1,4.817,18.99,50.0,50.0,,,90.0,94.0,90.0,94.0,position_noise,avoidance,2,0,113.502,uav_3,12.105,False,False,False,False,False
sensor_noise,10,2.0,2,19.018,6.663,50.0,50.0,,,86.0,90.0,86.0,90.0,position_noise,avoidance,2,0,106.919,uav_0,10.399,False,False,False,False,False
sensor_noise,10,2.0,3,16.922,18.921,50.0,50.0,,,90.0,86.0,90.0,86.0,position_noise,avoidance,2,0,99.197,uav_1,12.105,False,False,False,False,False
sensor_noise,11,2.2,0,9.214,4.626,50.0,50.0,,,94.0,90.0,94.0,90.0,position_noise,avoidance,1,0,120.322,uav_2,10.4,False,False,False,False,False
sensor_noise,11,2.2,1,4.928,19.375,50.0,50.0,,,90.0,94.0,90.0,94.0,position_noise,avoidance,1,0,113.165,uav_3,12.182,False,False,False,False,False
sensor_noise,11,2.2,2,19.375,6.842,50.0,50.0,,,86.0,90.0,86.0,90.0,position_noise,avoidance,2,0,106.555,uav_0,10.4,False,False,False,False,False
sensor_noise,11,2.2,3,17.109,19.274,50.0,50.0,,,90.0,86.0,90.0,86.0,position_noise,avoidance,2,0,98.82,uav_1,12.182,False,False,False,False,False
sensor_noise,12,2.4,0,9.385,4.988,50.0,50.0,,,94.0,90.0,94.0,90.0,position_noise,avoidance,1,0,119.945,uav_2,10.542,False,False,False,False,False
sensor_noise,12,2.4,1,5.186,19.68,50.0,50.0,,,90.0,94.0,90.0,94.0,position_noise,avoidance,1,0,112.769,uav_3,12.118,False,False,False,False,False
sensor_noise,12,2.4,2,19.726,7.034,50.0,50.0,,,86.0,90.0,86.0,90.0,position_noise,avoidance,2,0,106.187,uav_0,10.542,False,False,False,False,False
sensor_noise,12,2.4,3,17.305,19.623,50.0,50.0,,,90.0,86.0,90.0,86.0,position_noise,avoidance,2,0,98.44,uav_1,12.118,False,False,False,False,False
sensor_noise,13,2.6,0,9.751,5.148,50.0,50.0,,,94.0,90.0,94.0,90.0,position_noise,avoidance,1,0,119.573,uav_2,10.531,False,False,False,False,False
sensor_noise,13,2.6,1,5.445,19.985,50.0,50.0,,,90.0,94.0,90.0,94.0,position_noise,avoidance,1,0,112.373,uav_3,12.051,False,False,False,False,False
sensor_noise,13,2.6,2,20.073,7.233,50.0,50.0,,,86.0,90.0,86.0,90.0,position_noise,avoidance,2,0,105.815,uav_0,10.531,False,False,False,False,False
sensor_noise,13,2.6,3,17.496,19.974,50.0,50.0,,,90.0,86.0,90.0,86.0,position_noise,avoidance,2,0,98.062,uav_1,12.051,False,False,False,False,False
sensor_noise,14,2.8,0,10.093,5.356,50.0,50.0,,,94.0,90.0,94.0,90.0,position_noise,avoidance,1,0,119.185,uav_2,10.544,False,False,False,False,False
sensor_noise,14,2.8,1,5.596,20.355,50.0,50.0,,,90.0,94.0,90.0,94.0,position_noise,avoidance,1,0,112.016,uav_3,12.212,False,False,False,False,False
sensor_noise,14,2.8,2,20.436,7.401,50.0,50.0,,,86.0,90.0,86.0,90.0,position_noise,avoidance,2,0,105.457,uav_0,10.544,False,False,False,False,False
sensor_noise,14,2.8,3,17.808,20.224,50.0,50.0,,,90.0,86.0,90.0,86.0,position_noise,avoidance,2,0,97.663,uav_1,12.212,False,False,False,False,False
sensor_noise,15,3.0,0,10.325,5.682,50.0,50.0,,,94.0,90.0,94.0,90.0,position_noise,avoidance,1,0,118.79,uav_2,10.637,False,False,False,False,False
sensor_noise,15,3.0,1,5.86,20.657,50.0,50.0,,,90.0,94.0,90.0,94.0,position_noise,avoidance,1,0,111.619,uav_3,12.15,False,False,False,False,False
sensor_noise,15,3.0,2,20.791,7.586,50.0,50.0,,,86.0,90.0,86.0,90.0,position_noise,avoidance,2,0,105.092,uav_0,10.637,False,False,False,False,False
sensor_noise,15,3.0,3,18.009,20.57,50.0,50.0,,,90.0,86.0,90.0,86.0,position_noise,avoidance,2,0,97.282,uav_1,12.15,False,False,False,False,False
sensor_noise,16,3.2,0,10.431,6.068,50.0,50.0,,,94.0,90.0,94.0,90.0,position_noise,avoidance,1,0,118.442,uav_2,10.825,False,False,False,False,False
sensor_noise,16,3.2,1,5.548,20.907,50.0,50.0,,,90.0,94.0,90.0,94.0,position_noise,avoidance,1,0,111.691,uav_3,12.7,False,False,False,False,False
sensor_noise,16,3.2,2,21.113,7.824,50.0,50.0,,,86.0,90.0,86.0,90.0,position_noise,avoidance,2,0,104.706,uav_0,10.825,False,False,False,False,False
sensor_noise,16,3.2,3,18.248,20.891,50.0,50.0,,,90.0,86.0,90.0,86.0,position_noise,avoidance,2,0,96.889,uav_1,12.7,False,False,False,False,False
sensor_noise,17,3.4,0,10.579,6.439,50.0,50.0,,,94.0,90.0,94.0,90.0,position_noise,avoidance,1,0,118.074,uav_2,11.005,False,False,False,False,False
sensor_noise,17,3.4,1,5.673,21.287,50.0,50.0,,,90.0,94.0,90.0,94.0,position_noise,avoidance,1,0,111.347,uav_3,12.777,False,False,False,False,False
sensor_noise,17,3.4,2,21.472,7.999,50.0,50.0,,,86.0,90.0,86.0,90.0,position_noise,avoidance,2,0,104.346,uav_0,11.005,False,False,False,False,False
sensor_noise,17,3.4,3,18.45,21.237,50.0,50.0,,,90.0,86.0,90.0,86.0,position_noise,avoidance,2,0,96.508,uav_1,12.777,False,False,False,False,False
sensor_noise,18,3.6,0,10.882,6.7,50.0,50.0,,,94.0,90.0,94.0,90.0,position_noise,avoidance,1,0,117.675,uav_2,11.046,False,False,False,False,False
sensor_noise,18,3.6,1,5.954,21.571,50.0,50.0,,,90.0,94.0,90.0,94.0,position_noise,avoidance,1,0,110.949,uav_3,12.726,False,False,False,False,False
sensor_noise,18,3.6,2,21.827,8.183,50.0,50.0,,,86.0,90.0,86.0,90.0,position_noise,avoidance,2,0,103.982,uav_0,11.046,False,False,False,False,False
sensor_noise,18,3.6,3,18.68,21.563,50.0,50.0,,,90.0,86.0,90.0,86.0,position_noise,avoidance,2,0,96.118,uav_1,12.726,False,False,False,False,False
