scenario,step,time_s,uav_id,uav_pos_x,uav_pos_y,goal_pos_x,goal_pos_y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,perception_error_type,confidence_value,fusion_mode,action_taken,num_perceived_detections,num_phantom_detections,dist_to_goal,distance_to_nearest_uav,distance_to_obstacle,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,mission_completed_flag,reached_goal
sensor_noise,0,0.0,0,5.317,4.757,94.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,3,0,123.008,10.085,58.589,uav_2,10.085,False,False,False,False,False
sensor_noise,0,0.0,1,4.843,15.368,90.0,94.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,3,0,115.908,10.36,51.908,uav_3,10.36,False,False,False,False,False
sensor_noise,0,0.0,2,15.398,5.037,86.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,3,0,110.469,10.085,51.736,uav_0,10.085,False,False,False,False,False
sensor_noise,0,0.0,3,15.203,15.345,90.0,86.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,3,0,102.892,10.31,44.11,uav_2,10.31,False,False,False,False,False
sensor_noise,1,0.2,0,5.649,4.533,94.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,3,0,122.924,10.148,58.515,uav_2,10.148,False,False,False,False,False
sensor_noise,1,0.2,1,4.669,15.728,90.0,94.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,3,0,115.793,10.678,51.829,uav_3,10.678,False,False,False,False,False
sensor_noise,1,0.2,2,15.778,5.162,86.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,3,0,110.13,10.148,51.405,uav_0,10.148,False,False,False,False,False
sensor_noise,1,0.2,3,15.347,15.718,90.0,86.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,3,0,102.531,10.565,43.745,uav_2,10.565,False,False,False,False,False
sensor_noise,2,0.4,0,5.804,4.164,94.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,3,0,123.07,10.399,58.672,uav_2,10.399,False,False,False,False,False
sensor_noise,2,0.4,1,4.56,16.113,90.0,94.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,115.613,10.972,51.685,uav_3,10.972,False,False,False,False,False
sensor_noise,2,0.4,2,16.136,5.341,86.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,109.764,10.399,51.047,uav_0,10.399,False,False,False,False,False
sensor_noise,2,0.4,3,15.531,16.073,90.0,86.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,3,0,102.154,10.749,43.365,uav_2,10.749,False,False,False,False,False
sensor_noise,3,0.6,0,6.171,4.005,94.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,122.919,10.438,58.534,uav_2,10.438,False,False,False,False,False
sensor_noise,3,0.6,1,4.509,16.51,90.0,94.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,115.384,11.181,51.489,uav_3,11.181,False,False,False,False,False
sensor_noise,3,0.6,2,16.5,5.507,86.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,109.405,10.438,50.695,uav_0,10.438,False,False,False,False,False
sensor_noise,3,0.6,3,15.689,16.44,90.0,86.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,101.787,10.964,42.995,uav_2,10.964,False,False,False,False,False
sensor_noise,4,0.8,0,6.562,3.922,94.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,122.698,10.353,58.325,uav_2,10.353,False,False,False,False,False
sensor_noise,4,0.8,1,4.414,16.898,90.0,94.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,115.194,11.448,51.336,uav_3,11.448,False,False,False,False,False
sensor_noise,4,0.8,2,16.738,5.828,86.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,109.005,10.353,50.295,uav_0,10.353,False,False,False,False,False
sensor_noise,4,0.8,3,15.862,16.801,90.0,86.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,101.415,11.008,42.619,uav_2,11.008,False,False,False,False,False
sensor_noise,5,1.0,0,6.962,3.92,94.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,122.414,10.33,58.052,uav_2,10.33,False,False,False,False,False
sensor_noise,5,1.0,1,4.375,17.296,90.0,94.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,114.957,11.7,51.136,uav_3,11.7,False,False,False,False,False
sensor_noise,5,1.0,2,17.069,6.052,86.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,108.622,10.33,49.916,uav_0,10.33,False,False,False,False,False
sensor_noise,5,1.0,3,16.074,17.14,90.0,86.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,101.028,11.133,42.231,uav_2,11.133,False,False,False,False,False
sensor_noise,6,1.2,0,7.349,4.024,94.0,90.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,122.067,10.315,57.713,uav_2,10.315,False,False,False,False,False
sensor_noise,6,1.2,1,4.255,17.678,90.0,94.0,50.0,50.0,,,position_noise,,no_fusion,avoidance,2,0,114.792,12.006,51.012,uav_3,12.006,False,False,False,False,False
