scenario,step,time_s,uav_id,uav_pos_x,uav_pos_y,goal_pos_x,goal_pos_y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,perception_error_type,confidence_value,fusion_mode,action_taken,safety_margin_mode,safety_margin_applied,quality_action_taken,num_perceived_detections,num_phantom_detections,dist_to_goal,distance_to_nearest_uav,distance_to_obstacle,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,mission_completed_flag,reached_goal,num_active_entities,active_entities_json
two_crossing_targets,0,0.0,0,5.312,4.791,94.0,90.0,0.0,0.0,,,none,,no_fusion,avoidance,fixed,0.5,,4,0,122.988,10.052,7.153,target_1,7.262,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 10.18, ""y"": 89.82, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 10.18, ""y"": 10.18, ""radius"": 0.0}]"
two_crossing_targets,0,0.0,1,4.858,15.347,90.0,94.0,0.0,0.0,,,none,,no_fusion,avoidance,fixed,0.5,,4,0,115.911,10.316,16.098,target_1,7.418,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 10.18, ""y"": 89.82, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 10.18, ""y"": 10.18, ""radius"": 0.0}]"
two_crossing_targets,0,0.0,2,15.359,5.108,86.0,90.0,0.0,0.0,,,none,,no_fusion,avoidance,fixed,0.5,,4,0,110.439,10.052,16.186,target_1,7.249,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 10.18, ""y"": 89.82, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 10.18, ""y"": 10.18, ""radius"": 0.0}]"
two_crossing_targets,0,0.0,3,15.175,15.332,90.0,86.0,0.0,0.0,,,none,,no_fusion,avoidance,fixed,0.5,,4,0,102.921,10.226,21.572,target_1,7.175,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 10.18, ""y"": 89.82, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 10.18, ""y"": 10.18, ""radius"": 0.0}]"
two_crossing_targets,1,0.2,0,5.638,4.606,94.0,90.0,0.0,0.0,,,none,,no_fusion,avoidance,fixed,0.5,,4,0,122.882,10.098,7.28,target_1,7.444,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 10.36, ""y"": 89.64, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 10.36, ""y"": 10.36, ""radius"": 0.0}]"
two_crossing_targets,1,0.2,1,4.733,15.701,90.0,94.0,0.0,0.0,,,none,,no_fusion,avoidance,fixed,0.5,,4,0,115.764,10.614,16.398,target_1,7.758,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 10.36, ""y"": 89.64, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 10.36, ""y"": 10.36, ""radius"": 0.0}]"
two_crossing_targets,1,0.2,2,15.717,5.221,86.0,90.0,0.0,0.0,,,none,,no_fusion,avoidance,fixed,0.5,,4,0,110.123,10.098,16.561,target_1,7.423,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 10.36, ""y"": 89.64, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 10.36, ""y"": 10.36, ""radius"": 0.0}]"
two_crossing_targets,1,0.2,3,15.347,15.665,90.0,86.0,0.0,0.0,,,none,,no_fusion,avoidance,fixed,0.5,,4,0,102.567,10.45,21.93,target_1,7.281,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 10.36, ""y"": 89.64, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 10.36, ""y"": 10.36, ""radius"": 0.0}]"
two_crossing_targets,2,0.4,0,5.974,4.441,94.0,90.0,0.0,0.0,,,none,,no_fusion,avoidance,fixed,0.5,,4,0,122.755,10.138,7.444,target_1,7.618,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 10.54, ""y"": 89.46, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 10.54, ""y"": 10.54, ""radius"": 0.0}]"
two_crossing_targets,2,0.4,1,4.624,16.06,90.0,94.0,0.0,0.0,,,none,,no_fusion,avoidance,fixed,0.5,,3,0,115.602,10.894,16.712,target_1,8.091,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 10.54, ""y"": 89.46, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 10.54, ""y"": 10.54, ""radius"": 0.0}]"
