ablation,scenario,trial,seed,fusion_mode,false_positive_rate,false_negative_rate,noise_level,latency_steps,dropout_probability,confidence_error_level,collision_risk_count,missed_response_count,fusion_recovery_count,mission_success,avg_response_time_s,avg_formation_error
no_radar_tracking,false_positive,1,42,no_fusion,0.08,0.0,0.0,0,0.0,0.0,85,0,0,Yes,0.0,4.006
no_radar_tracking,false_positive,2,43,no_fusion,0.08,0.0,0.0,0,0.0,0.0,88,0,0,Yes,0.0,4.005
no_radar_tracking,false_positive,3,44,no_fusion,0.08,0.0,0.0,0,0.0,0.0,290,0,0,Yes,0.0,4.321
no_radar_tracking,false_positive,4,45,no_fusion,0.08,0.0,0.0,0,0.0,0.0,87,0,0,Yes,0.0,4.105
no_radar_tracking,false_positive,5,46,no_fusion,0.08,0.0,0.0,0,0.0,0.0,75,0,0,Yes,0.0,4.368
no_radar_tracking,false_negative,1,42,no_fusion,0.0,0.25,0.0,0,0.0,0.0,90,11,0,Yes,0.113,4.119
no_radar_tracking,false_negative,2,43,no_fusion,0.0,0.25,0.0,0,0.0,0.0,86,14,0,Yes,0.05,4.2
no_radar_tracking,false_negative,3,44,no_fusion,0.0,0.25,0.0,0,0.0,0.0,97,16,0,Yes,0.125,4.136
no_radar_tracking,false_negative,4,45,no_fusion,0.0,0.25,0.0,0,0.0,0.0,76,11,0,Yes,0.088,4.109
no_radar_tracking,false_negative,5,46,no_fusion,0.0,0.25,0.0,0,0.0,0.0,95,9,0,Yes,0.15,4.141
no_radar_tracking,sensor_noise,1,42,no_fusion,0.0,0.0,1.5,0,0.0,0.0,161,0,0,Yes,0.0,4.307
no_radar_tracking,sensor_noise,2,43,no_fusion,0.0,0.0,1.5,0,0.0,0.0,148,0,0,No,0.0,3.787
no_radar_tracking,sensor_noise,3,44,no_fusion,0.0,0.0,1.5,0,0.0,0.0,155,0,0,No,0.0,3.719
no_radar_tracking,sensor_noise,4,45,no_fusion,0.0,0.0,1.5,0,0.0,0.0,156,0,0,Yes,0.0,4.367
no_radar_tracking,sensor_noise,5,46,no_fusion,0.0,0.0,1.5,0,0.0,0.0,178,0,0,No,0.0,3.913
no_radar_tracking,latency,1,42,no_fusion,0.0,0.0,0.0,5,0.0,0.0,80,0,0,Yes,1.0,4.527
no_radar_tracking,latency,2,43,no_fusion,0.0,0.0,0.0,5,0.0,0.0,80,0,0,Yes,1.0,4.527
no_radar_tracking,latency,3,44,no_fusion,0.0,0.0,0.0,5,0.0,0.0,80,0,0,Yes,1.0,4.527
no_radar_tracking,latency,4,45,no_fusion,0.0,0.0,0.0,5,0.0,0.0,80,0,0,Yes,1.0,4.527
no_radar_tracking,latency,5,46,no_fusion,0.0,0.0,0.0,5,0.0,0.0,80,0,0,Yes,1.0,4.527
no_radar_tracking,sensor_dropout,1,42,no_fusion,0.0,0.0,0.0,0,0.02,0.0,83,14,0,No,0.0,4.019
no_radar_tracking,sensor_dropout,2,43,no_fusion,0.0,0.0,0.0,0,0.02,0.0,77,20,0,Yes,0.15,3.898
no_radar_tracking,sensor_dropout,3,44,no_fusion,0.0,0.0,0.0,0,0.02,0.0,94,2,0,Yes,0.0,3.861
no_radar_tracking,sensor_dropout,4,45,no_fusion,0.0,0.0,0.0,0,0.02,0.0,95,1,0,Yes,0.375,4.491
no_radar_tracking,sensor_dropout,5,46,no_fusion,0.0,0.0,0.0,0,0.02,0.0,102,6,0,Yes,0.0,4.281
no_radar_tracking,confidence_error,1,42,no_fusion,0.0,0.0,0.0,0,0.0,0.35,115,0,0,Yes,0.0,3.98
no_radar_tracking,confidence_error,2,43,no_fusion,0.0,0.0,0.0,0,0.0,0.35,115,0,0,Yes,0.0,3.98
no_radar_tracking,confidence_error,3,44,no_fusion,0.0,0.0,0.0,0,0.0,0.35,115,0,0,Yes,0.0,3.98
no_radar_tracking,confidence_error,4,45,no_fusion,0.0,0.0,0.0,0,0.0,0.35,115,0,0,Yes,0.0,3.98
no_radar_tracking,confidence_error,5,46,no_fusion,0.0,0.0,0.0,0,0.0,0.35,115,0,0,Yes,0.0,3.98
no_radar_tracking,no_fusion_matched,1,42,no_fusion,0.0,0.2,1.5,0,0.0,0.15,187,26,0,No,0.075,3.933
no_radar_tracking,no_fusion_matched,2,43,no_fusion,0.0,0.2,1.5,0,0.0,0.15,188,30,0,No,0.075,3.484
no_radar_tracking,no_fusion_matched,3,44,no_fusion,0.0,0.2,1.5,0,0.0,0.15,158,25,0,No,0.025,4.136
no_radar_tracking,no_fusion_matched,4,45,no_fusion,0.0,0.2,1.5,0,0.0,0.15,153,20,0,No,0.062,4.387
no_radar_tracking,no_fusion_matched,5,46,no_fusion,0.0,0.2,1.5,0,0.0,0.15,205,24,0,No,0.025,4.267
no_radar_tracking,naive_fusion,1,42,naive_fusion,0.0,0.2,1.5,0,0.0,0.15,96,6,109,Yes,0.075,4.504
no_radar_tracking,naive_fusion,2,43,naive_fusion,0.0,0.2,1.5,0,0.0,0.15,83,8,92,Yes,0.075,4.125
no_radar_tracking,naive_fusion,3,44,naive_fusion,0.0,0.2,1.5,0,0.0,0.15,84,12,87,No,0.025,4.733
no_radar_tracking,naive_fusion,4,45,naive_fusion,0.0,0.2,1.5,0,0.0,0.15,94,12,100,Yes,0.05,4.335
no_radar_tracking,naive_fusion,5,46,naive_fusion,0.0,0.2,1.5,0,0.0,0.15,118,10,87,Yes,0.025,4.555
no_radar_tracking,trust_weighted_fusion,1,42,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,62,6,92,Yes,0.075,4.379
no_radar_tracking,trust_weighted_fusion,2,43,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,82,7,94,No,0.075,4.257
no_radar_tracking,trust_weighted_fusion,3,44,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,88,12,91,Yes,0.025,4.5
no_radar_tracking,trust_weighted_fusion,4,45,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,114,17,98,No,0.05,4.449
no_radar_tracking,trust_weighted_fusion,5,46,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,99,10,87,Yes,0.025,4.575
no_radar_tracking,one_uav_obstacle,1,42,no_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,one_uav_obstacle,2,43,no_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,one_uav_obstacle,3,44,no_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,one_uav_obstacle,4,45,no_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,one_uav_obstacle,5,46,no_fusion,0.0,0.0,0.0,0,0.0,0.0,115,0,0,Yes,0.0,3.98
no_radar_tracking,multiple_obstacles,1,42,no_fusion,0.0,0.0,0.0,0,0.0,0.0,785,0,0,No,0.0,4.537
no_radar_tracking,multiple_obstacles,2,43,no_fusion,0.0,0.0,0.0,0,0.0,0.0,785,0,0,No,0.0,4.537
no_radar_tracking,multiple_obstacles,3,44,no_fusion,0.0,0.0,0.0,0,0.0,0.0,785,0,0,No,0.0,4.537
no_radar_tracking,multiple_obstacles,4,45,no_fusion,0.0,0.0,0.0,0,0.0,0.0,785,0,0,No,0.0,4.537
no_radar_tracking,multiple_obstacles,5,46,no_fusion,0.0,0.0,0.0,0,0.0,0.0,785,0,0,No,0.0,4.537
no_radar_tracking,two_crossing_targets,1,42,no_fusion,0.0,0.0,0.0,0,0.0,0.0,251,0,0,Yes,0.0,8.41
no_radar_tracking,two_crossing_targets,2,43,no_fusion,0.0,0.0,0.0,0,0.0,0.0,251,0,0,Yes,0.0,8.41
no_radar_tracking,two_crossing_targets,3,44,no_fusion,0.0,0.0,0.0,0,0.0,0.0,251,0,0,Yes,0.0,8.41
no_radar_tracking,two_crossing_targets,4,45,no_fusion,0.0,0.0,0.0,0,0.0,0.0,251,0,0,Yes,0.0,8.41
no_radar_tracking,two_crossing_targets,5,46,no_fusion,0.0,0.0,0.0,0,0.0,0.0,251,0,0,Yes,0.0,8.41
no_radar_tracking,moving_obstacle_approaching_swarm,1,42,no_fusion,0.0,0.0,0.0,0,0.0,0.0,305,0,0,Yes,0.0,3.071
no_radar_tracking,moving_obstacle_approaching_swarm,2,43,no_fusion,0.0,0.0,0.0,0,0.0,0.0,305,0,0,Yes,0.0,3.071
no_radar_tracking,moving_obstacle_approaching_swarm,3,44,no_fusion,0.0,0.0,0.0,0,0.0,0.0,305,0,0,Yes,0.0,3.071
