controller,scenario,trial,seed,mission_success,collision_count,near_miss_count,avg_formation_error,mission_delay_s,unnecessary_avoidance_count,unnecessary_hold_steps,correct_handoff_count,failed_handoff_count,recovery_time_s,avg_response_time_s,steps_run
1_fixed_margin,safety_margin_quality_monitor,1,42,No,7,41,4.548,0.0,0,0,,,,0.363,377
2_uncertainty_aware,safety_margin_quality_monitor,1,42,No,0,103,6.093,44.6,0,1057,,,,0.3,600
3_uncertainty_aware_abstention,safety_margin_quality_monitor,1,42,No,171,180,3.46,23.2,0,846,,,,0.338,493
4_uncertainty_aware_handoff,safety_margin_quality_monitor,1,42,No,100,139,5.44,14.6,0,696,287,0,0.638,0.338,450
1_fixed_margin,safety_margin_quality_monitor,2,43,Yes,0,62,4.608,0.0,0,0,,,,0.45,368
2_uncertainty_aware,safety_margin_quality_monitor,2,43,No,18,202,5.359,46.4,0,1135,,,,0.438,600
3_uncertainty_aware_abstention,safety_margin_quality_monitor,2,43,No,166,185,6.246,29.0,0,743,,,,0.525,513
4_uncertainty_aware_handoff,safety_margin_quality_monitor,2,43,No,124,149,5.988,17.2,0,649,275,0,0.655,0.45,454
1_fixed_margin,safety_margin_quality_monitor,3,44,No,8,29,4.831,0.0,0,0,,,,0.275,377
2_uncertainty_aware,safety_margin_quality_monitor,3,44,No,70,271,5.211,44.6,0,960,,,,0.4,600
3_uncertainty_aware_abstention,safety_margin_quality_monitor,3,44,No,180,124,4.84,28.0,0,745,,,,0.413,517
4_uncertainty_aware_handoff,safety_margin_quality_monitor,3,44,No,93,147,6.068,18.0,0,615,271,0,0.673,0.413,467
1_fixed_margin,safety_margin_quality_monitor,4,45,No,4,40,5.561,0.0,0,0,,,,0.388,381
2_uncertainty_aware,safety_margin_quality_monitor,4,45,No,0,122,8.018,43.8,0,974,,,,0.375,600
3_uncertainty_aware_abstention,safety_margin_quality_monitor,4,45,No,158,263,6.252,21.2,0,760,,,,0.375,487
4_uncertainty_aware_handoff,safety_margin_quality_monitor,4,45,No,135,89,5.952,13.6,0,664,260,0,0.668,0.388,449
1_fixed_margin,safety_margin_quality_monitor,5,46,No,6,61,4.258,0.0,0,0,,,,0.312,392
2_uncertainty_aware,safety_margin_quality_monitor,5,46,No,119,222,4.636,41.6,0,1057,,,,0.3,600
3_uncertainty_aware_abstention,safety_margin_quality_monitor,5,46,No,104,208,4.568,23.0,0,749,,,,0.413,507
4_uncertainty_aware_handoff,safety_margin_quality_monitor,5,46,No,98,144,3.972,9.6,0,705,295,0,0.622,0.325,440
5_dynamic_trust_handoff,faulty_sensor_trust_weighted_fusion_dynamic,1,42,Yes,0,95,2.907,,0,0,0,0,,0.0,414
5_dynamic_trust_handoff,faulty_sensor_trust_weighted_fusion_dynamic,2,43,Yes,0,89,2.965,,0,0,0,0,,0.0,403
5_dynamic_trust_handoff,faulty_sensor_trust_weighted_fusion_dynamic,3,44,Yes,0,244,2.953,,0,0,0,0,,0.0,537
5_dynamic_trust_handoff,faulty_sensor_trust_weighted_fusion_dynamic,4,45,Yes,0,102,2.871,,0,0,0,0,,0.0,413
5_dynamic_trust_handoff,faulty_sensor_trust_weighted_fusion_dynamic,5,46,Yes,0,103,2.951,,0,0,0,0,,0.0,412
