scenario,fusion_mode,num_trials,mission_success_rate,mission_success_rate_ci95_lower,mission_success_rate_ci95_upper,collision_risk_count_mean,collision_risk_count_median,collision_risk_count_stdev,collision_risk_count_min,collision_risk_count_max,collision_risk_count_ci95_lower,collision_risk_count_ci95_upper,unnecessary_avoidance_count_mean,unnecessary_avoidance_count_median,unnecessary_avoidance_count_stdev,unnecessary_avoidance_count_min,unnecessary_avoidance_count_max,unnecessary_avoidance_count_ci95_lower,unnecessary_avoidance_count_ci95_upper,missed_response_count_mean,missed_response_count_median,missed_response_count_stdev,missed_response_count_min,missed_response_count_max,missed_response_count_ci95_lower,missed_response_count_ci95_upper,fusion_recovery_count_mean,fusion_recovery_count_median,fusion_recovery_count_stdev,fusion_recovery_count_min,fusion_recovery_count_max,fusion_recovery_count_ci95_lower,fusion_recovery_count_ci95_upper,avg_response_time_s_mean,avg_response_time_s_median,avg_response_time_s_stdev,avg_response_time_s_min,avg_response_time_s_max,avg_response_time_s_ci95_lower,avg_response_time_s_ci95_upper,total_near_misses_mean,total_near_misses_median,total_near_misses_stdev,total_near_misses_min,total_near_misses_max,total_near_misses_ci95_lower,total_near_misses_ci95_upper,avg_formation_error_mean,avg_formation_error_median,avg_formation_error_stdev,avg_formation_error_min,avg_formation_error_max,avg_formation_error_ci95_lower,avg_formation_error_ci95_upper,all_trials_passed,num_failed_trials
baseline,no_fusion,20,1.0,1.0,1.0,79,79.0,0.0,79,79,79,79,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,47.0,0.0,47,47,47,47,3.682,3.682,0.0,3.682,3.682,3.682,3.682,PASS,0
false_positive,no_fusion,20,1.0,1.0,1.0,82,82.0,5.1911,74,92,79.5705,84.4295,62.45,60.0,9.0756,50,77,58.2026,66.6974,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.8,46.5,3.4428,42,53,45.1888,48.4112,3.6503,3.6775,0.3605,2.932,4.289,3.4816,3.819,PASS,0
false_negative,no_fusion,20,0.95,0.8453,1.0,89,89.0,4.7573,81,99,86.7736,91.2264,0,0.0,0.0,0,0,0,0,16,16.5,3.3245,11,23,14.4441,17.5559,0,0.0,0.0,0,0,0,0,0.0634,0.05,0.0383,0.013,0.125,0.0454,0.0813,48,47.0,2.9912,44,54,46.6001,49.3999,3.945,4.013,0.204,3.533,4.246,3.8495,4.0405,PASS,0
sensor_noise,no_fusion,20,0.0,0.0,0.0,146.5,142.0,13.9114,127,175,139.9894,153.0106,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.3,79.5,14.8221,59,110,74.3631,88.2369,3.9609,4.001,0.2395,3.541,4.299,3.8488,4.073,PASS,0
latency,no_fusion,20,1.0,1.0,1.0,96,96.0,0.0,96,96,96,96,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,54,54.0,0.0,54,54,54,54,4.059,4.059,0.0,4.059,4.059,4.059,4.059,PASS,0
sensor_dropout,no_fusion,20,0.9,0.7559,1.0,87.8,86.0,9.9451,69,109,83.1456,92.4544,0,0.0,0.0,0,0,0,0,7.75,8.0,4.4941,1,15,5.6467,9.8533,0,0.0,0.0,0,0,0,0,0.0551,0.0,0.1004,0.0,0.363,0.008,0.1021,50.5,48.5,7.2148,40,66,47.1234,53.8766,3.9528,3.9855,0.3124,3.467,4.391,3.8066,4.099,PASS,0
confidence_error,no_fusion,20,1.0,1.0,1.0,79,79.0,0.0,79,79,79,79,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,47.0,0.0,47,47,47,47,3.682,3.682,0.0,3.682,3.682,3.682,3.682,PASS,0
no_fusion_matched,no_fusion,20,0.1,0.0,0.2441,151,153.5,30.4717,97,209,136.739,165.261,0,0.0,0.0,0,0,0,0,21.7,21.5,7.1458,8,34,18.3557,25.0443,0,0.0,0.0,0,0,0,0,0.0421,0.038,0.0265,0.013,0.1,0.0296,0.0545,72.8,72.5,14.6668,50,101,65.9358,79.6642,4.4638,4.537,0.5843,3.451,5.462,4.1903,4.7372,PASS,0
naive_fusion,naive_fusion,20,0.65,0.421,0.879,84.7,82.0,16.4096,66,137,77.0202,92.3798,0,0.0,0.0,0,0,0,0,9.25,8.5,3.8916,4,20,7.4287,11.0713,80.45,78.0,9.8327,60,102,75.8482,85.0518,0.0396,0.0315,0.0262,0.013,0.1,0.0273,0.0518,44.75,45.0,10.2232,30,73,39.9655,49.5345,4.0821,4.012,0.2289,3.753,4.606,3.975,4.1892,PASS,0
trust_weighted_fusion,trust_weighted_fusion,20,0.45,0.2111,0.6889,89.05,88.0,14.1774,68,131,82.4149,95.6851,0,0.0,0.0,0,0,0,0,9.85,9.0,3.6602,5,16,8.137,11.563,82.35,82.5,9.2297,68,113,78.0304,86.6696,0.0396,0.0315,0.0262,0.013,0.1,0.0273,0.0518,44.15,42.5,8.7796,31,61,40.0411,48.2589,4.0366,3.986,0.2414,3.75,4.736,3.9236,4.1496,PASS,0
one_uav_obstacle,no_fusion,20,1.0,1.0,1.0,79,79.0,0.0,79,79,79,79,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,47.0,0.0,47,47,47,47,3.682,3.682,0.0,3.682,3.682,3.682,3.682,PASS,0
multiple_obstacles,no_fusion,20,1.0,1.0,1.0,129,129.0,0.0,129,129,129,129,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,68.0,0.0,68,68,68,68,5.035,5.035,0.0,5.035,5.035,5.035,5.035,PASS,0
two_crossing_targets,no_fusion,20,1.0,1.0,1.0,104,104.0,0.0,104,104,104,104,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,60.0,0.0,60,60,60,60,8.737,8.737,0.0,8.737,8.737,8.737,8.737,PASS,0
moving_obstacle_approaching_swarm,no_fusion,20,1.0,1.0,1.0,124,124.0,0.0,124,124,124,124,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,62.0,0.0,62,62,62,62,3.024,3.024,0.0,3.024,3.024,3.024,3.024,PASS,0
target_temporarily_lost,no_fusion,20,1.0,1.0,1.0,184,184.0,0.0,184,184,184,184,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,96.0,0.0,96,96,96,96,3.065,3.065,0.0,3.065,3.065,3.065,3.065,PASS,0
target_reappearing_after_dropout,no_fusion,20,0.15,0.0,0.3215,111.35,107.0,11.4904,90,130,105.9724,116.7276,0,0.0,0.0,0,0,0,0,25.1,23.0,11.4474,5,45,19.7425,30.4575,0,0.0,0.0,0,0,0,0,0.09,0.0,0.2198,0.0,0.6,-0.0129,0.1929,49.65,48.0,7.1176,37,61,46.3189,52.9811,3.0317,3.0305,0.0204,3.001,3.071,3.0221,3.0413,PASS,0
clutter_near_real_target,no_fusion,20,1.0,1.0,1.0,83,83.0,0.0,83,83,83,83,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,48.0,0.0,48,48,48,48,3.313,3.313,0.0,3.313,3.313,3.313,3.313,PASS,0
closely_spaced_targets,no_fusion,20,1.0,1.0,1.0,122,122.0,0.0,122,122,122,122,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64.0,0.0,64,64,64,64,4.051,4.051,0.0,4.051,4.051,4.051,4.051,PASS,0
