scenario,metric,n,mean,median,stdev,ci95_halfwidth,ci95_lower,ci95_upper
baseline,collision_risk_count,0,,,,,,
baseline,total_near_misses,0,,,,,,
baseline,mission_success,0,,,,,,
baseline,avg_response_time_s,0,,,,,,
baseline,avg_formation_error,0,,,,,,
baseline,unnecessary_avoidance_count,0,,,,,,
baseline,missed_response_count,0,,,,,,
baseline,wrong_decisions,0,,,,,,
baseline,swarm_stability,0,,,,,,
baseline,rmse_position_error,0,,,,,,
baseline,velocity_estimation_error,0,,,,,,
baseline,track_continuity,0,,,,,,
baseline,track_fragmentation,0,,,,,,
baseline,false_track_count,0,,,,,,
baseline,missed_track_count,0,,,,,,
baseline,track_confirmation_time_steps,0,,,,,,
baseline,track_loss_duration_steps,0,,,,,,
baseline,association_error_count,0,,,,,,
baseline,average_covariance,0,,,,,,
baseline,fusion_consistency_error,0,,,,,,
baseline,messages_sent,0,,,,,,
baseline,messages_dropped,0,,,,,,
baseline,avg_message_delay_steps,0,,,,,,
baseline,communication_load,0,,,,,,
false_positive,collision_risk_count,0,,,,,,
false_positive,total_near_misses,0,,,,,,
false_positive,mission_success,0,,,,,,
false_positive,avg_response_time_s,0,,,,,,
false_positive,avg_formation_error,0,,,,,,
false_positive,unnecessary_avoidance_count,0,,,,,,
false_positive,missed_response_count,0,,,,,,
false_positive,wrong_decisions,0,,,,,,
false_positive,swarm_stability,0,,,,,,
false_positive,rmse_position_error,0,,,,,,
false_positive,velocity_estimation_error,0,,,,,,
false_positive,track_continuity,0,,,,,,
false_positive,track_fragmentation,0,,,,,,
false_positive,false_track_count,0,,,,,,
false_positive,missed_track_count,0,,,,,,
false_positive,track_confirmation_time_steps,0,,,,,,
false_positive,track_loss_duration_steps,0,,,,,,
false_positive,association_error_count,0,,,,,,
false_positive,average_covariance,0,,,,,,
false_positive,fusion_consistency_error,0,,,,,,
false_positive,messages_sent,0,,,,,,
false_positive,messages_dropped,0,,,,,,
false_positive,avg_message_delay_steps,0,,,,,,
false_positive,communication_load,0,,,,,,
false_negative,collision_risk_count,0,,,,,,
false_negative,total_near_misses,0,,,,,,
false_negative,mission_success,0,,,,,,
false_negative,avg_response_time_s,0,,,,,,
false_negative,avg_formation_error,0,,,,,,
false_negative,unnecessary_avoidance_count,0,,,,,,
false_negative,missed_response_count,0,,,,,,
false_negative,wrong_decisions,0,,,,,,
false_negative,swarm_stability,0,,,,,,
false_negative,rmse_position_error,0,,,,,,
false_negative,velocity_estimation_error,0,,,,,,
false_negative,track_continuity,0,,,,,,
false_negative,track_fragmentation,0,,,,,,
false_negative,false_track_count,0,,,,,,
false_negative,missed_track_count,0,,,,,,
false_negative,track_confirmation_time_steps,0,,,,,,
false_negative,track_loss_duration_steps,0,,,,,,
false_negative,association_error_count,0,,,,,,
false_negative,average_covariance,0,,,,,,
false_negative,fusion_consistency_error,0,,,,,,
false_negative,messages_sent,0,,,,,,
false_negative,messages_dropped,0,,,,,,
false_negative,avg_message_delay_steps,0,,,,,,
false_negative,communication_load,0,,,,,,
sensor_noise,collision_risk_count,0,,,,,,
sensor_noise,total_near_misses,0,,,,,,
sensor_noise,mission_success,0,,,,,,
sensor_noise,avg_response_time_s,0,,,,,,
sensor_noise,avg_formation_error,0,,,,,,
sensor_noise,unnecessary_avoidance_count,0,,,,,,
sensor_noise,missed_response_count,0,,,,,,
sensor_noise,wrong_decisions,0,,,,,,
sensor_noise,swarm_stability,0,,,,,,
sensor_noise,rmse_position_error,0,,,,,,
sensor_noise,velocity_estimation_error,0,,,,,,
sensor_noise,track_continuity,0,,,,,,
sensor_noise,track_fragmentation,0,,,,,,
sensor_noise,false_track_count,0,,,,,,
sensor_noise,missed_track_count,0,,,,,,
sensor_noise,track_confirmation_time_steps,0,,,,,,
sensor_noise,track_loss_duration_steps,0,,,,,,
sensor_noise,association_error_count,0,,,,,,
sensor_noise,average_covariance,0,,,,,,
sensor_noise,fusion_consistency_error,0,,,,,,
sensor_noise,messages_sent,0,,,,,,
sensor_noise,messages_dropped,0,,,,,,
sensor_noise,avg_message_delay_steps,0,,,,,,
sensor_noise,communication_load,0,,,,,,
latency,collision_risk_count,0,,,,,,
latency,total_near_misses,0,,,,,,
latency,mission_success,0,,,,,,
latency,avg_response_time_s,0,,,,,,
latency,avg_formation_error,0,,,,,,
latency,unnecessary_avoidance_count,0,,,,,,
latency,missed_response_count,0,,,,,,
latency,wrong_decisions,0,,,,,,
latency,swarm_stability,0,,,,,,
latency,rmse_position_error,0,,,,,,
latency,velocity_estimation_error,0,,,,,,
latency,track_continuity,0,,,,,,
latency,track_fragmentation,0,,,,,,
latency,false_track_count,0,,,,,,
latency,missed_track_count,0,,,,,,
latency,track_confirmation_time_steps,0,,,,,,
latency,track_loss_duration_steps,0,,,,,,
latency,association_error_count,0,,,,,,
latency,average_covariance,0,,,,,,
latency,fusion_consistency_error,0,,,,,,
latency,messages_sent,0,,,,,,
latency,messages_dropped,0,,,,,,
latency,avg_message_delay_steps,0,,,,,,
latency,communication_load,0,,,,,,
sensor_dropout,collision_risk_count,0,,,,,,
sensor_dropout,total_near_misses,0,,,,,,
sensor_dropout,mission_success,0,,,,,,
sensor_dropout,avg_response_time_s,0,,,,,,
sensor_dropout,avg_formation_error,0,,,,,,
sensor_dropout,unnecessary_avoidance_count,0,,,,,,
sensor_dropout,missed_response_count,0,,,,,,
sensor_dropout,wrong_decisions,0,,,,,,
sensor_dropout,swarm_stability,0,,,,,,
sensor_dropout,rmse_position_error,0,,,,,,
sensor_dropout,velocity_estimation_error,0,,,,,,
sensor_dropout,track_continuity,0,,,,,,
sensor_dropout,track_fragmentation,0,,,,,,
sensor_dropout,false_track_count,0,,,,,,
sensor_dropout,missed_track_count,0,,,,,,
sensor_dropout,track_confirmation_time_steps,0,,,,,,
sensor_dropout,track_loss_duration_steps,0,,,,,,
sensor_dropout,association_error_count,0,,,,,,
sensor_dropout,average_covariance,0,,,,,,
sensor_dropout,fusion_consistency_error,0,,,,,,
sensor_dropout,messages_sent,0,,,,,,
sensor_dropout,messages_dropped,0,,,,,,
sensor_dropout,avg_message_delay_steps,0,,,,,,
sensor_dropout,communication_load,0,,,,,,
confidence_error,collision_risk_count,0,,,,,,
