scenario,step,time_s,uav_id,uav_pos_x,uav_pos_y,goal_pos_x,goal_pos_y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,perception_error_type,confidence_value,fusion_mode,action_taken,safety_margin_mode,safety_margin_applied,quality_action_taken,num_perceived_detections,num_phantom_detections,dist_to_goal,distance_to_nearest_uav,distance_to_obstacle,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,mission_completed_flag,reached_goal,num_active_entities,active_entities_json
controller_comparison__baseline__5_dynamic_trust_handoff,0,0.0,0,5.23,5.22,94.0,90.0,50.0,50.0,,,none,,trust_weighted_fusion,move,quality_monitor,1.632,,3,0,122.751,9.974,58.321,uav_2,9.974,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
controller_comparison__baseline__5_dynamic_trust_handoff,0,0.0,1,5.233,15.217,90.0,94.0,50.0,50.0,,,none,,trust_weighted_fusion,move,quality_monitor,1.632,,3,0,115.725,9.997,51.692,uav_0,9.997,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
controller_comparison__baseline__5_dynamic_trust_handoff,0,0.0,2,15.204,5.244,86.0,90.0,50.0,50.0,,,none,,trust_weighted_fusion,move,quality_monitor,1.632,,3,0,110.434,9.974,51.691,uav_0,9.974,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
controller_comparison__baseline__5_dynamic_trust_handoff,0,0.0,3,15.231,15.219,90.0,86.0,50.0,50.0,,,none,,trust_weighted_fusion,move,quality_monitor,1.632,,3,0,102.958,9.975,44.179,uav_2,9.975,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
controller_comparison__baseline__5_dynamic_trust_handoff,1,0.2,0,5.461,5.44,94.0,90.0,50.0,50.0,,,none,,trust_weighted_fusion,move,quality_monitor,1.632,,3,0,122.432,9.948,58.003,uav_2,9.948,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
controller_comparison__baseline__5_dynamic_trust_handoff,1,0.2,1,5.467,15.434,90.0,94.0,50.0,50.0,,,none,,trust_weighted_fusion,move,quality_monitor,1.628,,3,0,115.406,9.994,51.374,uav_0,9.994,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
controller_comparison__baseline__5_dynamic_trust_handoff,1,0.2,2,15.408,5.489,86.0,90.0,50.0,50.0,,,none,,trust_weighted_fusion,move,quality_monitor,1.628,,3,0,110.115,9.948,51.372,uav_0,9.948,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
controller_comparison__baseline__5_dynamic_trust_handoff,1,0.2,3,15.462,15.438,90.0,86.0,50.0,50.0,,,none,,trust_weighted_fusion,move,quality_monitor,1.632,,3,0,102.64,9.949,43.861,uav_2,9.949,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
controller_comparison__baseline__5_dynamic_trust_handoff,2,0.4,0,5.691,5.66,94.0,90.0,50.0,50.0,,,none,,trust_weighted_fusion,move,quality_monitor,1.632,,3,0,122.114,9.922,57.685,uav_2,9.922,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
controller_comparison__baseline__5_dynamic_trust_handoff,2,0.4,1,5.7,15.651,90.0,94.0,50.0,50.0,,,none,,trust_weighted_fusion,move,quality_monitor,1.624,,3,0,115.087,9.991,51.057,uav_0,9.991,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
