scenario,trial,seed,status,runtime_seconds,false_positive_rate,false_negative_rate,noise_level,latency_steps,dropout_probability,confidence_error_level,fusion_mode,collision_count,total_near_misses,collision_risk_count,minimum_separation,mission_success,mission_completion_time_s,avg_response_time_s,formation_error_rmse,unnecessary_avoidance_count,missed_response_count,hold_duration,wrong_decisions,swarm_stability,rmse_position_error,velocity_rmse,track_continuity,track_fragmentation,false_detections,missed_detections,false_tracks,missed_tracks,track_confirmation_time_steps,track_loss_duration_steps,average_track_lifetime_steps,association_errors,average_covariance,messages_sent,messages_received,messages_dropped,stale_messages,avg_message_delay_steps,communication_load,max_outage_duration_steps,avg_recovery_time_steps,error
baseline,1,42,PASS,1.4306,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,65,0,,1,,0.0,4.8396,0,0,0,0,1.4792,0.602,0.1146,0.3318,0,0,1,0,0,2,1,110.75,0,2.1482,1924,447,1477,0,2,4.3043,0,,
baseline,2,43,PASS,1.246,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,50,0,,1,,0.0,4.8073,0,0,0,0,1.4454,0.619,0.1166,0.3326,0,0,1,0,0,2,1,110.25,0,2.1533,1920,445,1475,0,2,4.3146,0,,
baseline,3,44,PASS,1.4561,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,50,0,,1,,0.013,4.6926,0,0,0,0,1.344,0.606,0.1129,0.33,0,0,2,0,0,2,1,109.25,0,2.1712,1908,441,1467,0,2,4.3265,0,,
baseline,4,45,PASS,1.4357,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,53,0,,1,,0.0,4.794,0,0,0,0,1.4494,0.6186,0.1199,0.3313,0,0,1,0,0,2,1,110,0,2.1558,1916,444,1472,0,2,4.3153,0,,
baseline,5,46,PASS,1.4273,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,48,0,,1,,0.0,4.7121,0,0,0,0,1.3679,0.6065,0.1122,0.3333,0,0,1,0,0,2,1,110.25,0,2.1533,1920,445,1475,0,2,4.3146,0,,
baseline,6,47,PASS,1.4449,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,59,0,,1,,0.0,4.6036,0,0,0,0,1.2861,0.6072,0.1095,0.3354,0,0,0,0,0,2,,111.25,0,2.1417,1926,449,1477,0,2,4.2895,0,,
baseline,7,48,PASS,1.3506,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,59,0,,1,,0.0,4.7694,0,0,0,0,1.4247,0.6151,0.1153,0.3354,0,0,0,0,0,2,,111.5,0,2.1392,1924,450,1474,0,2,4.2756,0,,
baseline,8,49,PASS,1.2385,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,50,0,,1,,0.013,4.759,0,0,0,0,1.3936,0.6205,0.1166,0.3313,0,0,0,0,0,2,,109.75,0,2.1569,1914,443,1471,0,2,4.3205,0,,
baseline,9,50,PASS,1.3946,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,49,0,,1,,0.0,4.1869,0,0,0,0,0.9028,0.6434,0.1226,0.3267,0,0,1,0,0,2,1,107.25,0,2.1847,1892,433,1459,0,2,4.3695,0,,
baseline,10,51,PASS,1.2867,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,48,0,,1,,0.0,4.7172,0,0,0,0,1.3569,0.5984,0.1166,0.3328,0,0,0,0,0,2,,110,0,2.1544,1918,444,1474,0,2,4.3198,0,,
baseline,11,52,PASS,1.357,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,47,0,,1,,0.0,4.0791,0,0,0,0,0.8088,0.6162,0.1158,0.3246,0,0,3,0,0,2,1,106.5,0,2.1957,1894,430,1464,0,2,4.4047,0,,
baseline,12,53,PASS,1.4083,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,48,0,,1,,0.0,4.362,0,0,0,0,1.0608,0.6147,0.1092,0.3326,0,0,1,0,0,2,1,109.75,0,2.1584,1914,443,1471,0,2,4.3205,0,,
baseline,13,54,PASS,1.501,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,48,0,,1,,0.0,4.2501,0,0,0,0,0.9669,0.6155,0.1105,0.3254,0,0,2,0,0,2.75,1,107,0,2.2359,1884,432,1452,0,2,4.3611,0,,
baseline,14,55,PASS,1.5135,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,76,0,,1,,0.0,4.1632,0,0,0,0,0.8673,0.6214,0.1169,0.3237,0,0,1,0,0,2,1,107.5,0,2.182,1898,434,1464,0,2,4.3733,0,,
baseline,15,56,PASS,1.4384,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,70,0,,1,,0.0,4.6365,0,0,0,0,1.3254,0.6122,0.1172,0.3338,0,0,1,0,0,2,1,111.5,0,2.1407,1928,450,1478,0,2,4.2844,0,,
baseline,16,57,PASS,1.2517,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,46,0,,1,,0.0,4.7836,0,0,0,0,1.4306,0.6307,0.1161,0.3331,0,0,1,0,0,2,1,110.25,0,2.1533,1920,445,1475,0,2,4.3146,0,,
baseline,17,58,PASS,1.2552,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,54,0,,1,,0.0,4.2981,0,0,0,0,0.9859,0.6085,0.1125,0.3249,0,0,0,0,0,2,,107,0,2.1859,1894,432,1462,0,2,4.3843,0,,
baseline,18,59,PASS,1.3682,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,49,0,,1,,0.0,4.7514,0,0,0,0,1.3918,0.6173,0.1157,0.3321,0,0,0,0,0,2,,110,0,2.1544,1918,444,1474,0,2,4.3198,0,,
baseline,19,60,PASS,1.6527,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,51,0,,1,,0.0,4.1266,0,0,0,0,0.8474,0.6152,0.1125,0.3262,0,0,1,0,0,2,1,107,0,2.1874,1896,432,1464,0,2,4.3889,0,,
baseline,20,61,PASS,1.4352,0.0,0.0,0.0,0,0.0,0.0,no_fusion,0,45,0,,1,,0.0,4.7919,0,0,0,0,1.4484,0.6048,0.1136,0.3333,0,0,1,0,0,2.75,1,110.5,0,2.1962,1912,446,1466,0,2,4.287,0,,
false_positive,1,42,PASS,1.6203,0.08,0.0,0.0,0,0.0,0.0,no_fusion,0,59,0,,1,,0.0,4.4424,61,0,0,61,1.1234,0.6385,0.1124,0.336,2,103,1,0,0,2,1,92.2,0,2.119,1992,465,1527,0,2,4.2839,0,,
false_positive,2,43,PASS,1.3747,0.08,0.0,0.0,0,0.0,0.0,no_fusion,0,68,0,,1,,0.0,4.6283,69,0,0,69,1.4417,0.6299,0.1177,0.326,0,105,4,0,0,2,1,111.75,0,2.1759,1940,451,1489,0,2,4.3016,0,,
false_positive,3,44,PASS,1.3963,0.08,0.0,0.0,0,0.0,0.0,no_fusion,0,82,0,,1,,0.0,4.9434,72,0,0,72,1.1802,0.6456,0.1158,0.3184,2,105,2,0,0,2,1,87.4,0,2.2033,1880,441,1439,0,2,4.263,0,,
false_positive,4,45,PASS,1.3691,0.08,0.0,0.0,0,0.0,0.0,no_fusion,0,44,0,,1,,0.0,3.8789,68,0,0,68,0.6027,0.6337,0.1173,0.3226,0,103,0,0,0,2,,109,0,2.1647,1928,440,1488,0,2,4.3818,0,,
false_positive,5,46,PASS,1.2914,0.08,0.0,0.0,0,0.0,0.0,no_fusion,0,51,0,,1,,0.0,5.5163,77,0,0,77,1.8978,0.6093,0.117,0.3321,0,115,0,0,0,2,,113.25,0,2.1221,1952,457,1495,0,2,4.2713,0,,
false_positive,6,47,PASS,1.7349,0.08,0.0,0.0,0,0.0,0.0,no_fusion,0,72,0,,1,,0.0,3.2249,65,0,0,65,0.366,0.6368,0.1216,0.3284,0,103,0,0,0,2,,112.25,0,2.1346,1988,453,1535,0,2,4.3885,0,,
