comparison_group,group_a,group_b,metric,n_a,n_b,mean_a,mean_b,mean_diff,t_stat,p_value_normal_approx,significant_95
baseline_vs_scenario,baseline,false_positive,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,false_positive,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,false_positive,avg_response_time_s,20,20,0.0013,0.0006,0.0006,0.5878,0.5567,False
baseline_vs_scenario,baseline,false_positive,rmse_position_error,20,20,0.6147,0.6284,-0.0137,-3.4208,0.0006,True
baseline_vs_scenario,baseline,false_negative,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,false_negative,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,false_negative,avg_response_time_s,20,20,0.0013,0.0744,-0.0731,-8.9248,0.0,True
baseline_vs_scenario,baseline,false_negative,rmse_position_error,20,20,0.6147,0.6243,-0.0097,-1.7254,0.0844,False
baseline_vs_scenario,baseline,sensor_noise,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,sensor_noise,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,sensor_noise,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
baseline_vs_scenario,baseline,sensor_noise,rmse_position_error,20,20,0.6147,0.6249,-0.0102,-3.2534,0.0011,True
baseline_vs_scenario,baseline,latency,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,latency,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,latency,avg_response_time_s,20,20,0.0013,1.0012,-0.9999,-821.183,0.0,True
baseline_vs_scenario,baseline,latency,rmse_position_error,20,20,0.6147,0.6088,0.0058,1.3133,0.1891,False
baseline_vs_scenario,baseline,sensor_dropout,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,sensor_dropout,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,sensor_dropout,avg_response_time_s,20,20,0.0013,0.072,-0.0707,-2.7778,0.0055,True
baseline_vs_scenario,baseline,sensor_dropout,rmse_position_error,20,20,0.6147,0.6067,0.008,2.3183,0.0204,True
baseline_vs_scenario,baseline,confidence_error,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,confidence_error,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,confidence_error,avg_response_time_s,20,20,0.0013,0.0013,0.0,0.0,1.0,False
baseline_vs_scenario,baseline,confidence_error,rmse_position_error,20,20,0.6147,0.6249,-0.0102,-3.2534,0.0011,True
baseline_vs_scenario,baseline,no_fusion_matched,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,no_fusion_matched,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,no_fusion_matched,avg_response_time_s,20,20,0.0013,0.0432,-0.0419,-7.9189,0.0,True
baseline_vs_scenario,baseline,no_fusion_matched,rmse_position_error,20,20,0.6147,0.6253,-0.0106,-2.1145,0.0345,True
baseline_vs_scenario,baseline,naive_fusion,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,naive_fusion,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,naive_fusion,avg_response_time_s,20,20,0.0013,0.0432,-0.0419,-7.9189,0.0,True
baseline_vs_scenario,baseline,naive_fusion,rmse_position_error,20,20,0.6147,0.6254,-0.0107,-2.008,0.0446,True
baseline_vs_scenario,baseline,trust_weighted_fusion,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,trust_weighted_fusion,mission_success,20,20,1,1,0,0.0,1.0,False
baseline_vs_scenario,baseline,trust_weighted_fusion,avg_response_time_s,20,20,0.0013,0.0432,-0.0419,-7.9189,0.0,True
baseline_vs_scenario,baseline,trust_weighted_fusion,rmse_position_error,20,20,0.6147,0.625,-0.0104,-2.012,0.0442,True
baseline_vs_scenario,baseline,one_uav_obstacle,collision_risk_count,20,20,0,0,0,0.0,1.0,False
baseline_vs_scenario,baseline,one_uav_obstacle,mission_success,20,20,1,1,0,0.0,1.0,False
