scenario,metric,n,mean,median,stdev,ci95_halfwidth,ci95_lower,ci95_upper
baseline,collision_count,20,0,0.0,0.0,0.0,0.0,0.0
baseline,total_near_misses,20,53.25,50.0,8.416,3.6885,49.5615,56.9385
baseline,collision_risk_count,20,0,0.0,0.0,0.0,0.0,0.0
baseline,minimum_separation,0,,,,,,
baseline,mission_success,20,1,1.0,0.0,0.0,1.0,1.0
baseline,mission_completion_time_s,0,,,,,,
baseline,avg_response_time_s,20,0.0013,0.0,0.004,0.0018,-0.0005,0.0031
baseline,formation_error_rmse,20,4.5562,4.7024,0.2725,0.1194,4.4368,4.6756
baseline,unnecessary_avoidance_count,20,0,0.0,0.0,0.0,0.0,0.0
baseline,missed_response_count,20,0,0.0,0.0,0.0,0.0,0.0
baseline,hold_duration,20,0,0.0,0.0,0.0,0.0,0.0
baseline,wrong_decisions,20,0,0.0,0.0,0.0,0.0,0.0
baseline,swarm_stability,20,1.2292,1.3504,0.2423,0.1062,1.123,1.3354
baseline,rmse_position_error,20,0.6147,0.6151,0.0102,0.0045,0.6102,0.6191
baseline,velocity_rmse,20,0.1148,0.1155,0.0033,0.0015,0.1134,0.1163
baseline,track_continuity,20,0.3305,0.3319,0.0038,0.0017,0.3289,0.3322
baseline,track_fragmentation,20,0,0.0,0.0,0.0,0.0,0.0
baseline,false_detections,20,0,0.0,0.0,0.0,0.0,0.0
baseline,missed_detections,20,0.9,1.0,0.7881,0.3454,0.5546,1.2454
baseline,false_tracks,20,0,0.0,0.0,0.0,0.0,0.0
baseline,missed_tracks,20,0,0.0,0.0,0.0,0.0,0.0
baseline,track_confirmation_time_steps,20,2.075,2.0,0.2308,0.1012,1.9738,2.1762
baseline,track_loss_duration_steps,14,1,1.0,0.0,0.0,1.0,1.0
baseline,average_track_lifetime_steps,20,109.3625,110.0,1.6652,0.7298,108.6327,110.0923
baseline,association_errors,20,0,0.0,0.0,0.0,0.0,0.0
baseline,average_covariance,20,2.1674,2.1563,0.0245,0.0107,2.1567,2.1782
baseline,messages_sent,20,1911,1915.0,13.1949,5.7829,1905.2171,1916.7829
baseline,messages_received,20,441.45,444.0,6.6608,2.9192,438.5308,444.3692
baseline,messages_dropped,20,1469.55,1471.5,6.9923,3.0645,1466.4855,1472.6145
baseline,stale_messages,20,0,0.0,0.0,0.0,0.0,0.0
baseline,avg_message_delay_steps,20,2,2.0,0.0,0.0,2.0,2.0
baseline,communication_load,20,4.3294,4.3198,0.0376,0.0165,4.3129,4.3459
baseline,max_outage_duration_steps,20,0,0.0,0.0,0.0,0.0,0.0
baseline,avg_recovery_time_steps,0,,,,,,
false_positive,collision_count,20,0,0.0,0.0,0.0,0.0,0.0
false_positive,total_near_misses,20,70.55,62.0,28.5223,12.5005,58.0495,83.0505
false_positive,collision_risk_count,20,0,0.0,0.0,0.0,0.0,0.0
false_positive,minimum_separation,0,,,,,,
false_positive,mission_success,20,1,1.0,0.0,0.0,1.0,1.0
false_positive,mission_completion_time_s,0,,,,,,
false_positive,avg_response_time_s,20,0.0006,0.0,0.0029,0.0013,-0.0006,0.0019
false_positive,formation_error_rmse,20,4.319,4.4176,0.6839,0.2997,4.0193,4.6187
false_positive,unnecessary_avoidance_count,20,68.15,68.5,7.5063,3.2898,64.8602,71.4398
false_positive,missed_response_count,20,0,0.0,0.0,0.0,0.0,0.0
false_positive,hold_duration,20,0,0.0,0.0,0.0,0.0,0.0
false_positive,wrong_decisions,20,68.15,68.5,7.5063,3.2898,64.8602,71.4398
false_positive,swarm_stability,20,1.0919,1.1282,0.3718,0.163,0.9289,1.2548
false_positive,rmse_position_error,20,0.6284,0.6308,0.0148,0.0065,0.6219,0.6349
false_positive,velocity_rmse,20,0.1159,0.1157,0.0038,0.0017,0.1142,0.1176
false_positive,track_continuity,20,0.3263,0.3265,0.0059,0.0026,0.3238,0.3289
false_positive,track_fragmentation,20,0.2,0.0,0.6156,0.2698,-0.0698,0.4698
false_positive,false_detections,20,105.45,105.0,10.1176,4.4342,101.0158,109.8842
false_positive,missed_detections,20,1.05,1.0,1.1459,0.5022,0.5478,1.5522
false_positive,false_tracks,20,0,0.0,0.0,0.0,0.0,0.0
false_positive,missed_tracks,20,0,0.0,0.0,0.0,0.0,0.0
false_positive,track_confirmation_time_steps,20,2.025,2.0,0.1118,0.049,1.976,2.074
false_positive,track_loss_duration_steps,12,1,1.0,0.0,0.0,1.0,1.0
false_positive,average_track_lifetime_steps,20,109.505,111.625,7.0992,3.1114,106.3936,112.6164
false_positive,association_errors,20,0,0.0,0.0,0.0,0.0,0.0
false_positive,average_covariance,20,2.1469,2.1437,0.024,0.0105,2.1364,2.1574
false_positive,messages_sent,20,1960.4,1951.0,51.2685,22.4694,1937.9306,1982.8694
false_positive,messages_received,20,451,451.0,9.2566,4.0569,446.9431,455.0569
false_positive,messages_dropped,20,1509.4,1501.0,44.2557,19.3959,1490.0041,1528.7959
false_positive,stale_messages,20,0,0.0,0.0,0.0,0.0,0.0
false_positive,avg_message_delay_steps,20,2,2.0,0.0,0.0,2.0,2.0
false_positive,communication_load,20,4.3468,4.3202,0.0683,0.0299,4.3168,4.3767
false_positive,max_outage_duration_steps,20,0,0.0,0.0,0.0,0.0,0.0
false_positive,avg_recovery_time_steps,0,,,,,,
false_negative,collision_count,20,0,0.0,0.0,0.0,0.0,0.0
false_negative,total_near_misses,20,51.9,48.5,9.1703,4.0191,47.8809,55.9191
false_negative,collision_risk_count,20,0,0.0,0.0,0.0,0.0,0.0
false_negative,minimum_separation,0,,,,,,
false_negative,mission_success,20,1,1.0,0.0,0.0,1.0,1.0
false_negative,mission_completion_time_s,0,,,,,,
false_negative,avg_response_time_s,20,0.0744,0.062,0.0364,0.016,0.0584,0.0904
false_negative,formation_error_rmse,20,4.5812,4.6339,0.2892,0.1267,4.4544,4.7079
false_negative,unnecessary_avoidance_count,20,0,0.0,0.0,0.0,0.0,0.0
