scenario,num_trials,num_passed,num_failed,status,mission_success_rate,mission_success_mean,mission_success_median,mission_success_stdev,mission_success_ci95_lower,mission_success_ci95_upper,collision_risk_count_mean,collision_risk_count_median,collision_risk_count_stdev,collision_risk_count_ci95_lower,collision_risk_count_ci95_upper,avg_response_time_s_mean,avg_response_time_s_median,avg_response_time_s_stdev,avg_response_time_s_ci95_lower,avg_response_time_s_ci95_upper,rmse_position_error_mean,rmse_position_error_median,rmse_position_error_stdev,rmse_position_error_ci95_lower,rmse_position_error_ci95_upper,track_continuity_mean,track_continuity_median,track_continuity_stdev,track_continuity_ci95_lower,track_continuity_ci95_upper,communication_load_mean,communication_load_median,communication_load_stdev,communication_load_ci95_lower,communication_load_ci95_upper
baseline,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0013,0.0,0.004,-0.0005,0.0031,0.6147,0.6151,0.0102,0.6102,0.6191,0.3305,0.3319,0.0038,0.3289,0.3322,4.3294,4.3198,0.0376,4.3129,4.3459
false_positive,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0029,-0.0006,0.0019,0.6284,0.6308,0.0148,0.6219,0.6349,0.3263,0.3265,0.0059,0.3238,0.3289,4.3468,4.3202,0.0683,4.3168,4.3767
false_negative,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0744,0.062,0.0364,0.0584,0.0904,0.6243,0.625,0.0229,0.6143,0.6344,0.3258,0.3255,0.004,0.3241,0.3276,4.3073,4.3002,0.0329,4.2929,4.3217
sensor_noise,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0013,0.0,0.004,-0.0005,0.0031,0.6249,0.6248,0.0097,0.6206,0.6291,0.3305,0.3316,0.0039,0.3288,0.3322,4.329,4.3175,0.0378,4.3125,4.3456
latency,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,1.0012,1.0,0.0037,0.9996,1.0028,0.6088,0.6047,0.017,0.6014,0.6163,0.3359,0.3359,0.0018,0.3351,0.3367,4.3011,4.2984,0.0125,4.2957,4.3066
sensor_dropout,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.072,0.013,0.1138,0.0221,0.1219,0.6067,0.6076,0.0116,0.6016,0.6117,0.3062,0.305,0.0101,0.3017,0.3106,4.1747,4.165,0.0827,4.1384,4.2109
confidence_error,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0013,0.0,0.004,-0.0005,0.0031,0.6249,0.6248,0.0097,0.6206,0.6291,0.3305,0.3316,0.0039,0.3288,0.3322,4.329,4.3175,0.0378,4.3125,4.3456
no_fusion_matched,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0432,0.038,0.0234,0.033,0.0535,0.6253,0.6318,0.02,0.6165,0.6341,0.3276,0.3277,0.0035,0.3261,0.3292,4.3236,4.3171,0.0329,4.3091,4.338
naive_fusion,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0432,0.038,0.0234,0.033,0.0535,0.6254,0.6301,0.0216,0.6159,0.6349,0.3285,0.3293,0.0045,0.3265,0.3305,4.3198,4.3108,0.0353,4.3044,4.3353
trust_weighted_fusion,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0432,0.038,0.0234,0.033,0.0535,0.625,0.6279,0.0207,0.616,0.6341,0.3281,0.3295,0.0047,0.326,0.3302,4.3199,4.3093,0.0398,4.3025,4.3374
one_uav_obstacle,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0013,0.0,0.004,-0.0005,0.0031,0.6249,0.6248,0.0097,0.6206,0.6291,0.3305,0.3316,0.0039,0.3288,0.3322,4.329,4.3175,0.0378,4.3125,4.3456
multiple_obstacles,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0029,-0.0001,0.0025,0.6011,0.6044,0.0226,0.5912,0.611,0.2802,0.2805,0.007,0.2771,0.2832,4.2501,4.2512,0.0152,4.2434,4.2567
two_crossing_targets,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0027,-0.0006,0.0018,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
moving_obstacle_approaching_swarm,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0038,-0.0008,0.0025,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
target_temporarily_lost,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0031,-0.0007,0.0021,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
target_reappearing_after_dropout,20,20,0,PASS,0.35,0.35,0.0,0.4894,0.1355,0.5645,4.05,4.0,3.94,2.3232,5.7768,0.0917,0.0,0.2216,-0.0054,0.1888,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
clutter_near_real_target,20,20,0,PASS,0.75,0.75,1.0,0.4443,0.5553,0.9447,0,0.0,0.0,0.0,0.0,0.0019,0.0,0.0062,-0.0008,0.0046,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
closely_spaced_targets,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0044,0.0006,0.0044,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
env_clear,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0013,0.0,0.004,-0.0005,0.0031,0.5795,0.5781,0.014,0.5733,0.5856,0.3314,0.3322,0.0036,0.3298,0.333,4.3253,4.3146,0.0357,4.3096,4.3409
env_low_visibility,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.1164,0.1125,0.0423,0.0979,0.135,0.6125,0.6134,0.0231,0.6024,0.6226,0.3057,0.306,0.0069,0.3027,0.3088,4.2743,4.2674,0.0416,4.256,4.2925
env_fog,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.379,0.413,0.1072,0.332,0.426,0.657,0.6571,0.0257,0.6457,0.6683,0.2433,0.243,0.0077,0.2399,0.2467,3.9655,3.9427,0.0995,3.9219,4.0091
env_heavy_clutter,20,20,0,PASS,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0575,0.062,0.0177,0.0497,0.0652,0.6538,0.6482,0.0187,0.6456,0.662,0.3424,0.3344,0.0328,0.3281,0.3568,4.1876,4.179,0.1697,4.1132,4.2619
env_communication_delay,20,20,0,PASS,0.05,0.05,0.0,0.2236,-0.048,0.148,23.25,23.0,9.8882,18.9163,27.5837,2.407,2.4,0.0144,2.4006,2.4133,0.5538,0.5546,0.0214,0.5445,0.5632,0.3408,0.3407,0.0073,0.3376,0.344,4.2813,4.2777,0.0201,4.2725,4.2901
env_partial_sensor_failure,20,20,0,PASS,0,0,0.0,0.0,0.0,0.0,145.35,152.0,16.1124,138.2885,152.4115,20.193,18.85,5.5994,17.739,22.647,1.5704,1.6441,0.8304,1.1756,1.9651,0.0048,0.0053,0.0032,0.0034,0.0062,2,2,0.0,2.0,2.0
perfect_communication,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0544,0.05,0.0298,0.0413,0.0675,0.6241,0.6273,0.0195,0.6155,0.6327,0.3263,0.3259,0.0042,0.3245,0.3282,8.6649,8.6448,0.1597,8.5949,8.7349
low_packet_loss,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0544,0.05,0.0298,0.0413,0.0675,0.6251,0.6277,0.0195,0.6166,0.6336,0.3269,0.3268,0.0044,0.325,0.3288,8.6648,8.646,0.1608,8.5944,8.7353
high_packet_loss,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0544,0.05,0.0298,0.0413,0.0675,0.6263,0.6298,0.0211,0.6171,0.6355,0.327,0.3289,0.0052,0.3247,0.3293,8.6659,8.626,0.1551,8.5979,8.7339
short_communication_range,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0544,0.05,0.0298,0.0413,0.0675,0.6241,0.6273,0.0195,0.6155,0.6327,0.3263,0.3259,0.0042,0.3245,0.3282,8.6649,8.6448,0.1597,8.5949,8.7349
delayed_track_sharing,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0544,0.05,0.0298,0.0413,0.0675,0.6241,0.6273,0.0195,0.6155,0.6327,0.3263,0.3259,0.0042,0.3245,0.3282,8.6649,8.6448,0.1597,8.5949,8.7349
communication_outage,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0544,0.05,0.0298,0.0413,0.0675,0.6256,0.6244,0.0264,0.614,0.6371,0.3269,0.3274,0.0045,0.325,0.3289,8.6493,8.605,0.1504,8.5834,8.7152
faulty_sensor_naive_fusion,20,20,0,PASS,0.9,0.9,1.0,0.3078,0.7651,1.0349,0.3,0.0,0.9234,-0.1047,0.7047,0.0013,0.0,0.004,-0.0005,0.0031,1.8265,1.8385,0.0402,1.8089,1.8441,0.309,0.3115,0.0085,0.3053,0.3127,4.3623,4.3636,0.0182,4.3543,4.3702
faulty_sensor_confidence_weighted_fusion,20,20,0,PASS,0.9,0.9,1.0,0.3078,0.7651,1.0349,0.65,0.0,2.059,-0.2524,1.5524,0.0013,0.0,0.004,-0.0005,0.0031,1.8146,1.8154,0.0418,1.7963,1.8329,0.3006,0.3046,0.0114,0.2956,0.3056,4.3484,4.3679,0.0389,4.3314,4.3655
faulty_sensor_trust_weighted_fusion_fixed,20,20,0,PASS,0.8,0.8,1.0,0.4104,0.6201,0.9799,0.8,0.0,2.3079,-0.2115,1.8115,0.0013,0.0,0.004,-0.0005,0.0031,1.8064,1.8177,0.0532,1.7831,1.8298,0.2988,0.3029,0.0152,0.2921,0.3054,4.3352,4.3606,0.0505,4.3131,4.3573
faulty_sensor_trust_weighted_fusion_dynamic,20,20,0,PASS,0.8,0.8,1.0,0.4104,0.6201,0.9799,1.2,0.0,2.5257,0.0931,2.3069,0.0013,0.0,0.004,-0.0005,0.0031,1.8045,1.8178,0.0484,1.7833,1.8257,0.2997,0.3023,0.0114,0.2947,0.3047,4.338,4.363,0.0503,4.3159,4.36
faulty_sensor_covariance_weighted_fusion,20,20,0,PASS,0.8,0.8,1.0,0.4104,0.6201,0.9799,0.95,0.0,2.2355,-0.0297,1.9297,0.0013,0.0,0.004,-0.0005,0.0031,1.8267,1.8323,0.0427,1.808,1.8454,0.3004,0.3025,0.0101,0.296,0.3048,4.3537,4.3591,0.0261,4.3423,4.3651
very_low_P_D,20,20,0,PASS,0,0,0.0,0.0,0.0,0.0,47.95,48.5,22.3783,38.1423,57.7577,1.6714,1.7065,0.41,1.4917,1.851,0.8041,0.6036,0.4931,0.588,1.0203,0.1059,0.1063,0.0162,0.0988,0.113,2.9573,2.9218,0.1694,2.8831,3.0316
very_high_P_FA,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0026,0.0,0.0066,-0.0004,0.0055,0.6312,0.6313,0.0194,0.6227,0.6397,0.3249,0.3256,0.0081,0.3214,0.3285,4.3464,4.3652,0.0749,4.3136,4.3792
high_clutter,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0026,0.0,0.0066,-0.0004,0.0055,0.6214,0.6203,0.0198,0.6127,0.6301,0.3271,0.3272,0.0057,0.3245,0.3296,4.3447,4.3427,0.04,4.3271,4.3622
high_latency,20,20,0,PASS,0,0,0.0,0.0,0.0,0.0,55.85,56.0,0.7452,55.5234,56.1766,8.0006,8.0,0.0027,7.9994,8.0018,0.8203,0.779,0.1485,0.7552,0.8854,0.3443,0.3442,0.0019,0.3434,0.3451,4.402,4.4055,0.0113,4.397,4.4069
high_dropout,20,20,0,PASS,0,0,0.0,0.0,0.0,0.0,118.2,119.0,15.8665,111.2462,125.1538,8.7396,8.456,2.5277,7.6318,9.8474,0.7911,0.6226,0.4605,0.5893,0.9929,0.0207,0.0219,0.0068,0.0178,0.0237,2.1784,2.1532,0.1561,2.11,2.2468
simultaneous_sensor_failures,20,20,0,PASS,0,0,0.0,0.0,0.0,0.0,154.45,158.5,20.3741,145.5207,163.3793,25.0511,24.529,3.8721,23.354,26.7481,0.611,0.6277,0.3692,0.4355,0.7865,0.0048,0.004,0.0036,0.0032,0.0064,2,2,0.0,2.0,2.0
target_crossing,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0013,0.0,0.004,-0.0005,0.0031,0.6232,0.6219,0.013,0.6175,0.6289,0.33,0.3303,0.0036,0.3285,0.3316,4.3291,4.3194,0.0338,4.3142,4.3439
sudden_target_appearance,20,20,0,PASS,0.9,0.9,1.0,0.3078,0.7651,1.0349,0,0.0,0.0,0.0,0.0,0.0019,0.0,0.0085,-0.0018,0.0056,0.6287,0.6316,0.0167,0.6214,0.636,0.3162,0.3174,0.0134,0.3104,0.3221,4.3173,4.3056,0.0899,4.2779,4.3568
rapidly_moving_obstacle,20,20,0,PASS,0.2,0.2,0.0,0.4104,0.0201,0.3799,8.5,3.0,18.2339,0.5087,16.4913,2.1831,2.1935,0.1262,2.1277,2.2384,2.2036,2.2084,0.0913,2.1636,2.2436,0.2632,0.2622,0.0112,0.2583,0.2681,4.0442,4.0492,0.0827,4.0079,4.0804
overconfident_faulty_sensor,20,20,0,PASS,0.3,0.3,0.0,0.4702,0.0939,0.5061,3.05,2.5,3.1535,1.6679,4.4321,1.3634,1.363,0.1128,1.3139,1.4128,0.6108,0.6111,0.0202,0.602,0.6197,0.2876,0.2915,0.0121,0.2823,0.2928,4.1727,4.1821,0.0979,4.1298,4.2156
wrong_trust_assignment,20,20,0,PASS,0.1,0.1,0.0,0.3078,-0.0349,0.2349,5.8,5.0,3.8607,4.108,7.492,2.2407,2.1875,0.1787,2.1623,2.319,0.5795,0.5838,0.0286,0.567,0.592,0.2577,0.2581,0.0087,0.2539,0.2615,3.9813,3.9902,0.0797,3.9464,4.0163
correctly_calibrated_radar,20,20,0,PASS,1,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0314,0.025,0.023,0.0213,0.0414,0.6656,0.659,0.0226,0.6557,0.6755,0.3294,0.329,0.0025,0.3283,0.3306,4.3175,4.3144,0.0305,4.3042,4.3309
