scenario,step,time_s,uav_id,uav_pos_x,uav_pos_y,goal_pos_x,goal_pos_y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,perception_error_type,confidence_value,fusion_mode,action_taken,safety_margin_mode,safety_margin_applied,quality_action_taken,num_perceived_detections,num_phantom_detections,dist_to_goal,distance_to_nearest_uav,distance_to_obstacle,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,mission_completed_flag,reached_goal,num_active_entities,active_entities_json
closely_spaced_targets,0,0.0,0,5.271,5.259,94.0,90.0,0.0,0.0,,,none,,no_fusion,move,fixed,0.5,,3,0,122.694,9.969,7.446,uav_2,9.969,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 48.08, ""y"": 48.08, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 52.08, ""y"": 52.08, ""radius"": 0.0}]"
closely_spaced_targets,0,0.0,1,5.275,15.255,90.0,94.0,0.0,0.0,,,none,,no_fusion,move,fixed,0.5,,3,0,115.668,9.996,16.141,uav_0,9.996,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 48.08, ""y"": 48.08, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 52.08, ""y"": 52.08, ""radius"": 0.0}]"
closely_spaced_targets,0,0.0,2,15.24,5.288,86.0,90.0,0.0,0.0,,,none,,no_fusion,move,fixed,0.5,,3,0,110.377,9.969,16.132,uav_0,9.969,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 48.08, ""y"": 48.08, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 52.08, ""y"": 52.08, ""radius"": 0.0}]"
closely_spaced_targets,0,0.0,3,15.272,15.258,90.0,86.0,0.0,0.0,,,none,,no_fusion,move,fixed,0.5,,3,0,102.901,9.97,21.588,uav_2,9.97,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 48.08, ""y"": 48.08, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 52.08, ""y"": 52.08, ""radius"": 0.0}]"
closely_spaced_targets,1,0.2,0,5.542,5.518,94.0,90.0,0.0,0.0,,,none,,no_fusion,move,fixed,0.5,,3,0,122.319,9.939,7.821,uav_2,9.939,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 48.16, ""y"": 48.16, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 52.16, ""y"": 52.16, ""radius"": 0.0}]"
closely_spaced_targets,1,0.2,1,5.549,15.511,90.0,94.0,0.0,0.0,,,none,,no_fusion,move,fixed,0.5,,3,0,115.293,9.993,16.473,uav_0,9.993,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 48.16, ""y"": 48.16, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 52.16, ""y"": 52.16, ""radius"": 0.0}]"
closely_spaced_targets,1,0.2,2,15.481,5.576,86.0,90.0,0.0,0.0,,,none,,no_fusion,move,fixed,0.5,,3,0,110.002,9.939,16.454,uav_0,9.939,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 48.16, ""y"": 48.16, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 52.16, ""y"": 52.16, ""radius"": 0.0}]"
closely_spaced_targets,1,0.2,3,15.545,15.516,90.0,86.0,0.0,0.0,,,none,,no_fusion,move,fixed,0.5,,3,0,102.526,9.94,21.963,uav_2,9.94,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 48.16, ""y"": 48.16, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 52.16, ""y"": 52.16, ""radius"": 0.0}]"
closely_spaced_targets,2,0.4,0,5.814,5.777,94.0,90.0,0.0,0.0,,,none,,no_fusion,move,fixed,0.5,,3,0,121.944,9.908,8.196,uav_2,9.908,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 48.24, ""y"": 48.24, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 52.24, ""y"": 52.24, ""radius"": 0.0}]"
closely_spaced_targets,2,0.4,1,5.824,15.766,90.0,94.0,0.0,0.0,,,none,,no_fusion,move,fixed,0.5,,3,0,114.918,9.989,16.807,uav_0,9.989,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 48.24, ""y"": 48.24, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 52.24, ""y"": 52.24, ""radius"": 0.0}]"
closely_spaced_targets,2,0.4,2,15.721,5.863,86.0,90.0,0.0,0.0,,,none,,no_fusion,move,fixed,0.5,,3,0,109.627,9.908,16.779,uav_0,9.908,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 48.24, ""y"": 48.24, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 52.24, ""y"": 52.24, ""radius"": 0.0}]"
closely_spaced_targets,2,0.4,3,15.817,15.773,90.0,86.0,0.0,0.0,,,none,,no_fusion,move,fixed,0.5,,3,0,102.151,9.91,22.338,uav_2,9.91,False,False,False,False,False,2,"[{""id"": ""target_0"", ""kind"": ""moving_target"", ""x"": 48.24, ""y"": 48.24, ""radius"": 0.0}, {""id"": ""target_1"", ""kind"": ""moving_target"", ""x"": 52.24, ""y"": 52.24, ""radius"": 0.0}]"
