scenario,step,time_s,uav_id,uav_pos_x,uav_pos_y,goal_pos_x,goal_pos_y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,perception_error_type,confidence_value,fusion_mode,action_taken,safety_margin_mode,safety_margin_applied,quality_action_taken,num_perceived_detections,num_phantom_detections,dist_to_goal,distance_to_nearest_uav,distance_to_obstacle,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,mission_completed_flag,reached_goal,num_active_entities,active_entities_json
high_dropout,0,0.0,0,5.289,5.276,94.0,90.0,50.0,50.0,,,dropout,,trust_weighted_fusion,move,fixed,0.0,,0,0,122.669,9.951,58.24,uav_2,9.951,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
high_dropout,0,0.0,1,5.293,15.272,90.0,94.0,50.0,50.0,,,dropout,,trust_weighted_fusion,move,fixed,0.0,,0,0,115.643,9.996,51.61,uav_0,9.996,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
high_dropout,0,0.0,2,15.24,5.288,86.0,90.0,50.0,50.0,,,none,,trust_weighted_fusion,move,fixed,0.5,,3,0,110.377,9.951,51.634,uav_0,9.951,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
high_dropout,0,0.0,3,15.29,15.275,90.0,86.0,50.0,50.0,,,dropout,,trust_weighted_fusion,move,fixed,0.0,,0,0,102.876,9.987,44.098,uav_2,9.987,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
high_dropout,1,0.2,0,5.579,5.553,94.0,90.0,50.0,50.0,,,dropout,,trust_weighted_fusion,move,fixed,0.0,,0,0,122.269,9.918,57.84,uav_2,9.918,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
high_dropout,1,0.2,1,5.586,15.545,90.0,94.0,50.0,50.0,,,dropout,,trust_weighted_fusion,move,fixed,0.0,,0,0,115.243,9.992,51.212,uav_0,9.992,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
high_dropout,1,0.2,2,15.497,5.595,86.0,90.0,50.0,50.0,,,dropout,,trust_weighted_fusion,move,fixed,0.0,,0,0,109.977,9.918,51.234,uav_0,9.918,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
high_dropout,1,0.2,3,15.581,15.55,90.0,86.0,50.0,50.0,,,dropout,,trust_weighted_fusion,move,fixed,0.0,,0,0,102.476,9.956,43.698,uav_2,9.956,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
high_dropout,2,0.4,0,5.868,5.829,94.0,90.0,50.0,50.0,,,dropout,,trust_weighted_fusion,move,fixed,0.0,,0,0,121.869,9.886,57.44,uav_2,9.886,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
high_dropout,2,0.4,1,5.879,15.817,90.0,94.0,50.0,50.0,,,dropout,,trust_weighted_fusion,move,fixed,0.0,,0,0,114.843,9.988,50.813,uav_0,9.988,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""static_obstacle"", ""x"": 50.0, ""y"": 50.0, ""radius"": 5.0}]"
