scenario,run_number,fusion_mode,false_positive_rate,false_negative_rate,noise_level,latency_steps,dropout_probability,confidence_error_level,collision_count,total_near_misses,collision_risk_count,minimum_separation,mission_success,mission_completion_time_s,avg_response_time_s,formation_error_rmse,unnecessary_avoidance_count,missed_response_count,hold_duration,wrong_decisions,swarm_stability,rmse_position_error,velocity_rmse,track_continuity,track_fragmentation,false_detections,missed_detections,false_tracks,missed_tracks,track_confirmation_time_steps,track_loss_duration_steps,average_track_lifetime_steps,association_errors,average_covariance,fused_position_rmse,covariance_consistency_nees,avg_sensor_contribution,stale_data_count,avg_faulty_sensor_influence,messages_sent,messages_received,messages_dropped,stale_messages,avg_message_delay_steps,communication_load,max_outage_duration_steps,avg_recovery_time_steps,expected_calibration_error,maximum_calibration_error,brier_score,negative_log_likelihood,overconfidence_rate,underconfidence_rate,n_samples,abstention_rate,correct_abstention_rate,unnecessary_abstention_rate,handoff_success_rate,handoff_failure_rate,time_in_degraded_mode,time_in_critical_mode,mean_safety_margin_increase,ghost_track_count,extended_target_fragmentation,doppler_ambiguity_count,multipath_false_track_count
baseline,1,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,65,0,,Yes,,0.0,4.8396,0,0,0,0,1.4792,0.602,0.1146,0.3318,0,0,1,0,0,2,1,110.75,0,2.1482,0.2844,,,0,,1924,447,1477,0,2,4.3043,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
baseline,2,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,50,0,,Yes,,0.0,4.8073,0,0,0,0,1.4454,0.619,0.1166,0.3326,0,0,1,0,0,2,1,110.25,0,2.1533,0.297,,,0,,1920,445,1475,0,2,4.3146,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
baseline,3,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,50,0,,Yes,,0.013,4.6926,0,0,0,0,1.344,0.606,0.1129,0.33,0,0,2,0,0,2,1,109.25,0,2.1712,0.3251,,,0,,1908,441,1467,0,2,4.3265,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
baseline,4,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,53,0,,Yes,,0.0,4.794,0,0,0,0,1.4494,0.6186,0.1199,0.3313,0,0,1,0,0,2,1,110,0,2.1558,0.2869,,,0,,1916,444,1472,0,2,4.3153,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
baseline,5,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,48,0,,Yes,,0.0,4.7121,0,0,0,0,1.3679,0.6065,0.1122,0.3333,0,0,1,0,0,2,1,110.25,0,2.1533,0.2843,,,0,,1920,445,1475,0,2,4.3146,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
false_positive,1,no_fusion,0.08,0.0,0.0,0,0.0,0.0,0,59,0,,Yes,,0.0,4.4424,61,0,0,61,1.1234,0.6385,0.1124,0.336,2,103,1,0,0,2,1,92.2,0,2.119,0.3481,,,0,,1992,465,1527,0,2,4.2839,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
false_positive,2,no_fusion,0.08,0.0,0.0,0,0.0,0.0,0,68,0,,Yes,,0.0,4.6283,69,0,0,69,1.4417,0.6299,0.1177,0.326,0,105,4,0,0,2,1,111.75,0,2.1759,0.3134,,,0,,1940,451,1489,0,2,4.3016,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
false_positive,3,no_fusion,0.08,0.0,0.0,0,0.0,0.0,0,82,0,,Yes,,0.0,4.9434,72,0,0,72,1.1802,0.6456,0.1158,0.3184,2,105,2,0,0,2,1,87.4,0,2.2033,0.3179,,,0,,1880,441,1439,0,2,4.263,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
false_positive,4,no_fusion,0.08,0.0,0.0,0,0.0,0.0,0,44,0,,Yes,,0.0,3.8789,68,0,0,68,0.6027,0.6337,0.1173,0.3226,0,103,0,0,0,2,,109,0,2.1647,0.3195,,,0,,1928,440,1488,0,2,4.3818,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
false_positive,5,no_fusion,0.08,0.0,0.0,0,0.0,0.0,0,51,0,,Yes,,0.0,5.5163,77,0,0,77,1.8978,0.6093,0.117,0.3321,0,115,0,0,0,2,,113.25,0,2.1221,0.2807,,,0,,1952,457,1495,0,2,4.2713,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
false_negative,1,no_fusion,0.0,0.25,0.0,0,0.0,0.0,0,43,0,,Yes,,0.113,4.8076,0,11,0,11,1.4747,0.6034,0.1135,0.3282,6,0,110,0,0,2.5,1.375,43.6,0,4.3573,0.3739,,,0,,1908,446,1462,0,2,4.278,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
false_negative,2,no_fusion,0.0,0.25,0.0,0,0.0,0.0,0,48,0,,Yes,,0.05,4.1336,0,12,0,12,0.8588,0.6479,0.1167,0.3223,6,0,96,0,0,2.6667,1.3714,42.6,0,4.6313,0.3896,,,0,,1888,436,1452,0,2,4.3303,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
false_negative,3,no_fusion,0.0,0.25,0.0,0,0.0,0.0,0,48,0,,Yes,,0.125,4.8375,0,14,0,14,1.4946,0.6066,0.1204,0.325,6,0,114,0,0,3.8,1.3735,43.2,0,4.6479,0.401,,,0,,1900,442,1458,0,2,4.2986,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
false_negative,4,no_fusion,0.0,0.25,0.0,0,0.0,0.0,0,59,0,,Yes,,0.088,4.7706,0,10,0,10,1.4379,0.5855,0.1193,0.3239,3,0,104,0,0,4,1.3506,61.4286,0,3.7207,0.3696,,,0,,1888,437,1451,0,2,4.3204,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
false_negative,5,no_fusion,0.0,0.25,0.0,0,0.0,0.0,0,44,0,,Yes,,0.15,4.8507,0,12,0,12,1.5389,0.6343,0.1068,0.3285,4,0,105,0,0,5.125,1.2963,54.25,0,3.9416,0.4151,,,0,,1890,442,1448,0,2,4.276,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
sensor_noise,1,no_fusion,0.0,0.0,1.5,0,0.0,0.0,0,66,0,,Yes,,0.0,4.8406,0,0,0,0,1.4799,0.6115,0.1152,0.3318,0,0,1,0,0,2,1,110.75,0,2.1482,0.2891,,,0,,1924,447,1477,0,2,4.3043,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
sensor_noise,2,no_fusion,0.0,0.0,1.5,0,0.0,0.0,0,50,0,,Yes,,0.0,4.807,0,0,0,0,1.4452,0.6283,0.1173,0.3326,0,0,1,0,0,2,1,110.25,0,2.1533,0.301,,,0,,1920,445,1475,0,2,4.3146,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
sensor_noise,3,no_fusion,0.0,0.0,1.5,0,0.0,0.0,0,50,0,,Yes,,0.013,4.6926,0,0,0,0,1.344,0.6155,0.1135,0.33,0,0,2,0,0,2,1,109.25,0,2.1712,0.3306,,,0,,1908,441,1467,0,2,4.3265,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
sensor_noise,4,no_fusion,0.0,0.0,1.5,0,0.0,0.0,0,53,0,,Yes,,0.0,4.794,0,0,0,0,1.4493,0.6284,0.1205,0.3313,0,0,1,0,0,2,1,110,0,2.1558,0.2914,,,0,,1916,444,1472,0,2,4.3153,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
sensor_noise,5,no_fusion,0.0,0.0,1.5,0,0.0,0.0,0,48,0,,Yes,,0.0,4.7101,0,0,0,0,1.3664,0.6159,0.1128,0.3333,0,0,1,0,0,2,1,110.25,0,2.1533,0.2885,,,0,,1920,445,1475,0,2,4.3146,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
latency,1,no_fusion,0.0,0.0,0.0,5,0.0,0.0,0,43,0,,Yes,,1.0,4.8816,0,0,0,0,1.5051,0.6047,0.1111,0.3349,0,0,2,0,0,2,1,110.75,0,2.1496,0.2791,,,0,,1926,447,1479,0,2,4.3087,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
latency,2,no_fusion,0.0,0.0,0.0,5,0.0,0.0,0,34,0,,Yes,,1.0,4.449,0,0,0,0,1.1521,0.6047,0.1098,0.3318,0,0,0,0,0,2,,109.25,0,2.1621,0.3094,,,0,,1906,441,1465,0,2,4.322,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
latency,3,no_fusion,0.0,0.0,0.0,5,0.0,0.0,0,40,0,,Yes,,1.012,4.7098,0,0,0,0,1.3752,0.6042,0.1097,0.3338,0,0,2,0,0,2,1,110.25,0,2.1608,0.3064,,,0,,1922,445,1477,0,2,4.3191,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
latency,4,no_fusion,0.0,0.0,0.0,5,0.0,0.0,0,42,0,,Yes,,1.0,4.9978,0,0,0,0,1.6276,0.6115,0.1192,0.3374,1,0,0,0,0,2,,89.8,0,2.5659,0.2838,,,0,,1940,454,1486,0,2,4.2731,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
latency,5,no_fusion,0.0,0.0,0.0,5,0.0,0.0,0,46,0,,Yes,,1.0,4.9148,0,0,0,0,1.5516,0.625,0.1087,0.3366,0,0,0,0,0,2,,111.5,0,2.1392,0.2942,,,0,,1932,450,1482,0,2,4.2933,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
sensor_dropout,1,no_fusion,0.0,0.0,0.0,0,0.02,0.0,0,49,0,,Yes,,0.0,4.6815,0,16,0,16,1.3333,0.6106,0.1224,0.3124,5,0,40,0,0,2,8,46.2222,0,4.113,0.3111,,,0,,1786,425,1361,0,2,4.2024,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
sensor_dropout,2,no_fusion,0.0,0.0,0.0,0,0.02,0.0,0,48,0,,Yes,,0.15,4.3221,0,21,0,21,0.9983,0.6095,0.1112,0.3051,5,0,52,0,0,2,7.4286,44.6667,0,4.2072,0.308,,,0,,1720,411,1309,0,2,4.1849,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
sensor_dropout,3,no_fusion,0.0,0.0,0.0,0,0.02,0.0,0,56,0,,Yes,,0.0,4.5932,0,14,0,14,1.4193,0.5864,0.1068,0.2936,11,0,88,0,0,2,8,26.4667,0,6.3062,0.3681,,,0,,1684,412,1272,0,2,4.0874,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
sensor_dropout,4,no_fusion,0.0,0.0,0.0,0,0.02,0.0,0,39,0,,Yes,,0.375,5.121,0,22,0,22,1.6705,0.6132,0.1171,0.3054,7,0,64,0,0,2,7.1111,37.0909,0,4.5558,0.3265,,,0,,1704,419,1285,0,2,4.0668,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
sensor_dropout,5,no_fusion,0.0,0.0,0.0,0,0.02,0.0,0,45,0,,Yes,,0.013,4.5647,0,13,0,13,1.2624,0.6,0.1211,0.3172,5,0,41,0,0,2,6.8333,46.7778,0,3.6561,0.3362,,,0,,1794,430,1364,0,2,4.1721,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
confidence_error,1,no_fusion,0.0,0.0,0.0,0,0.0,0.35,0,66,0,,Yes,,0.0,4.8406,0,0,0,0,1.4799,0.6115,0.1152,0.3318,0,0,1,0,0,2,1,110.75,0,2.1482,0.2891,,,0,,1924,447,1477,0,2,4.3043,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
confidence_error,2,no_fusion,0.0,0.0,0.0,0,0.0,0.35,0,50,0,,Yes,,0.0,4.807,0,0,0,0,1.4452,0.6283,0.1173,0.3326,0,0,1,0,0,2,1,110.25,0,2.1533,0.301,,,0,,1920,445,1475,0,2,4.3146,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
confidence_error,3,no_fusion,0.0,0.0,0.0,0,0.0,0.35,0,50,0,,Yes,,0.013,4.6926,0,0,0,0,1.344,0.6155,0.1135,0.33,0,0,2,0,0,2,1,109.25,0,2.1712,0.3306,,,0,,1908,441,1467,0,2,4.3265,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
confidence_error,4,no_fusion,0.0,0.0,0.0,0,0.0,0.35,0,53,0,,Yes,,0.0,4.794,0,0,0,0,1.4493,0.6284,0.1205,0.3313,0,0,1,0,0,2,1,110,0,2.1558,0.2914,,,0,,1916,444,1472,0,2,4.3153,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
confidence_error,5,no_fusion,0.0,0.0,0.0,0,0.0,0.35,0,48,0,,Yes,,0.0,4.7101,0,0,0,0,1.3664,0.6159,0.1128,0.3333,0,0,1,0,0,2,1,110.25,0,2.1533,0.2885,,,0,,1920,445,1475,0,2,4.3146,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
no_fusion_matched,1,no_fusion,0.0,0.2,1.5,0,0.0,0.15,0,51,0,,Yes,,0.075,4.4429,0,9,0,9,1.1591,0.5955,0.1177,0.3315,2,0,83,0,0,2.8333,1.2969,72.8333,0,3.0076,0.3296,,,0,,1914,443,1471,0,2,4.3205,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
no_fusion_matched,2,no_fusion,0.0,0.2,1.5,0,0.0,0.15,0,55,0,,Yes,,0.075,4.8143,0,9,0,9,1.4575,0.6359,0.1151,0.3295,2,0,85,0,0,2,1.1806,72.8333,0,2.9831,0.334,,,0,,1916,443,1473,0,2,4.3251,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
no_fusion_matched,3,no_fusion,0.0,0.2,1.5,0,0.0,0.15,0,50,0,,Yes,,0.025,4.8238,0,11,0,11,1.4901,0.5953,0.1122,0.3288,2,0,85,0,0,3.5,1.2143,72.6667,0,3.1008,0.3556,,,0,,1906,442,1464,0,2,4.3122,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
no_fusion_matched,4,no_fusion,0.0,0.2,1.5,0,0.0,0.15,0,53,0,,Yes,,0.062,4.4608,0,11,0,11,1.1421,0.6405,0.1195,0.3267,4,0,83,0,0,2,1.2769,54,0,3.5227,0.3903,,,0,,1896,440,1456,0,2,4.3091,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
no_fusion_matched,5,no_fusion,0.0,0.2,1.5,0,0.0,0.15,0,65,0,,Yes,,0.025,4.2492,0,11,0,11,0.9258,0.6443,0.122,0.3206,4,0,75,0,0,3.125,1.2097,53.125,0,3.6709,0.3774,,,0,,1886,433,1453,0,2,4.3557,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
naive_fusion,1,naive_fusion,0.0,0.2,1.5,0,0.0,0.15,0,49,0,,Yes,,0.075,4.3601,0,12,0,12,1.0878,0.5971,0.1173,0.3333,2,0,84,0,0,2.8333,1.2923,73.1667,0,2.9973,0.2421,,,0,,1918,1473,445,0,2,4.3101,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
naive_fusion,2,naive_fusion,0.0,0.2,1.5,0,0.0,0.15,0,65,0,,Yes,,0.075,4.7822,0,8,0,8,1.4382,0.6323,0.1179,0.3285,2,0,86,0,0,2,1.1781,73,0,2.9834,0.2469,,,0,,1918,1474,444,0,2,4.3198,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
naive_fusion,3,naive_fusion,0.0,0.2,1.5,0,0.0,0.15,0,55,0,,Yes,,0.025,4.8492,0,8,0,8,1.5111,0.5977,0.1114,0.3285,1,0,84,0,0,3.4,1.1831,87.4,0,2.7663,0.2268,,,0,,1904,1462,442,0,2,4.3077,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
naive_fusion,4,naive_fusion,0.0,0.2,1.5,0,0.0,0.15,0,49,0,,Yes,,0.062,4.9039,0,9,0,9,1.543,0.6443,0.1256,0.3308,1,0,82,0,0,2,1.1714,87.6,0,2.6343,0.2373,,,0,,1902,1459,443,0,2,4.2935,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
naive_fusion,5,naive_fusion,0.0,0.2,1.5,0,0.0,0.15,0,45,0,,Yes,,0.025,4.2952,0,8,0,8,0.995,0.6257,0.1203,0.3223,5,0,84,0,0,4,1.2537,47,0,4.2275,0.2481,,,0,,1888,1456,432,0,2,4.3704,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
trust_weighted_fusion,1,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,0,52,0,,Yes,,0.075,4.2036,0,15,0,15,0.9228,0.6075,0.1201,0.3208,3,0,88,0,0,3,1.2754,60.4286,0,3.5425,0.269,,,0,,1876,1446,430,0,2,4.3628,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
trust_weighted_fusion,2,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,0,56,0,,Yes,,0.075,4.7914,0,9,0,9,1.441,0.6356,0.1151,0.3293,2,0,85,0,0,2,1.1806,72.8333,0,2.9831,0.2649,,,0,,1916,1473,443,0,2,4.3251,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
trust_weighted_fusion,3,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,0,52,0,,Yes,,0.025,4.7857,0,16,0,16,1.4494,0.5938,0.1119,0.3298,1,0,79,0,0,3.75,1.1791,87.4,0,2.8591,0.2934,,,0,,1906,1464,442,0,2,4.3122,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
trust_weighted_fusion,4,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,0,50,0,,Yes,,0.062,4.3479,0,7,0,7,1.053,0.627,0.1196,0.3234,3,0,88,0,0,2,1.2055,60.8571,0,3.3303,0.286,,,0,,1884,1451,433,0,2,4.351,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
trust_weighted_fusion,5,trust_weighted_fusion,0.0,0.2,1.5,0,0.0,0.15,0,44,0,,Yes,,0.025,4.2989,0,9,0,9,0.9961,0.6249,0.1201,0.3228,5,0,84,0,0,4,1.2537,47.1111,0,4.2181,0.2781,,,0,,1890,1457,433,0,2,4.3649,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
one_uav_obstacle,1,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,66,0,,Yes,,0.0,4.8406,0,0,0,0,1.4799,0.6115,0.1152,0.3318,0,0,1,0,0,2,1,110.75,0,2.1482,0.2891,,,0,,1924,447,1477,0,2,4.3043,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
one_uav_obstacle,2,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,50,0,,Yes,,0.0,4.807,0,0,0,0,1.4452,0.6283,0.1173,0.3326,0,0,1,0,0,2,1,110.25,0,2.1533,0.301,,,0,,1920,445,1475,0,2,4.3146,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
one_uav_obstacle,3,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,50,0,,Yes,,0.013,4.6926,0,0,0,0,1.344,0.6155,0.1135,0.33,0,0,2,0,0,2,1,109.25,0,2.1712,0.3306,,,0,,1908,441,1467,0,2,4.3265,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
one_uav_obstacle,4,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,53,0,,Yes,,0.0,4.794,0,0,0,0,1.4493,0.6284,0.1205,0.3313,0,0,1,0,0,2,1,110,0,2.1558,0.2914,,,0,,1916,444,1472,0,2,4.3153,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
one_uav_obstacle,5,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,48,0,,Yes,,0.0,4.7101,0,0,0,0,1.3664,0.6159,0.1128,0.3333,0,0,1,0,0,2,1,110.25,0,2.1533,0.2885,,,0,,1920,445,1475,0,2,4.3146,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
multiple_obstacles,1,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,139,0,,Yes,,0.0,5.2174,0,0,0,0,1.077,0.6175,0.1173,0.277,0,0,3,0,0,2,1,100.5,0,2.2657,0.2893,,,0,,1726,406,1320,0,2,4.2512,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
multiple_obstacles,2,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,192,0,,Yes,,0.0,5.498,0,0,0,0,1.3205,0.6221,0.1144,0.2774,0,0,1,0,0,2,1,102.75,0,2.2418,0.3057,,,0,,1750,415,1335,0,2,4.2169,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
multiple_obstacles,3,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,134,0,,Yes,,0.0,5.202,0,0,0,0,1.0445,0.6021,0.1256,0.2798,0,0,2,0,0,2,1,100.75,0,2.2607,0.2873,,,0,,1736,407,1329,0,2,4.2654,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
multiple_obstacles,4,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,133,0,,Yes,,0.0,5.4446,0,0,0,0,1.166,0.5567,0.1099,0.2855,0,0,0,0,0,2,,101.5,0,2.2485,0.2803,,,0,,1752,410,1342,0,2,4.2732,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
multiple_obstacles,5,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,184,0,,Yes,,0.0,5.2172,0,0,0,0,1.0144,0.5877,0.1173,0.2791,0,0,1,0,0,2,1,100.5,0,2.2899,0.3135,,,0,,1730,406,1324,0,2,4.2611,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
two_crossing_targets,1,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,166,0,,Yes,,0.0,10.1071,0,0,0,0,3.949,,,0.0,0,0,0,0,0,,,,0,,,,,0,,0,0,0,0,,,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
two_crossing_targets,2,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,138,0,,Yes,,0.0,10.1886,0,0,0,0,3.8967,,,0.0,0,0,0,0,0,,,,0,,,,,0,,0,0,0,0,,,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
two_crossing_targets,3,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,81,0,,Yes,,0.012,10.2779,0,0,0,0,3.8403,,,0.0,0,0,0,0,0,,,,0,,,,,0,,0,0,0,0,,,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
two_crossing_targets,4,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,105,0,,Yes,,0.0,10.2105,0,0,0,0,3.8571,,,0.0,0,0,0,0,0,,,,0,,,,,0,,0,0,0,0,,,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
two_crossing_targets,5,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,155,0,,Yes,,0.0,10.1642,0,0,0,0,3.9307,,,0.0,0,0,0,0,0,,,,0,,,,,0,,0,0,0,0,,,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
moving_obstacle_approaching_swarm,1,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,100,0,,Yes,,0.0,3.084,0,0,0,0,0.3883,,,0.0,0,0,0,0,0,,,,0,,,,,0,,0,0,0,0,,,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
moving_obstacle_approaching_swarm,2,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,76,0,,Yes,,0.0,3.0428,0,0,0,0,0.3615,,,0.0,0,0,0,0,0,,,,0,,,,,0,,0,0,0,0,,,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
moving_obstacle_approaching_swarm,3,no_fusion,0.0,0.0,0.0,0,0.0,0.0,0,94,0,,Yes,,0.0,3.0693,0,0,0,0,0.3735,,,0.0,0,0,0,0,0,,,,0,,,,,0,,0,0,0,0,,,0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0
