scenario,step,time_s,uav_id,x,y,num_perceived_detections,num_phantom_detections,dist_to_target,reached_goal,event
baseline,0,0.0,0,5.0,5.0,3,0,123.069,False,avoidance
baseline,0,0.0,1,5.0,15.0,3,0,116.043,False,avoidance
baseline,0,0.0,2,15.0,5.0,3,0,110.752,False,avoidance
baseline,0,0.0,3,15.0,15.0,3,0,103.276,False,avoidance
baseline,1,0.2,0,5.185,4.646,3,0,123.18,False,avoidance
baseline,1,0.2,1,4.753,15.315,3,0,116.01,False,avoidance
baseline,1,0.2,2,15.391,5.085,3,0,110.436,False,avoidance
baseline,1,0.2,3,15.17,15.362,3,0,102.904,False,avoidance
baseline,2,0.4,0,5.396,4.306,2,0,123.265,False,avoidance
baseline,2,0.4,1,4.508,15.631,2,0,115.976,False,avoidance
baseline,2,0.4,2,15.779,5.182,2,0,110.114,False,avoidance
baseline,2,0.4,3,15.337,15.726,2,0,102.533,False,avoidance
baseline,3,0.6,0,5.766,4.153,2,0,123.105,False,avoidance
baseline,3,0.6,1,4.409,16.018,2,0,115.789,False,avoidance
baseline,3,0.6,2,16.149,5.334,2,0,109.761,False,avoidance
baseline,3,0.6,3,15.528,16.077,2,0,102.153,False,avoidance
baseline,4,0.8,0,6.142,4.017,2,0,122.931,False,avoidance
baseline,4,0.8,1,4.314,16.407,2,0,115.598,False,avoidance
baseline,4,0.8,2,16.516,5.494,2,0,109.405,False,avoidance
baseline,4,0.8,3,15.719,16.428,2,0,101.773,False,avoidance
baseline,5,1.0,0,6.523,3.896,2,0,122.744,False,avoidance
baseline,5,1.0,1,4.225,16.797,2,0,115.402,False,avoidance
baseline,5,1.0,2,16.879,5.661,2,0,109.045,False,avoidance
baseline,5,1.0,3,15.912,16.779,2,0,101.393,False,avoidance
baseline,6,1.2,0,6.909,3.788,2,0,122.545,False,avoidance
baseline,6,1.2,1,4.143,17.189,2,0,115.202,False,avoidance
baseline,6,1.2,2,17.24,5.834,2,0,108.682,False,avoidance
baseline,6,1.2,3,16.104,17.129,2,0,101.013,False,avoidance
baseline,7,1.4,0,7.297,3.691,2,0,122.338,False,avoidance
baseline,7,1.4,1,4.069,17.582,2,0,114.995,False,avoidance
baseline,7,1.4,2,17.597,6.014,2,0,108.317,False,avoidance
baseline,7,1.4,3,16.298,17.48,2,0,100.633,False,avoidance
baseline,8,1.6,0,7.687,3.604,2,0,122.124,False,avoidance
baseline,8,1.6,1,4.003,17.976,2,0,114.783,False,avoidance
baseline,8,1.6,2,17.951,6.201,2,0,107.949,False,avoidance
baseline,8,1.6,3,16.492,17.829,2,0,100.253,False,avoidance
baseline,9,1.8,0,8.079,3.525,1,0,121.903,False,avoidance
baseline,9,1.8,1,3.947,18.372,1,0,114.563,False,avoidance
baseline,9,1.8,2,18.302,6.393,2,0,107.579,False,avoidance
baseline,9,1.8,3,16.687,18.179,2,0,99.873,False,avoidance
baseline,10,2.0,0,8.401,3.763,1,0,121.507,False,avoidance
baseline,10,2.0,1,4.192,18.688,1,0,114.17,False,avoidance
baseline,10,2.0,2,18.649,6.591,2,0,107.207,False,avoidance
baseline,10,2.0,3,16.883,18.527,2,0,99.492,False,avoidance
baseline,11,2.2,0,8.72,4.004,1,0,121.111,False,avoidance
baseline,11,2.2,1,4.439,19.002,1,0,113.777,False,avoidance
baseline,11,2.2,2,18.996,6.79,2,0,106.834,False,avoidance
baseline,11,2.2,3,17.08,18.875,2,0,99.111,False,avoidance
baseline,12,2.4,0,9.036,4.249,1,0,120.715,False,avoidance
baseline,12,2.4,1,4.687,19.316,1,0,113.384,False,avoidance
baseline,12,2.4,2,19.342,6.991,2,0,106.46,False,avoidance
baseline,12,2.4,3,17.279,19.223,2,0,98.73,False,avoidance
baseline,13,2.6,0,9.35,4.497,1,0,120.318,False,avoidance
baseline,13,2.6,1,4.936,19.63,1,0,112.991,False,avoidance
baseline,13,2.6,2,19.687,7.194,2,0,106.087,False,avoidance
baseline,13,2.6,3,17.479,19.569,2,0,98.348,False,avoidance
baseline,14,2.8,0,9.661,4.749,1,0,119.92,False,avoidance
baseline,14,2.8,1,5.186,19.942,1,0,112.597,False,avoidance
baseline,14,2.8,2,20.031,7.397,2,0,105.712,False,avoidance
