parameter,value,seeds_run,mission_success_rate,collision_count_mean,near_miss_count_mean,avg_formation_error_mean,handoff_hold_steps_mean,classification
P_D,1.0,2,1.0,0.0,56.0,3.78,0.0,SAFE
P_D,0.7,2,1.0,0.0,46.5,4.009,2.5,DEGRADED BUT FUNCTIONAL
P_D,0.5,2,1.0,0.0,33.5,3.071,41.5,DEGRADED BUT FUNCTIONAL
P_D,0.3,2,1.0,0.0,49.5,3.651,122.5,DEGRADED BUT FUNCTIONAL
P_D,0.1,2,0.0,31.0,139.0,5.269,70.5,SAFETY FAILURE
P_FA,0.0,2,1.0,0.0,56.0,3.78,0.0,SAFE
P_FA,0.1,2,1.0,0.0,56.0,3.78,0.0,SAFE
P_FA,0.2,2,1.0,0.0,56.0,3.78,0.0,SAFE
P_FA,0.3,2,1.0,0.0,56.0,3.78,0.0,SAFE
P_FA,0.4,2,1.0,0.0,56.0,3.78,0.0,SAFE
clutter_intensity,0.0,2,1.0,0.0,56.0,3.78,0.0,SAFE
clutter_intensity,0.5,2,1.0,0.0,58.0,3.743,0.0,SAFE
clutter_intensity,1.0,2,1.0,0.0,56.5,3.818,0.0,SAFE
clutter_intensity,2.0,2,1.0,0.0,59.5,3.707,0.0,SAFE
clutter_intensity,3.0,2,1.0,0.0,50.5,3.777,0.0,SAFE
covariance_magnitude,0.2,2,1.0,0.0,56.5,3.758,0.0,SAFE
covariance_magnitude,0.5,2,1.0,0.0,65.5,3.803,0.0,SAFE
covariance_magnitude,1.0,2,1.0,0.0,61.5,3.921,0.5,DEGRADED BUT FUNCTIONAL
covariance_magnitude,2.0,2,1.0,0.0,62.5,5.33,9.0,DEGRADED BUT FUNCTIONAL
covariance_magnitude,3.0,2,0.0,9.5,108.0,5.938,13.5,SAFETY FAILURE
calibration_error,0.0,2,1.0,0.0,56.0,3.78,0.0,SAFE
calibration_error,0.1,2,1.0,0.0,55.5,5.143,329.5,DEGRADED BUT FUNCTIONAL
calibration_error,0.2,2,0.0,0.0,11.5,5.309,856.0,MISSION FAILURE
calibration_error,0.35,2,0.0,0.0,0.0,6.876,1303.5,MISSION FAILURE
calibration_error,0.5,2,0.0,0.0,0.0,13.163,1436.0,MISSION FAILURE
latency,0,2,1.0,0.0,56.0,3.78,0.0,SAFE
latency,1,2,1.0,0.0,47.5,3.691,0.0,SAFE
latency,2,2,1.0,0.0,51.0,3.732,0.0,SAFE
latency,5,2,1.0,0.0,40.5,3.748,0.0,SAFE
latency,10,2,1.0,0.0,54.5,3.564,0.0,SAFE
dropout,0.0,2,1.0,0.0,56.0,3.78,0.0,SAFE
dropout,0.05,2,1.0,0.0,57.5,3.679,0.5,DEGRADED BUT FUNCTIONAL
dropout,0.1,2,1.0,0.0,52.0,3.96,0.5,DEGRADED BUT FUNCTIONAL
dropout,0.2,2,1.0,0.0,52.0,3.861,3.5,DEGRADED BUT FUNCTIONAL
dropout,0.4,2,1.0,0.0,51.5,3.833,15.5,DEGRADED BUT FUNCTIONAL
registration_error,0.0,2,1.0,0.0,56.0,3.78,0.0,SAFE
registration_error,0.5,2,1.0,0.0,63.5,3.68,0.0,SAFE
registration_error,1.0,2,1.0,0.0,57.5,3.668,0.0,SAFE
registration_error,2.0,2,1.0,0.0,63.5,3.557,0.0,SAFE
registration_error,4.0,2,1.0,0.0,59.5,3.474,0.0,SAFE
packet_loss,0.0,2,1.0,0.0,56.0,3.78,0.0,SAFE
packet_loss,0.1,2,1.0,0.0,46.0,3.869,0.0,SAFE
packet_loss,0.2,2,1.0,0.0,55.5,4.021,0.0,SAFE
packet_loss,0.4,2,1.0,0.0,63.5,3.949,0.0,SAFE
packet_loss,0.7,2,1.0,0.0,62.5,3.699,0.0,SAFE
sensor_disagreement,0.0,2,1.0,0.0,56.0,3.78,0.0,SAFE
sensor_disagreement,0.5,2,1.0,0.0,55.5,3.839,0.0,SAFE
sensor_disagreement,1.0,2,1.0,0.0,57.5,4.353,0.0,SAFE
sensor_disagreement,2.0,2,1.0,0.0,50.5,4.393,0.0,SAFE
sensor_disagreement,4.0,2,0.5,0.0,141.5,6.042,8.0,MISSION FAILURE
num_faulty_uavs,0,2,1.0,0.0,56.0,3.78,0.0,SAFE
num_faulty_uavs,1,2,1.0,0.0,56.0,3.83,0.0,SAFE
num_faulty_uavs,2,2,1.0,0.0,55.5,3.621,0.0,SAFE
num_faulty_uavs,3,2,1.0,0.0,58.5,3.643,0.0,SAFE
fault_duration,0,2,1.0,0.0,56.0,3.78,0.0,SAFE
fault_duration,20,2,1.0,0.0,49.5,3.651,0.0,SAFE
fault_duration,50,2,1.0,0.0,53.0,3.618,0.0,SAFE
fault_duration,100,2,1.0,0.0,55.5,3.621,0.0,SAFE
fault_duration,200,2,1.0,0.0,56.0,3.617,0.0,SAFE
